name	N_tot	nbg_tot	nsig_tot	n_tot	rate_bg	rate_sig	rate_tot	log_rate_tot	n_ind	N_ind	mu_ind	exclude_from_pCL
ZL-201155	28852344	34	11	45	1.178414e-06	3.812515e-07	1.559665e-06	-5.806969e+00	1	8.655703e+07	1.155308e-08	0
ZL-201204T	28852344	59	35	94	2.044895e-06	1.213073e-06	3.257968e-06	-5.487053e+00	3	8.655703e+07	3.465923e-08	0
ZL-201948	28852344	96	59	155	3.327286e-06	2.044895e-06	5.372181e-06	-5.269849e+00	5	8.655703e+07	5.776538e-08	0
ZL-201999	28852344	55	41	96	1.906258e-06	1.421028e-06	3.327286e-06	-5.477910e+00	6	8.655703e+07	6.931846e-08	0
ZL-202025	28852344	58	19	77	2.010235e-06	6.585254e-07	2.668761e-06	-5.573690e+00	3	8.655703e+07	3.465923e-08	0
ZL-202046	28852344	90	46	136	3.119331e-06	1.594325e-06	4.713655e-06	-5.326642e+00	7	8.655703e+07	8.087154e-08	0
ZL-202056	28852344	40	22	62	1.386369e-06	7.625030e-07	2.148872e-06	-5.667789e+00	6	8.655703e+07	6.931846e-08	0
ZL-202079	28852344	116	62	178	4.020471e-06	2.148872e-06	6.169343e-06	-5.209761e+00	6	8.655703e+07	6.931846e-08	0
ZL009041	28852344	491	231	722	1.701768e-05	8.006282e-06	2.502396e-05	-4.601644e+00	18	8.655703e+07	2.079554e-07	0
ZL026642	28852344	77	47	124	2.668761e-06	1.628984e-06	4.297744e-06	-5.366759e+00	4	8.655703e+07	4.621231e-08	0
ZL033326	28852344	119	70	189	4.124448e-06	2.426146e-06	6.550594e-06	-5.183719e+00	10	8.655703e+07	1.155308e-07	0
ZL040761	28852344	0	1	1	0	3.465923e-08	3.465923e-08	-7.460181e+00	0	8.655703e+07	0	0
ZL054594	28852344	101	53	154	3.500582e-06	1.836939e-06	5.337521e-06	-5.272660e+00	14	8.655703e+07	1.617431e-07	0
ZL093073	28852344	102	66	168	3.535241e-06	2.287509e-06	5.822750e-06	-5.234872e+00	10	8.655703e+07	1.155308e-07	0
ZL094531	28852344	45	44	89	1.559665e-06	1.525006e-06	3.084671e-06	-5.510791e+00	14	8.655703e+07	1.617431e-07	0
ZL094587	28852344	170	103	273	5.892069e-06	3.569901e-06	9.461970e-06	-5.024018e+00	10	8.655703e+07	1.155308e-07	0
ZL098594	28852344	592	862	1454	2.051826e-05	2.987626e-05	5.039452e-05	-4.297617e+00	608	8.655703e+07	7.024271e-06	1
ZL098834	28852344	73	38	111	2.530124e-06	1.317051e-06	3.847174e-06	-5.414858e+00	4	8.655703e+07	4.621231e-08	0
ZL099873	28852344	83	35	118	2.876716e-06	1.213073e-06	4.089789e-06	-5.388299e+00	4	8.655703e+07	4.621231e-08	0
ZL1056056	28852344	32	20	52	1.109095e-06	6.931846e-07	1.802280e-06	-5.744178e+00	2	8.655703e+07	2.310615e-08	0
ZL1095842	28852344	104	53	157	3.604560e-06	1.836939e-06	5.441499e-06	-5.264281e+00	6	8.655703e+07	6.931846e-08	0
