codelen	nnei	nind	nnon	npat	nsite	pCL	pFN	pCL2	pFN2	pCF	q
3284	1	3	41	40	40	NaN	NaN	NaN	NaN	NaN	1.000000e-16
8077	0	7	41	39	41	NaN	NaN	NaN	NaN	NaN	1.000000e-16
4568	1	2	31	31	31	NaN	NaN	NaN	NaN	NaN	1.000000e-16
5253	0	3	30	30	29	NaN	NaN	NaN	NaN	NaN	1.000000e-16
4323	1	5	35	30	35	NaN	NaN	NaN	NaN	NaN	1.000000e-16
3573	4	6	34	29	33	NaN	NaN	NaN	NaN	NaN	1.000000e-16
4005	1	5	29	27	28	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2531	1	0	27	26	27	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2700	8	8	29	26	26	NaN	NaN	NaN	NaN	NaN	1.000000e-16
4594	18	5	25	24	25	NaN	NaN	NaN	NaN	NaN	1.000000e-16
3083	0	1	26	23	26	NaN	NaN	NaN	NaN	NaN	1.000000e-16
1625	0	5	22	22	20	NaN	NaN	NaN	NaN	NaN	1.000000e-16
8133	0	2	23	22	23	NaN	NaN	NaN	NaN	NaN	1.000000e-16
3458	1	6	23	22	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2719	0	4	23	21	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2711	3	3	21	21	21	NaN	NaN	NaN	NaN	NaN	1.000000e-16
6528	1	5	22	21	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2376	0	1	22	21	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
5996	0	2	22	21	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2474	1	6	21	21	21	NaN	NaN	NaN	NaN	NaN	1.000000e-16
2591	2	2	23	21	23	NaN	NaN	NaN	NaN	NaN	1.000000e-16
3414	21	3	24	21	24	NaN	NaN	NaN	NaN	NaN	1.000000e-16
4050	4	0	20	20	20	NaN	NaN	NaN	NaN	NaN	1.000000e-16
9896	3	1	22	20	22	NaN	NaN	NaN	NaN	NaN	1.000000e-16
1922	51	0	20	20	20	NaN	NaN	NaN	NaN	NaN	1.000000e-16
