GENE_ID	MUTS	MUTS_RECURRENCE	SAMPLES	P_VALUE	Q_VALUE	P_VALUE_NEG	Q_VALUE_NEG	SNP	MNP	INDELS	SYMBOL
gc19_pc.3utr::gencode::ADAM2::ENSG00000104755.10	3	3	3	4.7e-05	0.312984	0.999953	0.999953	3	0	0	gc19_pc.3utr::gencode::ADAM2::ENSG00000104755.10
gc19_pc.3utr::gencode::HEMK1::ENSG00000114735.5	6	6	6	6.3e-05	0.312984	0.999937	0.999953	6	0	0	gc19_pc.3utr::gencode::HEMK1::ENSG00000114735.5
gc19_pc.3utr::gencode::WDR33::ENSG00000136709.7	13	13	13	0.00013	0.43056	0.99987	0.999953	12	0	1	gc19_pc.3utr::gencode::WDR33::ENSG00000136709.7
gc19_pc.3utr::gencode::BMP2K::ENSG00000138756.13	5	5	4	0.00023	0.45954	0.99977	0.999953	4	0	1	gc19_pc.3utr::gencode::BMP2K::ENSG00000138756.13
gc19_pc.3utr::gencode::SGCA::ENSG00000108823.11	4	4	4	0.00024	0.45954	0.99976	0.999953	4	0	0	gc19_pc.3utr::gencode::SGCA::ENSG00000108823.11
gc19_pc.3utr::gencode::CCDC122::ENSG00000151773.8	2	2	2	0.00032	0.45954	0.99968	0.999953	2	0	0	gc19_pc.3utr::gencode::CCDC122::ENSG00000151773.8
gc19_pc.3utr::gencode::MED4::ENSG00000136146.10	3	3	3	0.00034	0.45954	0.99966	0.999953	2	0	1	gc19_pc.3utr::gencode::MED4::ENSG00000136146.10
gc19_pc.3utr::gencode::RAB32::ENSG00000118508.4	2	2	2	0.00037	0.45954	0.99963	0.999953	2	0	0	gc19_pc.3utr::gencode::RAB32::ENSG00000118508.4
gc19_pc.3utr::gencode::HNRNPA2B1::ENSG00000122566.16	7	6	7	0.00045	0.486864	0.99955	0.999953	6	0	1	gc19_pc.3utr::gencode::HNRNPA2B1::ENSG00000122566.16
gc19_pc.3utr::gencode::SPTB::ENSG00000070182.13	4	4	4	0.00049	0.486864	0.99951	0.999953	4	0	0	gc19_pc.3utr::gencode::SPTB::ENSG00000070182.13
gc19_pc.3utr::gencode::ATPAF2::ENSG00000171953.11	3	3	3	0.00055	0.4968000000000001	0.99945	0.999953	2	0	1	gc19_pc.3utr::gencode::ATPAF2::ENSG00000171953.11
gc19_pc.3utr::gencode::IL12RB2::ENSG00000081985.6	1	1	1	0.00055		1.0		1	0	0	gc19_pc.3utr::gencode::IL12RB2::ENSG00000081985.6
gc19_pc.3utr::gencode::ACTG2::ENSG00000163017.9	5	5	4	0.0007	0.5377129411764706	0.9993	0.999953	5	0	0	gc19_pc.3utr::gencode::ACTG2::ENSG00000163017.9
gc19_pc.3utr::gencode::ZNF814::ENSG00000204514.5	1	1	1	0.00085		0.99933		1	0	0	gc19_pc.3utr::gencode::ZNF814::ENSG00000204514.5
gc19_pc.3utr::gencode::SRRM3::ENSG00000177679.14	2	2	2	0.00086	0.5377129411764706	0.99914	0.999953	2	0	0	gc19_pc.3utr::gencode::SRRM3::ENSG00000177679.14
