ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::mirbase_mature::hsa-let-7a-2-3p::MIMAT0010195	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7a-3p::MIMAT0004481	0.0274444686600109	0.109215088181538	0.188674397896485	0.86729	0.0938324704972273	0.0546383078698992	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-let-7a-3p::MIMAT0004481_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7a-5p::MIMAT0000062	0.0382216462218572	0.086525248133013	0.189940842612988	0.54295	0.0796801329753953	0.0428562471927713	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-let-7a-5p::MIMAT0000062_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7a-5p::MIMAT0000062_2	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7b-3p::MIMAT0004482	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7b-5p::MIMAT0000063	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7c-3p::MIMAT0026472	0.0350137595907342	0.148890027748072	0.179001961300045	0.30436	0.0733281495384627	0.0378553415345835	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-let-7c-5p::MIMAT0000064	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7d-3p::MIMAT0004484	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7d-5p::MIMAT0000065	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7e-3p::MIMAT0004485	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7e-5p::MIMAT0000066	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7f-1-3p::MIMAT0004486	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7f-2-3p::MIMAT0004487	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7f-5p::MIMAT0000067	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7f-5p::MIMAT0000067_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7g-3p::MIMAT0004584	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7g-5p::MIMAT0000414	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7i-3p::MIMAT0004585	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-let-7i-5p::MIMAT0000415	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-100-3p::MIMAT0004512	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::mirbase_mature::hsa-miR-100-5p::MIMAT0000098	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-101-3p::MIMAT0000099	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-101-3p::MIMAT0000099_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-101-5p::MIMAT0004513	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-103a-2-5p::MIMAT0009196	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-103a-3p::MIMAT0000101	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-103a-3p::MIMAT0000101_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-103b::MIMAT0007402	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-103b::MIMAT0007402_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-105-3p::MIMAT0004516	1	0.998976468173614	1	NA	0.999992884404337	0.999999999821151	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-105-3p::MIMAT0004516_1	1	0.998976468173614	1	NA	0.999992884404337	0.999999999821151	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-105-5p::MIMAT0000102	1	0.998976468173614	1	NA	0.999992884404337	0.999999999821151	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-105-5p::MIMAT0000102_1	1	0.998976468173614	1	NA	0.999992884404337	0.999999999821151	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-106a-3p::MIMAT0004517	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-106a-5p::MIMAT0000103	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-106b-3p::MIMAT0004672	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-106b-5p::MIMAT0000680	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-107::MIMAT0000104	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-10a-3p::MIMAT0004555	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::mirbase_mature::hsa-miR-10a-5p::MIMAT0000253	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-10b-3p::MIMAT0004556	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-10b-5p::MIMAT0000254	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1178-3p::MIMAT0005823	1	0.997488602386504	1	NA	0.999971940803695	0.999999997355072	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1178-5p::MIMAT0022940	1	0.997488602386504	1	NA	0.999971940803695	0.999999997355072	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1179::MIMAT0005824	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1180-3p::MIMAT0005825	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1180-5p::MIMAT0026735	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1181::MIMAT0005826	1	0.997847518706485	1	NA	0.999977834574471	0.999999998335175	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1182::MIMAT0005827	0.0284357512875985	0.0319336901940447	0.210863326420476	0.38679	0.0393175296114586	0.0147464650719554	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-1183::MIMAT0005828	1	0.991441309196433	1	NA	0.999816838575309	0.999999894836	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1184::MIMAT0005829	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1184::MIMAT0005829_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1184::MIMAT0005829_2	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1185-1-3p::MIMAT0022838	1	0.998199847504056	1	NA	0.999983134439769	0.999999999026439	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1185-2-3p::MIMAT0022713	0.0784973983144781	0.998199847504056	0.293614085709162	0.28922	0.282559193319379	0.263268892293984	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-1185-5p::MIMAT0005798	0.00218968648835714	0.998199847504056	0.0319540590618431	0.24948	0.0196695442663301	0.00507528550918547	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-1185-5p::MIMAT0005798_1	1	0.998199847504056	1	NA	0.999983134439769	0.999999999026439	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1193::MIMAT0015049	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1197::MIMAT0005955	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1199-3p::MIMAT0031120	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1199-5p::MIMAT0031119	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
