ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
mirna_pre::mirbase_pre::hsa-let-7a-1::MI0000060	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-let-7a-2::MI0000061	0.155370044936169	0.16165545805657422	0.448639571489145	0.48616
mirna_pre::mirbase_pre::hsa-let-7a-3::MI0000062	0.122287970716932	0.09366620606670767	0.423755130876624	0.58213
mirna_pre::mirbase_pre::hsa-let-7b::MI0000063	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-let-7c::MI0000064	0.163788613955669	0.26470224321184943	0.476198520546558	0.23392
mirna_pre::mirbase_pre::hsa-let-7d::MI0000065	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-let-7e::MI0000066	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-let-7f-1::MI0000067	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-let-7f-2::MI0000068	1	1.0000000000000002	1	NA
mirna_pre::mirbase_pre::hsa-let-7g::MI0000433	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-let-7i::MI0000434	1	0.28364185039523254	0.451010724217053	0.53599
mirna_pre::mirbase_pre::hsa-mir-1-1::MI0000651	1	0.992533043224294	1	NA
mirna_pre::mirbase_pre::hsa-mir-1-2::MI0000437	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-100::MI0000102	1	0.9950166545365242	1	NA
mirna_pre::mirbase_pre::hsa-mir-101-1::MI0000103	0.144042136871154	0.14699080187853114	0.444950831894041	0.92781
mirna_pre::mirbase_pre::hsa-mir-101-2::MI0000739	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-103a-1::MI0000109	1	0.9965203291645506	1	NA
mirna_pre::mirbase_pre::hsa-mir-103a-2::MI0000108	1	0.999743247371949	1	NA
mirna_pre::mirbase_pre::hsa-mir-103b-1::MI0007261	1	1.0000000000000002	1	NA
mirna_pre::mirbase_pre::hsa-mir-103b-2::MI0007262	1	0.993183505040958	1	NA
mirna_pre::mirbase_pre::hsa-mir-105-1::MI0000111	1	0.9966514183123439	1	NA
mirna_pre::mirbase_pre::hsa-mir-105-2::MI0000112	0.248121485332154	0.06343415247750495	0.0502524157203255	0.15356
mirna_pre::mirbase_pre::hsa-mir-106a::MI0000113	0.176816783909037	0.9914809884495505	0.492853180098979	0.98468
mirna_pre::mirbase_pre::hsa-mir-106b::MI0000734	1	0.9998138607474738	1	NA
mirna_pre::mirbase_pre::hsa-mir-107::MI0000114	1	0.9969736981787943	1	NA
mirna_pre::mirbase_pre::hsa-mir-10a::MI0000266	1	0.9996573732401711	1	NA
mirna_pre::mirbase_pre::hsa-mir-10b::MI0000267	1	0.992869016912685	1	NA
mirna_pre::mirbase_pre::hsa-mir-1178::MI0006271	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1179::MI0006272	1	0.9932609742938238	1	NA
mirna_pre::mirbase_pre::hsa-mir-1180::MI0006273	1	0.9961076235096173	1	NA
mirna_pre::mirbase_pre::hsa-mir-1181::MI0006274	1	0.9999925884569048	1	NA
mirna_pre::mirbase_pre::hsa-mir-1182::MI0006275	0.168252946284549	0.08773078253358656	0.533871345126315	0.58937
mirna_pre::mirbase_pre::hsa-mir-1183::MI0006276	1	0.9999778621589316	1	NA
mirna_pre::mirbase_pre::hsa-mir-1184-1::MI0006277	1	0.9999987011371285	1	NA
mirna_pre::mirbase_pre::hsa-mir-1184-2::MI0015971	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1184-3::MI0015972	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1185-1::MI0003844	0.050468048124694	0.9984347368067179	0.203911098332522	0.03902
mirna_pre::mirbase_pre::hsa-mir-1185-2::MI0003821	0.351445330407405	0.2881991617552653	0.207943268004868	0.19494
mirna_pre::mirbase_pre::hsa-mir-1193::MI0014205	1	0.997995407094679	1	NA
mirna_pre::mirbase_pre::hsa-mir-1197::MI0006656	1	0.997995407094679	1	NA
mirna_pre::mirbase_pre::hsa-mir-1199::MI0020340	0.254300090055939	0.049450869071958836	0.396626566733504	0.4656
mirna_pre::mirbase_pre::hsa-mir-1200::MI0006332	1	0.9975000237353521	1	NA
mirna_pre::mirbase_pre::hsa-mir-1202::MI0006334	1	0.9971267238371408	1	NA
mirna_pre::mirbase_pre::hsa-mir-1203::MI0006335	1	0.9981543247448127	1	NA
mirna_pre::mirbase_pre::hsa-mir-1204::MI0006337	0.17078004937574	0.049558170683814226	0.444083942512674	0.81308
mirna_pre::mirbase_pre::hsa-mir-1205::MI0006338	1	1.0000000000000002	1	NA
mirna_pre::mirbase_pre::hsa-mir-1206::MI0006339	1	0.9999979348615001	1	NA
mirna_pre::mirbase_pre::hsa-mir-1207::MI0006340	1	0.9998601256895308	1	NA
mirna_pre::mirbase_pre::hsa-mir-1208::MI0006341	1	0.9999747632092374	1	NA
mirna_pre::mirbase_pre::hsa-mir-1224::MI0003764	0.25005711152354	0.9930565298947464	0.406850732414975	0.94999
mirna_pre::mirbase_pre::hsa-mir-1225::MI0006311	0.00365813587516272	0.9933976482623916	0.0484707453056205	0.69446
mirna_pre::mirbase_pre::hsa-mir-1226::MI0006313	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1227::MI0006316	1	0.9995285467502911	1	NA
mirna_pre::mirbase_pre::hsa-mir-1228::MI0006318	1	0.9994317252920809	1	NA
mirna_pre::mirbase_pre::hsa-mir-1229::MI0006319	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-122::MI0000442	0.291557497007851	0.10481430081590629	0.472479411522929	0.53029
mirna_pre::mirbase_pre::hsa-mir-1231::MI0006321	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1233-1::MI0006323	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1233-2::MI0015973	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1234::MI0006324	1	0.9961405831104896	1	NA
mirna_pre::mirbase_pre::hsa-mir-1236::MI0006326	1	0.9995313632396798	1	NA
mirna_pre::mirbase_pre::hsa-mir-1237::MI0006327	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1238::MI0006328	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-124-1::MI0000443	0.21008992523811	0.22681680881626604	0.480639096588638	0.46843
mirna_pre::mirbase_pre::hsa-mir-124-2::MI0000444	1	0.999057820472239	1	NA
mirna_pre::mirbase_pre::hsa-mir-124-3::MI0000445	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1243::MI0006373	1	0.9905978220037344	1	NA
mirna_pre::mirbase_pre::hsa-mir-1244-1::MI0006379	1	0.9999999920693483	1	NA
mirna_pre::mirbase_pre::hsa-mir-1244-2::MI0015974	1	0.9932141923536918	1	NA
mirna_pre::mirbase_pre::hsa-mir-1244-3::MI0015975	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1245a::MI0006380	0.285242228144153	0.030441577374151506	0.182794825920465	0.44134
mirna_pre::mirbase_pre::hsa-mir-1245b::MI0017431	0.278987295789832	1.0	0.178689962952214	0.44537
mirna_pre::mirbase_pre::hsa-mir-1246::MI0006381	0.249567655534354	0.9901818943825786	0.528124040818508	0.54319
mirna_pre::mirbase_pre::hsa-mir-1247::MI0006382	1	0.9947057306540498	1	NA
mirna_pre::mirbase_pre::hsa-mir-1248::MI0006383	1	0.999966703000204	1	NA
mirna_pre::mirbase_pre::hsa-mir-1249::MI0006384	0.109244634721352	0.11288501181687342	0.0371592948463734	NA
mirna_pre::mirbase_pre::hsa-mir-1250::MI0006385	1	0.9999661241594973	1	NA
mirna_pre::mirbase_pre::hsa-mir-1251::MI0006386	0.305651143449273	0.22446539603490018	0.527386635181412	0.63942
mirna_pre::mirbase_pre::hsa-mir-1252::MI0006434	1	0.9918020713287347	1	NA
mirna_pre::mirbase_pre::hsa-mir-1253::MI0006387	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1254-1::MI0006388	1	0.9988974379232073	1	NA
mirna_pre::mirbase_pre::hsa-mir-1254-2::MI0016747	0.239174884685394	0.9962439422903328	0.44828208016643	NA
mirna_pre::mirbase_pre::hsa-mir-1255a::MI0006389	1	0.997768621033092	1	NA
mirna_pre::mirbase_pre::hsa-mir-1255b-1::MI0006435	1	0.9999971392610464	1	NA
mirna_pre::mirbase_pre::hsa-mir-1255b-2::MI0006436	1	0.9999919786023386	1	NA
mirna_pre::mirbase_pre::hsa-mir-1256::MI0006390	0.17352482529476	0.9992044319654609	0.54776639758272	0.15404
mirna_pre::mirbase_pre::hsa-mir-1257::MI0006391	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1258::MI0006392	0.167427766488924	0.9949939982289546	0.438231521153209	0.19803
mirna_pre::mirbase_pre::hsa-mir-125a::MI0000469	0.425719407467203	0.1529984596325373	0.588362689116647	0.8646
mirna_pre::mirbase_pre::hsa-mir-125b-1::MI0000446	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-125b-2::MI0000470	0.0199840470241895	0.04065602731944856	0.111210347564931	0.0543
mirna_pre::mirbase_pre::hsa-mir-1260a::MI0006394	1	0.9946574803630038	1	NA
mirna_pre::mirbase_pre::hsa-mir-1260b::MI0014197	1	0.9999935159654506	1	NA
mirna_pre::mirbase_pre::hsa-mir-1261::MI0006396	1	0.9999770223348535	1	NA
mirna_pre::mirbase_pre::hsa-mir-1262::MI0006397	1	0.9969500892543351	1	NA
