Samples	ID83A	ID83B
Biliary-AdenoCA::SP117655	616	883
Biliary-AdenoCA::SP117556	174	628
Biliary-AdenoCA::SP117627	67	390
Biliary-AdenoCA::SP117775	395	616
Biliary-AdenoCA::SP117332	25	130
Biliary-AdenoCA::SP117712	45	484
Biliary-AdenoCA::SP117017	22	365
Biliary-AdenoCA::SP117031	214	751
Biliary-AdenoCA::SP117759	546	1022
Biliary-AdenoCA::SP117621	157	718
Biliary-AdenoCA::SP117425	169	428
Biliary-AdenoCA::SP117930	299	1383
Biliary-AdenoCA::SP99287	8	159
Biliary-AdenoCA::SP99293	30	287
Biliary-AdenoCA::SP99289	55	673
Biliary-AdenoCA::SP99297	2	21
Biliary-AdenoCA::SP99301	1103	179
Biliary-AdenoCA::SP99305	19	249
Biliary-AdenoCA::SP99309	30	465
Biliary-AdenoCA::SP99313	14	530
Biliary-AdenoCA::SP99317	0	39
Biliary-AdenoCA::SP99321	54	194
Biliary-AdenoCA::SP99325	129378	0
Biliary-AdenoCA::SP99329	23	498
Biliary-AdenoCA::SP99333	12	241
Biliary-AdenoCA::SP99337	30	414
Biliary-AdenoCA::SP99341	20	315
Biliary-AdenoCA::SP99345	0	56
Biliary-AdenoCA::SP99113	15	64
Biliary-AdenoCA::SP99185	13	422
