Samples	ID83A	ID83B
Biliary-AdenoCA::SP117655	1.65E+01	1.65E+01
Biliary-AdenoCA::SP117556	4.94E+00	4.94E+00
Biliary-AdenoCA::SP117627	2.14E+00	2.14E+00
Biliary-AdenoCA::SP117775	6.57E+00	6.57E+00
Biliary-AdenoCA::SP117332	1.43E+00	1.43E+00
Biliary-AdenoCA::SP117712	4.04E+00	4.04E+00
Biliary-AdenoCA::SP117017	5.26E+00	5.26E+00
Biliary-AdenoCA::SP117031	7.44E+00	7.44E+00
Biliary-AdenoCA::SP117759	1.49E+01	1.49E+01
Biliary-AdenoCA::SP117621	9.33E+00	9.33E+00
Biliary-AdenoCA::SP117425	7.67E+00	7.67E+00
Biliary-AdenoCA::SP117930	1.40E+01	1.40E+01
Biliary-AdenoCA::SP99287	2.16E+00	2.16E+00
Biliary-AdenoCA::SP99293	3.57E+00	3.57E+00
Biliary-AdenoCA::SP99289	5.29E+00	5.29E+00
Biliary-AdenoCA::SP99297	5.83E-01	5.83E-01
Biliary-AdenoCA::SP99301	5.66E+00	5.66E+00
Biliary-AdenoCA::SP99305	2.62E+00	2.62E+00
Biliary-AdenoCA::SP99309	3.35E+00	3.35E+00
Biliary-AdenoCA::SP99313	3.89E+00	3.89E+00
Biliary-AdenoCA::SP99317	0.00E+00	0.00E+00
Biliary-AdenoCA::SP99321	4.07E+00	4.07E+00
Biliary-AdenoCA::SP99325	3.08E+01	3.08E+01
Biliary-AdenoCA::SP99329	2.06E+00	2.06E+00
Biliary-AdenoCA::SP99333	1.33E+00	1.33E+00
Biliary-AdenoCA::SP99337	4.20E+00	4.20E+00
Biliary-AdenoCA::SP99341	2.92E+00	2.92E+00
Biliary-AdenoCA::SP99345	3.16E-01	3.16E-01
Biliary-AdenoCA::SP99113	1.38E+00	1.38E+00
Biliary-AdenoCA::SP99185	1.92E+00	1.92E+00
