MutationType	ID83A	ID83B
1:Del:C:0	8.19E-05	1.59E-03
1:Del:C:1	6.74E-05	7.13E-04
1:Del:C:2	6.75E-05	5.87E-04
1:Del:C:3	1.22E-04	3.56E-04
1:Del:C:4	2.38E-04	3.20E-04
1:Del:C:5	6.47E-04	3.16E-04
1:Del:T:0	1.28E-04	6.95E-04
1:Del:T:1	1.14E-04	6.92E-04
1:Del:T:2	5.61E-05	6.77E-04
1:Del:T:3	1.70E-04	5.49E-04
1:Del:T:4	5.72E-04	3.68E-04
1:Del:T:5	9.31E-04	3.13E-03
1:Ins:C:0	1.19E-04	3.74E-04
1:Ins:C:1	3.26E-05	6.58E-05
1:Ins:C:2	1.95E-05	8.27E-05
1:Ins:C:3	6.62E-05	1.19E-04
1:Ins:C:4	2.06E-04	7.97E-05
1:Ins:C:5	4.24E-04	8.23E-04
1:Ins:T:0	3.85E-05	4.19E-04
1:Ins:T:1	3.57E-05	6.14E-04
1:Ins:T:2	2.17E-04	3.96E-04
1:Ins:T:3	7.07E-05	3.09E-04
1:Ins:T:4	2.06E-04	3.73E-04
1:Ins:T:5	5.34E-04	2.28E-03
2:Del:R:0	4.32E-05	2.02E-04
2:Del:R:1	1.60E-04	3.55E-04
2:Del:R:2	8.28E-05	1.93E-04
2:Del:R:3	1.40E-04	8.35E-05
2:Del:R:4	1.27E-04	1.22E-04
2:Del:R:5	1.10E-04	1.77E-08
3:Del:R:0	6.88E-05	2.57E-04
3:Del:R:1	2.48E-04	6.44E-04
3:Del:R:2	7.85E-05	3.39E-04
3:Del:R:3	8.74E-05	6.99E-05
3:Del:R:4	3.37E-05	1.39E-05
3:Del:R:5	2.21E-05	1.28E-05
4:Del:R:0	2.73E-05	2.00E-04
4:Del:R:1	1.41E-04	6.58E-04
4:Del:R:2	1.60E-04	1.64E-04
4:Del:R:3	5.39E-05	1.48E-04
4:Del:R:4	7.45E-05	1.05E-05
4:Del:R:5	2.88E-05	7.88E-05
5:Del:R:0	1.58E-05	6.38E-04
5:Del:R:1	2.72E-05	3.29E-04
5:Del:R:2	2.69E-05	6.15E-05
5:Del:R:3	4.09E-05	1.68E-05
5:Del:R:4	1.20E-05	2.88E-09
5:Del:R:5	7.92E-06	2.01E-05
2:Ins:R:0	1.86E-05	1.94E-04
2:Ins:R:1	1.77E-05	1.99E-04
2:Ins:R:2	1.96E-05	2.75E-04
2:Ins:R:3	5.72E-05	2.11E-04
2:Ins:R:4	1.40E-04	1.60E-04
2:Ins:R:5	2.20E-04	2.59E-04
3:Ins:R:0	7.85E-06	1.19E-04
3:Ins:R:1	3.73E-06	1.68E-04
3:Ins:R:2	1.04E-05	1.32E-04
3:Ins:R:3	8.13E-06	1.93E-05
3:Ins:R:4	6.21E-05	3.68E-09
3:Ins:R:5	1.51E-04	1.48E-04
4:Ins:R:0	2.15E-05	1.19E-04
4:Ins:R:1	3.64E-06	3.20E-04
4:Ins:R:2	2.83E-06	3.07E-05
4:Ins:R:3	3.45E-05	4.29E-05
4:Ins:R:4	1.69E-05	1.31E-04
4:Ins:R:5	3.14E-05	1.15E-04
5:Ins:R:0	3.00E-05	2.47E-04
5:Ins:R:1	5.82E-06	2.25E-04
5:Ins:R:2	0.00E+00	9.21E-05
5:Ins:R:3	1.52E-06	6.47E-05
5:Ins:R:4	8.60E-06	1.04E-04
5:Ins:R:5	4.95E-06	5.85E-05
2:Del:M:1	1.64E-04	3.51E-04
3:Del:M:1	1.63E-05	1.50E-04
3:Del:M:2	1.02E-04	4.08E-04
4:Del:M:1	3.22E-05	1.41E-04
4:Del:M:2	9.20E-05	1.91E-04
4:Del:M:3	1.26E-04	3.34E-04
5:Del:M:1	1.02E-05	1.04E-03
5:Del:M:2	1.52E-05	4.07E-04
5:Del:M:3	9.42E-06	6.32E-04
5:Del:M:4	7.25E-06	2.77E-04
5:Del:M:5	1.51E-05	4.62E-04
