Samples	ID83A	ID83B	ID83C
Biliary-AdenoCA::SP117655	505	557	437
Biliary-AdenoCA::SP117556	156	642	4
Biliary-AdenoCA::SP117627	41	315	101
Biliary-AdenoCA::SP117775	334	417	260
Biliary-AdenoCA::SP117332	14	64	77
Biliary-AdenoCA::SP117712	14	239	276
Biliary-AdenoCA::SP117017	0	318	69
Biliary-AdenoCA::SP117031	193	764	8
Biliary-AdenoCA::SP117759	524	886	158
Biliary-AdenoCA::SP117621	110	557	208
Biliary-AdenoCA::SP117425	126	263	208
Biliary-AdenoCA::SP117930	234	1448	0
Biliary-AdenoCA::SP99287	0	85	82
Biliary-AdenoCA::SP99293	12	93	212
Biliary-AdenoCA::SP99289	19	229	480
Biliary-AdenoCA::SP99297	1	9	13
Biliary-AdenoCA::SP99301	1028	146	108
Biliary-AdenoCA::SP99305	3	141	124
Biliary-AdenoCA::SP99309	0	359	136
Biliary-AdenoCA::SP99313	6	90	448
Biliary-AdenoCA::SP99317	0	6	33
Biliary-AdenoCA::SP99321	40	141	67
Biliary-AdenoCA::SP99325	128707	671	0
Biliary-AdenoCA::SP99329	17	0	504
Biliary-AdenoCA::SP99333	0	199	54
Biliary-AdenoCA::SP99337	0	418	26
Biliary-AdenoCA::SP99341	0	298	37
Biliary-AdenoCA::SP99345	0	15	41
Biliary-AdenoCA::SP99113	5	0	74
Biliary-AdenoCA::SP99185	6	65	364
