Samples	ID83A	ID83B	ID83C
Biliary-AdenoCA::SP117655	2.30E+01	3.98E+01	1.96E+01
Biliary-AdenoCA::SP117556	6.86E+00	1.10E+01	7.24E+00
Biliary-AdenoCA::SP117627	2.80E+00	5.36E+00	4.53E+00
Biliary-AdenoCA::SP117775	6.87E+00	1.53E+01	1.25E+01
Biliary-AdenoCA::SP117332	1.52E+00	1.96E+00	1.57E+00
Biliary-AdenoCA::SP117712	4.09E+00	7.42E+00	9.16E+00
Biliary-AdenoCA::SP117017	3.60E+00	9.68E+00	9.28E+00
Biliary-AdenoCA::SP117031	7.19E+00	8.16E+00	5.37E+00
Biliary-AdenoCA::SP117759	1.64E+01	1.91E+01	6.42E+00
Biliary-AdenoCA::SP117621	9.32E+00	1.78E+01	1.46E+01
Biliary-AdenoCA::SP117425	6.73E+00	9.41E+00	9.20E+00
Biliary-AdenoCA::SP117930	1.61E+01	1.60E+01	0.00E+00
Biliary-AdenoCA::SP99287	9.70E-01	4.83E+00	4.97E+00
Biliary-AdenoCA::SP99293	3.07E+00	5.73E+00	4.31E+00
Biliary-AdenoCA::SP99289	5.12E+00	8.07E+00	5.45E+00
Biliary-AdenoCA::SP99297	2.45E-01	2.04E+00	2.00E+00
Biliary-AdenoCA::SP99301	1.08E+01	1.49E+01	6.06E+00
Biliary-AdenoCA::SP99305	2.26E+00	7.97E+00	7.75E+00
Biliary-AdenoCA::SP99309	9.17E-01	1.01E+01	1.05E+01
Biliary-AdenoCA::SP99313	2.71E+00	2.98E+00	3.75E+00
Biliary-AdenoCA::SP99317	0.00E+00	1.67E+00	1.67E+00
Biliary-AdenoCA::SP99321	3.73E+00	3.44E+00	4.61E+00
Biliary-AdenoCA::SP99325	7.41E+01	7.42E+01	0.00E+00
Biliary-AdenoCA::SP99329	2.20E+00	2.20E+00	4.18E+00
Biliary-AdenoCA::SP99333	2.15E+00	9.87E+00	8.20E+00
Biliary-AdenoCA::SP99337	3.72E+00	5.56E+00	4.36E+00
Biliary-AdenoCA::SP99341	2.00E-01	5.56E+00	5.57E+00
Biliary-AdenoCA::SP99345	4.90E-01	2.46E+00	2.54E+00
Biliary-AdenoCA::SP99113	1.46E+00	0.00E+00	1.46E+00
Biliary-AdenoCA::SP99185	6.00E-01	4.29E+00	4.39E+00
