MutationType	ID83A	ID83B	ID83C
1:Del:C:0	7.03E-05	1.66E-03	5.64E-03
1:Del:C:1	6.64E-05	1.08E-03	9.40E-04
1:Del:C:2	7.67E-05	1.00E-03	1.45E-03
1:Del:C:3	1.38E-04	4.65E-04	1.35E-03
1:Del:C:4	1.79E-04	2.79E-04	9.08E-04
1:Del:C:5	6.16E-04	7.42E-04	9.07E-04
1:Del:T:0	1.31E-04	1.08E-03	2.56E-03
1:Del:T:1	1.19E-04	6.44E-04	1.61E-03
1:Del:T:2	6.48E-05	6.81E-04	1.83E-03
1:Del:T:3	1.50E-04	8.25E-04	1.34E-03
1:Del:T:4	5.04E-04	5.09E-04	9.54E-04
1:Del:T:5	1.26E-03	3.43E-03	7.74E-11
1:Ins:C:0	1.09E-04	6.08E-04	8.20E-04
1:Ins:C:1	3.66E-05	1.81E-04	1.88E-04
1:Ins:C:2	2.08E-05	2.59E-04	3.91E-04
1:Ins:C:3	7.05E-05	2.15E-04	2.63E-04
1:Ins:C:4	1.79E-04	4.24E-05	2.98E-09
1:Ins:C:5	3.77E-04	1.09E-03	7.73E-05
1:Ins:T:0	4.19E-05	8.13E-04	7.24E-04
1:Ins:T:1	3.70E-05	1.19E-03	1.94E-03
1:Ins:T:2	2.60E-04	4.65E-04	1.22E-03
1:Ins:T:3	8.79E-05	7.06E-04	7.71E-04
1:Ins:T:4	1.84E-04	5.95E-04	6.94E-04
1:Ins:T:5	3.15E-04	5.48E-03	3.55E-03
2:Del:R:0	4.23E-05	5.49E-04	7.23E-04
2:Del:R:1	1.54E-04	4.11E-04	1.11E-03
2:Del:R:2	7.28E-05	2.63E-04	7.57E-04
2:Del:R:3	1.68E-04	1.54E-04	1.70E-04
2:Del:R:4	1.44E-04	0.00E+00	3.27E-04
2:Del:R:5	9.43E-05	0.00E+00	1.91E-04
3:Del:R:0	6.86E-05	3.44E-04	1.07E-03
3:Del:R:1	2.63E-04	8.53E-04	1.05E-03
3:Del:R:2	6.51E-05	3.48E-04	6.11E-04
3:Del:R:3	9.51E-05	1.48E-04	1.48E-04
3:Del:R:4	2.43E-05	3.36E-05	2.09E-08
3:Del:R:5	2.43E-05	2.50E-05	4.72E-05
4:Del:R:0	2.51E-05	5.36E-04	8.50E-04
4:Del:R:1	1.06E-04	8.56E-04	1.42E-03
4:Del:R:2	1.21E-04	3.38E-04	2.05E-04
4:Del:R:3	4.56E-05	2.78E-04	5.80E-04
4:Del:R:4	6.45E-05	6.25E-05	5.17E-08
4:Del:R:5	3.92E-05	4.84E-05	2.51E-04
5:Del:R:0	2.19E-05	8.88E-04	2.17E-03
5:Del:R:1	3.32E-05	4.85E-04	7.71E-04
5:Del:R:2	3.36E-05	9.23E-05	4.94E-08
5:Del:R:3	2.20E-05	5.50E-05	9.91E-09
5:Del:R:4	1.32E-05	4.79E-09	1.69E-08
5:Del:R:5	8.56E-06	0.00E+00	5.33E-05
2:Ins:R:0	2.21E-05	4.49E-04	7.70E-04
2:Ins:R:1	1.70E-05	4.09E-04	4.93E-04
2:Ins:R:2	2.01E-05	1.92E-04	4.65E-04
2:Ins:R:3	5.39E-05	2.62E-04	2.09E-04
2:Ins:R:4	1.52E-04	2.53E-04	8.53E-05
2:Ins:R:5	1.63E-04	4.33E-04	2.48E-04
3:Ins:R:0	7.48E-06	1.19E-04	3.63E-04
3:Ins:R:1	0.00E+00	3.08E-04	3.91E-04
3:Ins:R:2	1.08E-05	1.11E-04	2.76E-04
3:Ins:R:3	8.52E-06	4.01E-09	5.60E-05
3:Ins:R:4	6.72E-05	4.04E-09	1.75E-08
3:Ins:R:5	1.40E-04	1.99E-04	0.00E+00
4:Ins:R:0	2.04E-05	2.27E-04	3.08E-04
4:Ins:R:1	3.68E-06	3.77E-04	6.77E-04
4:Ins:R:2	2.86E-06	0.00E+00	9.17E-05
4:Ins:R:3	3.54E-05	3.12E-05	1.46E-04
4:Ins:R:4	1.23E-05	1.84E-04	3.33E-09
4:Ins:R:5	2.59E-05	2.42E-04	3.01E-04
5:Ins:R:0	3.67E-05	4.32E-04	1.20E-03
5:Ins:R:1	0.00E+00	5.89E-04	8.18E-04
5:Ins:R:2	0.00E+00	7.39E-05	3.10E-04
5:Ins:R:3	1.08E-06	8.58E-05	2.92E-04
5:Ins:R:4	8.33E-06	1.49E-04	3.63E-05
5:Ins:R:5	7.64E-06	1.60E-04	3.80E-04
2:Del:M:1	1.60E-04	1.34E-04	1.04E-03
3:Del:M:1	1.48E-05	3.41E-04	8.86E-04
3:Del:M:2	1.02E-04	4.40E-04	7.01E-04
4:Del:M:1	4.13E-05	3.04E-04	7.53E-04
4:Del:M:2	1.01E-04	3.94E-04	9.54E-04
4:Del:M:3	1.26E-04	5.47E-04	1.42E-03
5:Del:M:1	1.46E-05	3.96E-04	2.43E-03
5:Del:M:2	1.76E-05	3.79E-04	1.44E-03
5:Del:M:3	1.46E-05	2.16E-04	1.90E-03
5:Del:M:4	7.93E-06	4.79E-04	4.81E-04
5:Del:M:5	1.64E-05	5.40E-04	6.74E-04
