Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP117655	1499	0.986	425.889	28.412%	99.97	17.622%	0.09569	0.985
Biliary-AdenoCA::SP117556	802	0.999	104.28	13.002%	17.406	4.468%	0.04141	0.999
Biliary-AdenoCA::SP117627	457	0.996	93.522	20.464%	17.833	9.609%	0.07635	0.995
Biliary-AdenoCA::SP117775	1011	0.995	200.792	19.861%	37.22	9.964%	0.0606	0.995
Biliary-AdenoCA::SP117332	155	0.961	69.048	44.547%	12.039	29.173%	0.25907	0.954
Biliary-AdenoCA::SP117712	529	0.982	152.211	28.773%	28.886	19.524%	0.09705	0.978
Biliary-AdenoCA::SP117017	387	0.994	99.742	25.773%	17.86	10.605%	0.11283	0.994
Biliary-AdenoCA::SP117031	965	0.998	172.725	17.899%	29.163	6.269%	0.07353	0.998
Biliary-AdenoCA::SP117759	1568	0.998	235.23	15.002%	50.242	7.267%	0.04293	0.998
Biliary-AdenoCA::SP117621	875	0.998	138.774	15.86%	20.997	6.362%	0.05482	0.998
Biliary-AdenoCA::SP117425	597	0.983	196.904	32.982%	36.624	19.787%	0.13446	0.981
Biliary-AdenoCA::SP117930	1682	0.998	344.459	20.479%	93.302	10.397%	0.05677	0.998
Biliary-AdenoCA::SP99287	167	0.975	67.885	40.65%	12.305	22.705%	0.21716	0.971
Biliary-AdenoCA::SP99293	317	0.935	135.373	42.704%	26.719	36.163%	0.18471	0.917
Biliary-AdenoCA::SP99289	728	0.971	202.898	27.871%	43.823	24.081%	0.09336	0.964
Biliary-AdenoCA::SP99297	23	0.67	22.95	99.783%	5.625	75.847%	1.09316	0.618
Biliary-AdenoCA::SP99301	1282	0.992	390.469	30.458%	100.727	16.381%	0.11946	0.992
Biliary-AdenoCA::SP99305	268	0.985	89.301	33.321%	15.74	20.725%	0.13359	0.984
Biliary-AdenoCA::SP99309	495	0.993	135.017	27.276%	24.025	11.997%	0.10672	0.992
Biliary-AdenoCA::SP99313	544	0.866	260.166	47.825%	69.507	50.241%	0.18957	0.833
Biliary-AdenoCA::SP99317	39	0.616	36.095	92.551%	8.756	79.6%	0.98179	0.525
Biliary-AdenoCA::SP99321	248	0.987	84.41	34.036%	14.33	16.029%	0.19789	0.986
Biliary-AdenoCA::SP99325	129378	1.0	4976.508	3.846%	1385.101	1.711%	0.00278	1.0
Biliary-AdenoCA::SP99329	521	0.74	367.188	70.478%	97.588	67.248%	0.38057	0.682
Biliary-AdenoCA::SP99333	253	0.988	88.697	35.058%	16.83	16.523%	0.19422	0.987
Biliary-AdenoCA::SP99337	444	0.997	101.729	22.912%	17.735	8.29%	0.09092	0.997
Biliary-AdenoCA::SP99341	335	0.994	97.026	28.963%	17.857	11.751%	0.12074	0.994
Biliary-AdenoCA::SP99345	56	0.911	33.229	59.338%	6.101	41.512%	0.40834	0.892
Biliary-AdenoCA::SP99113	79	0.807	53.173	67.308%	11.161	59.07%	0.41905	0.748
Biliary-AdenoCA::SP99185	435	0.935	175.056	40.243%	35.407	35.721%	0.15146	0.914
