Samples	ID83A	ID83B	ID83C	ID83D
Biliary-AdenoCA::SP117655	495	463	541	0
Biliary-AdenoCA::SP117556	160	577	33	32
Biliary-AdenoCA::SP117627	41	275	104	37
Biliary-AdenoCA::SP117775	330	356	265	60
Biliary-AdenoCA::SP117332	13	56	51	35
Biliary-AdenoCA::SP117712	14	210	229	76
Biliary-AdenoCA::SP117017	0	288	56	43
Biliary-AdenoCA::SP117031	197	692	14	62
Biliary-AdenoCA::SP117759	520	766	282	0
Biliary-AdenoCA::SP117621	111	489	221	54
Biliary-AdenoCA::SP117425	124	222	219	32
Biliary-AdenoCA::SP117930	257	1410	0	15
Biliary-AdenoCA::SP99287	0	74	86	7
Biliary-AdenoCA::SP99293	12	80	193	32
Biliary-AdenoCA::SP99289	18	194	416	100
Biliary-AdenoCA::SP99297	1	8	10	4
Biliary-AdenoCA::SP99301	1022	119	141	0
Biliary-AdenoCA::SP99305	3	123	101	41
Biliary-AdenoCA::SP99309	0	312	183	0
Biliary-AdenoCA::SP99313	0	83	64	397
Biliary-AdenoCA::SP99317	0	4	27	8
Biliary-AdenoCA::SP99321	41	125	59	23
Biliary-AdenoCA::SP99325	129378	0	0	0
Biliary-AdenoCA::SP99329	6	0	0	515
Biliary-AdenoCA::SP99333	0	182	42	29
Biliary-AdenoCA::SP99337	0	379	52	13
Biliary-AdenoCA::SP99341	0	269	47	19
Biliary-AdenoCA::SP99345	0	12	29	15
Biliary-AdenoCA::SP99113	4	0	65	10
Biliary-AdenoCA::SP99185	5	51	305	74
