Samples	ID83A	ID83B	ID83C	ID83D
Biliary-AdenoCA::SP117655	2.07E+01	3.09E+01	1.96E+01	9.13E+00
Biliary-AdenoCA::SP117556	6.97E+00	6.70E+00	8.18E+00	7.80E+00
Biliary-AdenoCA::SP117627	2.09E+00	4.83E+00	6.67E+00	4.48E+00
Biliary-AdenoCA::SP117775	7.47E+00	1.52E+01	2.16E+01	1.04E+01
Biliary-AdenoCA::SP117332	1.69E+00	2.74E+00	2.23E+00	2.52E+00
Biliary-AdenoCA::SP117712	3.89E+00	7.25E+00	5.54E+00	1.00E+01
Biliary-AdenoCA::SP117017	3.60E+00	1.14E+01	8.49E+00	5.69E+00
Biliary-AdenoCA::SP117031	8.02E+00	1.74E+01	6.80E+00	5.94E+00
Biliary-AdenoCA::SP117759	1.34E+01	1.78E+01	9.88E+00	6.82E+00
Biliary-AdenoCA::SP117621	8.14E+00	1.44E+01	1.10E+01	8.73E+00
Biliary-AdenoCA::SP117425	6.30E+00	9.17E+00	1.16E+01	5.27E+00
Biliary-AdenoCA::SP117930	1.46E+01	2.51E+01	8.60E+00	1.68E+01
Biliary-AdenoCA::SP99287	1.05E+00	5.42E+00	4.70E+00	5.41E+00
Biliary-AdenoCA::SP99293	3.22E+00	8.41E+00	8.80E+00	6.75E+00
Biliary-AdenoCA::SP99289	4.97E+00	5.56E+00	7.12E+00	6.28E+00
Biliary-AdenoCA::SP99297	2.45E-01	1.59E+00	2.35E+00	2.66E+00
Biliary-AdenoCA::SP99301	1.00E+01	9.76E+00	9.88E+00	6.00E-01
Biliary-AdenoCA::SP99305	2.47E+00	7.92E+00	6.57E+00	4.47E+00
Biliary-AdenoCA::SP99309	1.33E+00	1.30E+01	1.33E+01	7.75E-01
Biliary-AdenoCA::SP99313	0.00E+00	1.20E+00	1.76E+01	1.82E+01
Biliary-AdenoCA::SP99317	0.00E+00	1.48E+00	7.43E+00	6.15E+00
Biliary-AdenoCA::SP99321	3.99E+00	2.30E+00	2.64E+00	3.61E+00
Biliary-AdenoCA::SP99325	3.11E+01	7.99E+01	6.15E+01	3.06E+01
Biliary-AdenoCA::SP99329	3.10E+00	0.00E+00	0.00E+00	3.10E+00
Biliary-AdenoCA::SP99333	1.21E+00	8.88E+00	5.91E+00	8.86E+00
Biliary-AdenoCA::SP99337	4.21E+00	4.14E+00	5.32E+00	7.95E+00
Biliary-AdenoCA::SP99341	6.00E-01	7.00E+00	8.28E+00	3.17E+00
Biliary-AdenoCA::SP99345	8.72E-01	2.40E+00	4.35E+00	4.15E+00
Biliary-AdenoCA::SP99113	1.29E+00	0.00E+00	2.08E+00	2.14E+00
Biliary-AdenoCA::SP99185	8.37E-01	7.60E+00	9.41E+00	1.03E+01
