MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	9.82E-05	2.00E-03	7.02E-03	2.84E-03
1:Del:C:1	9.45E-05	8.03E-04	3.63E-03	3.01E-03
1:Del:C:2	7.87E-05	7.88E-04	1.87E-03	1.43E-03
1:Del:C:3	1.08E-04	6.10E-04	1.61E-03	2.45E-03
1:Del:C:4	2.10E-04	4.22E-04	1.20E-03	8.24E-04
1:Del:C:5	6.10E-04	6.59E-04	9.40E-04	7.14E-04
1:Del:T:0	1.04E-04	1.39E-03	1.29E-03	4.17E-03
1:Del:T:1	1.07E-04	7.15E-04	1.08E-03	2.99E-03
1:Del:T:2	5.77E-05	9.86E-04	2.51E-03	2.63E-03
1:Del:T:3	1.65E-04	5.45E-04	1.92E-03	1.51E-03
1:Del:T:4	5.05E-04	7.56E-04	1.72E-03	1.12E-03
1:Del:T:5	1.50E-03	3.82E-03	1.98E-03	4.97E-03
1:Ins:C:0	1.10E-04	6.45E-04	7.07E-04	8.55E-04
1:Ins:C:1	3.40E-05	1.78E-04	3.94E-04	9.19E-04
1:Ins:C:2	2.02E-05	2.58E-04	5.62E-04	4.43E-04
1:Ins:C:3	7.66E-05	1.12E-04	6.31E-04	8.66E-04
1:Ins:C:4	1.87E-04	7.15E-05	2.33E-04	0.00E+00
1:Ins:C:5	4.09E-04	1.20E-03	5.74E-04	4.51E-04
1:Ins:T:0	3.88E-05	8.50E-04	4.83E-04	8.82E-04
1:Ins:T:1	4.27E-05	1.11E-03	4.02E-03	7.59E-03
1:Ins:T:2	2.31E-04	6.28E-04	2.81E-03	1.61E-03
1:Ins:T:3	8.30E-05	8.64E-04	1.63E-03	2.16E-03
1:Ins:T:4	2.03E-04	6.85E-04	1.64E-03	2.25E-04
1:Ins:T:5	3.85E-04	6.86E-03	1.06E-02	3.63E-03
2:Del:R:0	4.46E-05	4.29E-04	8.33E-04	5.66E-04
2:Del:R:1	1.69E-04	4.47E-04	1.81E-03	4.23E-04
2:Del:R:2	7.31E-05	4.36E-04	1.27E-03	0.00E+00
2:Del:R:3	1.56E-04	2.01E-04	4.51E-04	0.00E+00
2:Del:R:4	1.39E-04	0.00E+00	1.90E-04	8.67E-04
2:Del:R:5	1.35E-04	0.00E+00	1.43E-04	7.81E-04
3:Del:R:0	7.55E-05	2.60E-04	2.74E-04	2.47E-03
3:Del:R:1	2.27E-04	4.28E-04	2.22E-03	1.45E-03
3:Del:R:2	6.48E-05	4.13E-04	1.25E-03	1.02E-03
3:Del:R:3	8.86E-05	2.00E-04	2.89E-04	0.00E+00
3:Del:R:4	2.54E-05	3.67E-05	3.08E-08	4.51E-08
3:Del:R:5	2.54E-05	3.19E-05	5.71E-05	4.01E-08
4:Del:R:0	2.83E-05	8.31E-04	1.61E-03	7.92E-04
4:Del:R:1	1.44E-04	9.60E-04	2.72E-03	7.04E-04
4:Del:R:2	1.38E-04	3.31E-04	4.23E-04	4.04E-05
4:Del:R:3	4.84E-05	2.18E-04	5.62E-04	1.46E-08
4:Del:R:4	6.46E-05	7.19E-05	7.32E-07	3.21E-08
4:Del:R:5	4.25E-05	5.49E-05	3.00E-04	2.98E-04
5:Del:R:0	4.27E-05	7.72E-04	1.56E-03	5.83E-03
5:Del:R:1	3.29E-05	7.05E-04	1.60E-03	6.32E-04
5:Del:R:2	3.30E-05	1.04E-04	1.66E-07	0.00E+00
5:Del:R:3	2.17E-05	6.20E-05	3.18E-08	1.64E-08
5:Del:R:4	1.32E-05	9.18E-09	2.51E-08	3.43E-08
5:Del:R:5	8.58E-06	0.00E+00	6.30E-05	2.63E-08
2:Ins:R:0	2.25E-05	3.75E-04	8.04E-04	1.84E-08
2:Ins:R:1	1.71E-05	3.00E-04	4.92E-04	1.09E-03
2:Ins:R:2	1.96E-05	2.99E-04	4.75E-04	1.55E-03
2:Ins:R:3	5.30E-05	3.07E-04	5.15E-04	3.50E-04
2:Ins:R:4	1.48E-04	2.16E-04	1.78E-04	1.40E-04
2:Ins:R:5	1.86E-04	5.09E-04	3.64E-04	2.33E-04
3:Ins:R:0	7.65E-06	1.20E-04	2.11E-04	5.97E-04
3:Ins:R:1	0.00E+00	2.68E-04	3.88E-04	7.40E-04
3:Ins:R:2	1.05E-05	1.34E-04	5.27E-04	4.56E-04
3:Ins:R:3	8.43E-06	8.38E-09	6.75E-05	5.38E-08
3:Ins:R:4	6.73E-05	7.78E-09	3.03E-08	5.17E-08
3:Ins:R:5	1.29E-04	3.26E-04	3.51E-04	1.75E-08
4:Ins:R:0	1.68E-05	2.94E-04	4.08E-04	2.76E-04
4:Ins:R:1	0.00E+00	3.89E-04	1.06E-03	1.99E-03
4:Ins:R:2	2.89E-06	0.00E+00	1.16E-04	7.96E-08
4:Ins:R:3	3.53E-05	0.00E+00	9.50E-05	3.02E-04
4:Ins:R:4	1.20E-05	2.10E-04	1.49E-08	3.20E-08
4:Ins:R:5	2.63E-05	3.19E-04	4.76E-04	2.25E-08
5:Ins:R:0	1.66E-05	6.78E-04	1.55E-03	8.08E-04
5:Ins:R:1	0.00E+00	6.87E-04	1.79E-03	2.00E-03
5:Ins:R:2	0.00E+00	1.02E-04	1.95E-04	5.57E-04
5:Ins:R:3	1.25E-06	9.96E-05	3.39E-04	2.56E-08
5:Ins:R:4	6.99E-06	4.79E-05	3.97E-04	1.89E-08
5:Ins:R:5	5.16E-06	9.00E-05	5.13E-04	3.74E-04
2:Del:M:1	1.56E-04	3.88E-04	1.10E-03	2.28E-03
3:Del:M:1	1.09E-05	5.50E-04	1.37E-03	1.78E-03
3:Del:M:2	1.11E-04	6.04E-04	1.10E-03	7.64E-04
4:Del:M:1	3.29E-05	3.52E-04	1.21E-03	1.18E-03
4:Del:M:2	7.12E-05	2.89E-04	1.07E-03	8.37E-04
4:Del:M:3	9.03E-05	4.97E-04	1.75E-03	1.40E-03
5:Del:M:1	3.62E-05	1.48E-03	1.48E-03	5.84E-03
5:Del:M:2	2.26E-05	1.13E-03	1.94E-03	3.73E-03
5:Del:M:3	7.22E-05	8.79E-04	1.14E-03	5.93E-03
5:Del:M:4	2.32E-05	8.98E-04	6.53E-04	1.78E-03
5:Del:M:5	1.66E-05	1.16E-03	1.69E-03	2.80E-03
