Samples	ID83A	ID83B	ID83C
Biliary-AdenoCA::SP117655	505	557	437
Biliary-AdenoCA::SP117556	157	644	0
Biliary-AdenoCA::SP117627	41	315	101
Biliary-AdenoCA::SP117775	334	417	260
Biliary-AdenoCA::SP117332	14	64	77
Biliary-AdenoCA::SP117712	0	249	279
Biliary-AdenoCA::SP117017	0	318	69
Biliary-AdenoCA::SP117031	194	770	0
Biliary-AdenoCA::SP117759	575	992	0
Biliary-AdenoCA::SP117621	110	557	208
Biliary-AdenoCA::SP117425	126	263	208
Biliary-AdenoCA::SP117930	234	1448	0
Biliary-AdenoCA::SP99287	0	85	82
Biliary-AdenoCA::SP99293	0	101	215
Biliary-AdenoCA::SP99289	0	241	486
Biliary-AdenoCA::SP99297	0	9	13
Biliary-AdenoCA::SP99301	1113	168	0
Biliary-AdenoCA::SP99305	0	143	124
Biliary-AdenoCA::SP99309	0	359	136
Biliary-AdenoCA::SP99313	0	93	450
Biliary-AdenoCA::SP99317	0	6	33
Biliary-AdenoCA::SP99321	40	141	67
Biliary-AdenoCA::SP99325	129378	0	0
Biliary-AdenoCA::SP99329	0	0	521
Biliary-AdenoCA::SP99333	0	199	54
Biliary-AdenoCA::SP99337	0	444	0
Biliary-AdenoCA::SP99341	0	335	0
Biliary-AdenoCA::SP99345	0	15	41
Biliary-AdenoCA::SP99113	0	0	79
Biliary-AdenoCA::SP99185	0	68	366
