MutationsType	ID83A	ID83B	ID83C
1:Del:C:0	0.00163199	0.04911029	0.08031738
1:Del:C:1	0.00132293	0.02193298	0.06054528
1:Del:C:2	0.00205261	0.00824849	0.04692463
1:Del:C:3	0.00567470	0.00599116	0.02027274
1:Del:C:4	0.01526620	0.00269170	0.00802676
1:Del:C:5	0.03336895	0.00172220	0.00289360
1:Del:T:0	0.00178192	0.01364337	0.06524383
1:Del:T:1	0.00210061	0.00906675	0.04521364
1:Del:T:2	0.00402682	0.01384460	0.04482780
1:Del:T:3	0.01621127	0.01331221	0.04203991
1:Del:T:4	0.04493891	0.01239038	0.02338072
1:Del:T:5	0.59893546	0.07675488	0.00000000
1:Ins:C:0	0.00196310	0.01237697	0.00261392
1:Ins:C:1	0.00034741	0.00052733	0.00415955
1:Ins:C:2	0.00029141	0.00233303	0.00111022
1:Ins:C:3	0.00101194	0.00113202	0.00277983
1:Ins:C:4	0.00300434	0.00208724	0.00000000
1:Ins:C:5	0.01146295	0.01986644	0.00007734
1:Ins:T:0	0.00094042	0.00763044	0.00599548
1:Ins:T:1	0.00094077	0.01031574	0.03133140
1:Ins:T:2	0.00744675	0.00522001	0.01603633
1:Ins:T:3	0.00459313	0.00542683	0.01201341
1:Ins:T:4	0.00469753	0.01699357	0.00420421
1:Ins:T:5	0.15037745	0.51222550	0.02019826
2:Del:R:0	0.00159338	0.00660469	0.00813723
2:Del:R:1	0.00506210	0.01013635	0.02033714
2:Del:R:2	0.00297526	0.00270801	0.00732844
2:Del:R:3	0.01068158	0.00081610	0.00022189
2:Del:R:4	0.00770897	0.00000000	0.00101520
2:Del:R:5	0.01215833	0.00000000	0.00019710
3:Del:R:0	0.00032522	0.00332123	0.00476351
3:Del:R:1	0.00602797	0.01295125	0.02009723
3:Del:R:2	0.00227677	0.00249586	0.00423644
3:Del:R:3	0.00133580	0.00068788	0.00014756
3:Del:R:4	0.00043144	0.00004785	0.00000008
3:Del:R:5	0.00055289	0.00002512	0.00011511
4:Del:R:0	0.00017626	0.00331561	0.00682222
4:Del:R:1	0.00241314	0.00905023	0.00646005
4:Del:R:2	0.00118315	0.00282643	0.00026595
4:Del:R:3	0.00047435	0.00064345	0.00133999
4:Del:R:4	0.00040411	0.00006898	0.00000008
4:Del:R:5	0.00050770	0.00004838	0.00070285
5:Del:R:0	0.00021824	0.00814467	0.06929060
5:Del:R:1	0.00059850	0.00425720	0.00498378
5:Del:R:2	0.00038459	0.00026444	0.00000006
5:Del:R:3	0.00018520	0.00009501	0.00000002
5:Del:R:4	0.00010334	0.00000001	0.00000011
5:Del:R:5	0.00004072	0.00000000	0.00036290
2:Ins:R:0	0.00057225	0.00461500	0.00134783
2:Ins:R:1	0.00022064	0.00510882	0.00217809
2:Ins:R:2	0.00016587	0.00202268	0.00361513
2:Ins:R:3	0.00084299	0.00093575	0.00137644
2:Ins:R:4	0.00328572	0.00174758	0.00019745
2:Ins:R:5	0.01094913	0.01041178	0.00028086
3:Ins:R:0	0.00003093	0.00089116	0.00107702
3:Ins:R:1	0.00000000	0.00411527	0.00131089
3:Ins:R:2	0.00006063	0.00066406	0.00149452
3:Ins:R:3	0.00006012	0.00000000	0.00013719
3:Ins:R:4	0.00017053	0.00000001	0.00000012
3:Ins:R:5	0.00106399	0.00231651	0.00000000
4:Ins:R:0	0.00012087	0.00129667	0.00051855
4:Ins:R:1	0.00000368	0.00308441	0.00545725
4:Ins:R:2	0.00003966	0.00000000	0.00063647
4:Ins:R:3	0.00024347	0.00003810	0.00030242
4:Ins:R:4	0.00009040	0.00052004	0.00000000
4:Ins:R:5	0.00014877	0.00177666	0.00030276
5:Ins:R:0	0.00005987	0.00153279	0.00334915
5:Ins:R:1	0.00000000	0.01040016	0.01338256
5:Ins:R:2	0.00000000	0.00026032	0.00050593
5:Ins:R:3	0.00002050	0.00015627	0.00083622
5:Ins:R:4	0.00002500	0.00030330	0.00003630
5:Ins:R:5	0.00002980	0.00023328	0.00149747
2:Del:M:1	0.00369740	0.01141949	0.01937069
3:Del:M:1	0.00016983	0.00188896	0.00446224
3:Del:M:2	0.00243353	0.00668722	0.00703952
4:Del:M:1	0.00033666	0.00184935	0.00749455
4:Del:M:2	0.00096913	0.00284617	0.00806319
4:Del:M:3	0.00131029	0.00509747	0.01134271
5:Del:M:1	0.00013305	0.00657265	0.06670829
5:Del:M:2	0.00010840	0.00503483	0.05528910
5:Del:M:3	0.00014679	0.00283415	0.04548926
5:Del:M:4	0.00010349	0.00430412	0.01767851
5:Del:M:5	0.00017801	0.00568204	0.02018945
