Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP117655	1499	0.986	425.889	28.412%	99.97	17.622%	0.09569	0.985
Biliary-AdenoCA::SP117556	802	0.999	103.049	12.849%	17.108	4.391%	0.0426	0.999
Biliary-AdenoCA::SP117627	457	0.996	93.522	20.464%	17.833	9.609%	0.07635	0.995
Biliary-AdenoCA::SP117775	1011	0.995	200.792	19.861%	37.22	9.964%	0.0606	0.995
Biliary-AdenoCA::SP117332	155	0.961	69.048	44.547%	12.039	29.173%	0.25907	0.954
Biliary-AdenoCA::SP117712	529	0.98	162.542	30.726%	30.396	20.545%	0.10024	0.977
Biliary-AdenoCA::SP117017	387	0.994	99.742	25.773%	17.86	10.605%	0.11283	0.994
Biliary-AdenoCA::SP117031	965	0.998	169.454	17.56%	28.915	6.216%	0.07643	0.998
Biliary-AdenoCA::SP117759	1568	0.997	276.306	17.622%	72.087	10.426%	0.049	0.997
Biliary-AdenoCA::SP117621	875	0.998	138.774	15.86%	20.997	6.362%	0.05482	0.998
Biliary-AdenoCA::SP117425	597	0.983	196.904	32.982%	36.624	19.787%	0.13446	0.981
Biliary-AdenoCA::SP117930	1682	0.998	344.459	20.479%	93.302	10.397%	0.05677	0.998
Biliary-AdenoCA::SP99287	167	0.975	67.885	40.65%	12.305	22.705%	0.21716	0.971
Biliary-AdenoCA::SP99293	317	0.931	142.785	45.043%	27.879	37.733%	0.19209	0.912
Biliary-AdenoCA::SP99289	728	0.969	217.732	29.908%	45.132	24.801%	0.10237	0.961
Biliary-AdenoCA::SP99297	23	0.668	22.686	98.635%	5.6	75.51%	1.09672	0.616
Biliary-AdenoCA::SP99301	1282	0.991	429.029	33.466%	144.556	23.508%	0.10868	0.992
Biliary-AdenoCA::SP99305	268	0.985	88.545	33.039%	16.008	21.078%	0.1335	0.984
Biliary-AdenoCA::SP99309	495	0.993	135.017	27.276%	24.025	11.997%	0.10672	0.992
Biliary-AdenoCA::SP99313	544	0.866	263.601	48.456%	69.547	50.27%	0.191	0.833
Biliary-AdenoCA::SP99317	39	0.616	36.095	92.551%	8.756	79.6%	0.98179	0.525
Biliary-AdenoCA::SP99321	248	0.987	84.41	34.036%	14.33	16.029%	0.19789	0.986
Biliary-AdenoCA::SP99325	129378	1.0	4882.138	3.774%	1267.96	1.566%	1000.0	1.0
Biliary-AdenoCA::SP99329	521	0.737	384.664	73.832%	98.149	67.634%	0.76798	0.677
Biliary-AdenoCA::SP99333	253	0.988	88.697	35.058%	16.83	16.523%	0.19422	0.987
Biliary-AdenoCA::SP99337	444	0.997	118.402	26.667%	25.815	12.068%	0.10395	0.997
Biliary-AdenoCA::SP99341	335	0.993	128.636	38.399%	30.43	20.025%	0.15397	0.993
Biliary-AdenoCA::SP99345	56	0.911	33.229	59.338%	6.101	41.512%	0.40834	0.892
Biliary-AdenoCA::SP99113	79	0.793	56.237	71.186%	11.595	61.367%	1.13239	0.729
Biliary-AdenoCA::SP99185	435	0.934	178.179	40.961%	35.563	35.878%	0.1536	0.913
