MutationType	ZL-201155	ZL-201204T	ZL-201948	ZL-201999	ZL-202025	ZL-202046	ZL-202056	ZL-202079	ZL009041	ZL026642	ZL033326	ZL040761	ZL054594	ZL093073	ZL094531	ZL094587	ZL098594	ZL098834	ZL099873	ZL117411	ZL119464	ZL122906	ZL130896	ZL135285	ZL143005	ZL144459	ZL145150	ZL154137T	ZL160571	ZL160658	ZL163085	ZL163503	ZL165633	ZL166217	ZL169282	ZL170022	ZL171919	ZL173347	ZL173419	ZL173520	ZL176154	ZL183080	ZL183247	ZL185536	ZL187056T	ZL187784	ZL193447	ZL200007	ZL200095	ZL200191	ZL200205	ZL200206	ZL200236	ZL200258	ZL200312	ZL200387	ZL200509	ZL200531	ZL200638	ZL200746T	ZL200881T	ZL200942T	ZL200989T	ZL200995T	ZL201029T	ZL201057T	ZL201059T	ZL201074T	ZL201109T	ZL201144T	ZL201217T	ZL201238T	ZL201286T	ZL201292T	ZL201309T	ZL201325T	ZL201360T	ZL201378T	ZL201381T	ZL201403T	ZL201425T	ZL201450T	ZL201482T	ZL201509T	ZL201537T	ZL201557T	ZL201573T	ZL201645K	ZL201703T	ZL201949T	ZL202004T	ZL202165T	ZL202470	ZL202543T	ZL202690T	ZL202883	ZL203330	ZL203405T	ZL203684T	ZL203719T	ZL1056056	ZL1095842	ZL1132727	ZL1134324	ZL1135196	ZL1135526	ZL1135687	ZL1135777	ZL1135893	ZL1135916	ZL1136162	ZL1136289	ZL1136315	ZL1136555	ZL1136727	ZL1136761	ZL1137133	ZL1137172	ZL1137270	ZL1137379	ZL1137449	ZL1137632	ZL1137732	ZL1137748	ZL1137810	ZL1137816	ZL1138220	ZL1138247	ZL1138279	ZL1138297	ZL1138367	ZL1138649	ZL1138854	ZL1138867	ZL1139109	ZL1139195	ZL1139220	ZL1139421	ZL1139424	ZL1139564	ZL1139784	ZL1139936	ZL1139961	ZL1139972	ZL1140305	ZL1140523	ZL1140557	ZL1140665	ZL1141052	ZL1141078	ZL1141129	ZL1141141	ZL1141184	ZL1141410	ZL1141532	ZL203817T	ZL203846T	ZL204186T	ZL204195T	ZL204255T	ZL204283	ZL204310T	ZL204311T	ZL204365	ZL204405T	ZL204460T	ZL204484T	ZL204527	ZL204697T	ZL205085	ZL205563	ZL206293	ZL206427	ZL206489	ZL206535	ZL206558	ZL206640	ZL206724	ZL206733	ZL206735	ZL206748	ZL206763	ZL206773	ZL206777	ZL206783	ZL206797	ZL206838	ZL206853	ZL206871	ZL206878	ZL206884	ZL206888	ZL206915	ZL206918	ZL206920	ZL206924	ZL206939	ZL206956	ZL206962	ZL206990	ZL206993	ZL207022	ZL207039	ZL207045	ZL207048	ZL207056	ZL207061	ZL207066	ZL207079	ZL207103	ZL207105	ZL207125	ZL207165	ZL207195	ZL207197	ZL207206	ZL207219	ZL207264	ZL207278	ZL207281	ZL207288	ZL207295	ZL207350	ZL207353	ZL207357	ZL207365	ZL207366	ZL207393	ZL207402	ZL207405	ZL207445	ZL207452	ZL207455	ZL207484	ZL207492	ZL207513	ZL207523	ZL207525	ZL207527	ZL207551	ZL207587	ZL207640	ZL207656	ZL207657	ZL207667	ZL207675	ZL207686	ZL207714	ZL207732	ZL207783	ZL207806	ZL207826	ZL207852	ZL207866	ZL207878	ZL207879	ZL207887	ZL207888	ZL207891	ZL207904	ZL207916	ZL207917	ZL207920	ZL207931	ZL207958	ZL207961	ZL207966	ZL207975	ZL208000	ZL208008	ZL208010	ZL208013	ZL208016	ZL208039	ZL208043	ZL208069	ZL208079	ZL208105	ZL208108	ZL208122	ZL208124	ZL208125	ZL208131	ZL208137	ZL208146	ZL208150	ZL208180	ZL208202	ZL208213	ZL208214	ZL208215	ZL208231	ZL208250	ZL208275	ZL208283	ZL208289	ZL208320	ZL208379	ZL208386	ZL208387	ZL208401	ZL208439	ZL208444	ZL208449	ZL208452	ZL208465	ZL208480	ZL208501	ZL208523	ZL208526	ZL208528	ZL208535	ZL208564	ZL208566	ZL208592	ZL208611	ZL208626	ZL208634	ZL208658	ZL208685	ZL208701	ZL208705	ZL208723	ZL208735	ZL208740	ZL208773	ZL208788	ZL208801	ZL208818	ZL208837	ZL208845	ZL208850	ZL208856	ZL208921	ZL208964	ZL209052	ZL209059	ZL209069	ZL209078	ZL209088	ZL209090	ZL209137	ZL209139	ZL209162	ZL209192	ZL209237	ZL209265	ZL209270	ZL209281	ZL209283	ZL209318	ZL209319	ZL209342	ZL209356	ZL209364	ZL209372	ZL209387	ZL209390	ZL209397	ZL209398	ZL209404	ZL209456	ZL209483	ZL209518	ZL209519	ZL209543	ZL209566	ZL209579	ZL209581	ZL209590	ZL209640	ZL209645	ZL209672	ZL209700	ZL209753	ZL209773	ZL209937	ZL210018	ZL210024	ZL210047	ZL210086	ZL210088	ZL210124	ZL210126	ZL210128	ZL210133	ZL210141	ZL210168	ZL210182	ZL210192	ZL210193	ZL210198	ZL210222	ZL210245	ZL210261	ZL210323	ZL210353	ZL210362	ZL210390	ZL210396	ZL210399	ZL210424	ZL210445	ZL210460	ZL210522	ZL210798	ZL210842	ZL210860	ZL210905	ZL210917	ZL210961	ZL211081	ZL211093	ZL211372	ZL211383	ZL211402	ZL211456	ZL211498	ZL211549	ZL211583	ZL211599	ZL211606	ZL211643	ZL211653	ZL211683	ZL211693	ZL211703	ZL211704	ZL211707	ZL211709	ZL211710	ZL211720	ZL211733	ZL211761	ZL211768	ZL211789	ZL211817	ZL211826	ZL211827	ZL211828	ZL211891	ZL211921	ZL211953	ZL211974	ZL211976	ZL212037	ZL212061	ZL212063	ZL212068	ZL212097	ZL212098	ZL212237	ZL212250	ZL212278	ZL212293	ZL212299	ZL212357	ZL212392	ZL212423	ZL212425	ZL212433	ZL212462	ZL212505	ZL212534	ZL212590	ZL212614	ZL212645	ZL212991	ZL213246	ZL213328	ZL213518	ZL213692	ZL213785	ZL213801	ZL213836	ZL214548	ZL214774	ZL215712	ZL217568	ZL217739	ZL471600	ZL685304	ZL724573	ZL769907	ZL788093	ZL811557	ZL838091	ZL885253	ZL903239	ZL904678	ZL981061	ZL984521	ZL995439	ZL998638
1:Del:C:0	6	34	52	26	10	42	32	21	76	45	32	0	43	54	31	60	339	42	47	50	30	29	39	27	175	26	50	23	39	23	36	62	22	36	37	8	87	7	45	28	13	35	0	60	11	25	30	39	33	29	32	23	13	29	20	43	17	20	27	17	18	44	35	25	48	22	38	40	19	24	6	36	25	9	52	17	9	15	67	30	33	22	26	24	26	33	25	69	37	47	22	48	25	27	87	32	19	11	23	21	33	42	43	32	44	16	42	48	17	29	23	36	0	42	154	91	49	0	73	0	39	25	43	79	14	34	48	29	28	37	24	38	27	29	35	78	16	14	23	44	44	26	60	51	9	66	12	30	29	30	35	74	40	53	31	39	45	39	8	54	51	26	26	21	39	29	39	42	43	27	49	80	20	20	19	50	19	8	0	37	87	2	27	33	27	37	59	133	11	19	74	58	27	49	39	21	30	23	41	33	50	14	54	12	23	49	32	22	61	16	24	32	33	28	36	30	7	15	41	55	10	19	22	21	26	34	37	48	1	50	103	24	48	33	51	39	22	43	35	61	32	15	84	19	34	23	82	17	35	29	23	28	15	66	48	35	23	37	41	32	46	34	32	0	42	29	68	27	34	60	43	51	13	21	7	47	23	29	45	30	15	22	83	45	8	37	42	20	15	46	32	25	33	49	22	37	53	29	44	25	16	31	17	15	48	24	17	64	34	41	44	6	40	30	27	52	26	42	15	104	29	24	26	13	21	22	0	98	26	39	56	45	25	48	43	43	19	33	54	48	14	27	27	39	65	24	25	46	41	23	47	34	44	33	44	4	5	23	42	202	0	1	33	42	40	28	26	48	37	27	24	26	54	30	52	14	169	19	41	36	32	23	58	25	50	48	51	53	12	24	16	13	7	16	20	46	23	31	23	40	9	15	6	33	55	26	35	44	29	0	37	34	0	10	37	20	33	48	26	51	27	74	32	32	32	29	27	44	0	49	39	45	16	42	17	0	16	30	23	34	36	49	18	39	31	34	9	30	11	23	17	34	31	17	34	12	33	35	38	49	145	20	48	27	57	66	20	16	28	37	38	0	21	27	8	25	26	18	31	26	32	76	35	37	53	24	56	31	104	75	26	25	42	33
1:Del:C:1	1	41	41	18	21	48	28	55	294	43	65	0	65	44	28	60	132	48	53	85	65	32	57	43	823	27	96	27	57	31	38	95	13	15	34	27	84	2	80	42	12	70	0	35	9	44	35	37	41	35	24	38	19	28	21	85	24	27	40	14	29	65	39	30	86	27	74	56	26	28	4	27	19	18	119	9	25	12	167	33	33	25	30	12	16	31	19	85	28	105	31	47	16	22	37	21	22	13	27	20	29	46	121	45	78	28	41	47	14	26	41	48	1	54	645	156	144	1	109	0	48	15	71	159	15	42	69	28	48	125	16	92	52	21	31	21	24	28	20	38	46	15	89	69	18	186	13	88	24	28	50	111	28	56	46	31	45	50	18	87	45	21	18	23	17	19	41	29	48	29	34	56	25	44	36	39	14	13	0	48	192	1	16	39	32	22	90	120	6	40	72	78	52	37	80	23	28	17	31	46	62	14	63	16	21	53	21	15	62	11	28	32	49	68	37	46	11	11	34	38	15	6	26	16	23	20	43	73	2	40	35	29	74	36	69	33	17	58	30	61	33	41	98	19	37	39	46	20	31	59	24	33	18	64	92	78	32	38	52	22	39	28	48	0	31	43	96	29	41	187	89	57	8	11	13	54	22	39	66	50	20	31	68	56	15	39	64	18	18	37	32	26	36	115	18	24	83	33	53	19	19	22	33	21	52	22	14	87	75	47	72	12	40	41	29	45	37	27	17	192	16	28	28	37	21	24	1	94	13	39	54	28	22	46	35	127	28	18	79	26	12	21	19	37	45	29	28	36	49	36	58	28	51	24	84	1	6	21	70	60	0	0	32	56	31	28	30	62	60	21	22	30	76	16	54	26	156	13	46	45	49	27	77	33	36	153	47	55	11	18	15	15	9	23	39	54	24	35	21	45	12	19	7	41	109	33	28	61	51	0	75	57	0	24	39	27	40	54	24	38	65	132	110	39	29	28	21	28	1	31	45	59	11	63	14	0	16	48	18	39	30	55	23	20	29	50	7	15	11	32	15	43	45	24	31	20	38	40	118	94	73	18	55	22	134	71	24	22	22	36	112	0	38	21	18	25	19	28	41	18	41	295	86	38	71	37	154	34	549	63	46	49	36	28
1:Del:C:2	0	23	22	9	8	27	13	25	98	23	40	0	35	29	19	29	131	14	15	34	39	8	17	28	317	14	54	7	38	22	21	67	8	11	24	19	34	0	27	25	5	37	0	16	0	23	19	14	11	30	23	35	15	17	8	40	16	27	23	2	11	47	15	19	37	8	27	27	5	15	7	18	21	9	60	11	1	1	75	15	18	6	14	7	2	17	4	61	15	47	13	27	5	10	18	12	14	8	13	7	8	22	34	20	41	20	22	19	8	12	16	18	0	21	286	82	45	0	43	0	42	10	50	103	7	20	40	13	28	47	19	46	31	14	21	17	4	15	6	19	45	18	60	43	11	76	3	41	13	27	15	68	12	38	28	21	28	42	1	46	26	14	8	5	17	9	22	26	24	7	25	32	13	27	11	21	21	12	0	23	81	0	11	19	15	16	32	62	3	20	45	58	24	26	36	4	30	9	22	26	53	5	35	0	9	33	14	20	27	1	15	23	17	18	28	16	2	3	27	27	9	6	18	14	15	14	27	37	0	25	14	19	38	24	36	30	10	28	18	41	12	20	63	10	19	15	38	6	14	27	8	32	0	43	52	20	15	16	61	14	34	13	26	0	9	17	49	20	22	81	52	36	5	2	4	23	9	18	39	21	5	17	41	39	13	27	36	9	15	16	18	15	29	37	11	9	26	19	33	7	11	11	14	5	27	9	2	44	32	22	29	2	27	31	12	31	15	16	10	64	13	29	18	11	12	9	0	52	9	34	24	17	8	10	24	47	11	11	42	25	4	13	12	21	31	12	12	25	29	20	34	22	38	14	45	0	1	7	27	26	0	0	19	27	20	14	23	26	28	5	18	10	51	10	21	16	87	11	24	24	20	17	46	12	14	64	25	28	6	12	20	2	8	10	26	30	13	21	8	12	9	11	3	22	69	9	21	46	3	0	36	22	0	10	37	9	35	37	27	18	26	45	43	13	26	14	9	11	0	34	34	37	3	32	11	0	12	19	15	25	17	35	12	17	22	15	1	10	5	19	7	29	12	12	32	12	13	28	53	39	47	5	27	9	60	58	24	6	15	16	51	0	16	16	9	11	10	17	13	7	31	104	36	42	17	19	77	30	233	33	22	20	15	16
1:Del:C:3	0	14	16	11	8	9	13	10	53	15	16	0	16	12	9	14	287	7	13	15	16	7	12	10	172	4	28	6	13	7	12	31	3	3	11	11	8	0	24	21	4	13	0	16	0	12	7	7	9	12	9	15	5	7	2	23	4	12	8	2	7	16	7	11	17	1	19	10	4	10	2	8	6	5	26	5	2	2	21	8	12	5	8	5	1	7	5	34	8	30	9	12	3	11	12	8	8	6	10	9	11	13	24	11	17	14	12	8	5	13	10	13	0	10	141	25	19	0	28	0	14	4	19	35	5	19	18	3	12	42	5	15	18	3	14	4	3	7	0	14	21	8	22	16	6	34	6	17	3	12	15	35	10	14	14	11	10	18	0	25	12	6	8	11	6	8	15	15	10	5	10	16	8	12	6	11	6	5	0	20	48	0	9	16	5	5	16	29	0	9	33	14	13	9	19	3	6	3	8	14	21	5	18	1	10	17	9	5	20	6	7	10	19	15	8	11	0	4	19	23	4	2	8	11	9	8	17	26	0	11	7	10	17	12	16	10	3	23	9	10	8	8	25	4	7	9	17	2	9	9	9	12	1	18	28	9	5	7	24	7	13	6	16	0	6	12	24	8	19	53	28	24	4	5	0	10	4	13	19	10	2	4	26	20	8	7	13	6	4	10	9	15	20	21	9	8	21	13	12	2	4	4	5	6	15	12	1	23	23	15	25	1	17	13	12	19	11	7	7	37	8	7	9	11	3	8	0	23	3	15	9	8	5	6	11	29	5	8	12	12	1	3	8	13	13	6	5	15	18	8	14	10	13	7	19	0	0	6	25	15	0	0	7	13	10	4	15	8	24	6	3	4	25	5	13	5	146	3	12	11	5	4	16	11	11	29	16	17	2	6	5	1	5	9	15	15	7	8	7	17	4	5	0	9	34	4	9	26	5	0	25	13	0	3	12	8	17	22	7	13	11	14	20	8	7	13	9	7	0	19	23	19	3	21	6	0	3	15	12	12	8	19	3	8	6	11	1	6	2	4	10	20	11	3	9	8	18	15	22	24	108	4	20	4	47	23	4	4	4	8	26	0	9	12	5	12	4	7	8	2	14	71	24	17	16	19	29	12	123	23	13	10	4	8
1:Del:C:4	0	9	5	5	6	5	5	4	22	12	12	0	14	11	7	3	454	7	8	11	14	3	5	4	53	0	9	4	13	4	10	8	2	6	14	3	10	2	9	6	1	9	0	8	0	6	3	5	6	7	7	9	7	6	5	9	3	10	10	0	8	13	5	5	15	3	11	7	3	2	2	6	4	2	14	3	1	0	10	7	9	3	7	5	1	6	2	16	3	8	3	9	4	4	9	2	5	2	6	2	2	4	13	4	15	5	8	3	0	11	5	4	0	4	59	20	11	0	9	0	4	4	5	29	3	3	11	3	8	12	3	11	3	2	5	4	1	6	1	5	9	1	12	13	6	14	1	13	5	10	4	24	10	7	10	3	3	12	0	10	7	5	3	1	2	5	8	8	7	2	4	9	6	5	3	7	4	7	0	3	25	0	6	3	2	7	8	21	1	6	13	16	3	8	11	1	4	7	4	6	20	2	9	0	4	7	3	6	7	4	2	6	5	5	10	4	1	0	10	9	1	4	5	2	4	8	7	3	0	10	9	10	12	5	9	8	2	10	7	2	6	0	7	6	5	2	13	1	4	13	3	9	0	10	8	2	3	7	13	5	7	2	6	0	7	6	12	4	9	25	5	8	2	1	0	10	4	3	6	8	2	3	10	6	0	3	6	2	3	4	5	11	8	10	3	4	12	4	15	1	2	5	3	2	8	3	0	13	7	10	10	1	7	6	6	10	4	7	2	21	7	8	2	5	3	3	0	21	6	11	7	9	2	1	4	5	5	4	13	6	2	5	4	3	24	4	4	10	7	5	14	4	7	3	12	0	0	2	8	7	0	0	5	6	13	1	8	8	5	1	6	1	10	3	3	3	268	3	10	7	9	2	7	5	9	12	14	4	4	3	6	0	1	4	6	15	3	4	2	11	2	4	0	6	22	1	6	10	1	0	12	6	0	3	5	1	11	7	5	3	9	6	7	3	3	3	3	9	0	12	7	7	2	7	5	0	2	6	2	5	7	8	5	7	7	4	0	1	1	6	5	10	9	3	4	1	6	8	14	10	225	4	13	10	19	11	9	4	2	8	12	0	3	2	0	5	1	3	7	6	10	21	10	13	7	4	20	3	50	6	11	4	6	5
1:Del:C:5	0	1	1	4	3	2	6	2	3	6	7	0	4	5	1	4	1127	3	1	1	8	0	1	7	16	2	5	2	9	5	6	3	3	10	1	0	0	2	2	5	1	4	0	5	0	5	1	1	2	4	3	2	3	2	4	8	2	5	2	0	3	8	6	2	3	3	5	2	4	2	0	1	2	2	7	1	1	0	5	1	3	0	2	3	0	3	3	7	1	6	3	3	1	2	3	3	3	2	3	1	0	3	6	1	4	1	6	5	5	3	3	1	0	3	20	6	7	0	15	0	8	2	7	8	4	2	6	0	6	8	4	6	1	3	3	2	2	2	2	7	5	2	7	13	2	8	2	5	2	3	5	6	6	5	3	5	6	9	0	6	5	3	6	3	5	2	6	6	6	2	5	6	7	2	1	4	3	0	0	2	15	0	1	3	1	4	6	9	0	3	9	8	2	3	10	0	6	4	0	3	11	1	11	0	1	2	2	5	12	4	3	3	3	0	4	4	0	2	5	4	3	2	4	1	2	4	5	4	0	2	21	4	6	3	4	4	3	2	3	2	0	3	4	3	1	3	5	0	1	3	2	2	0	12	6	4	1	7	12	2	5	6	10	0	5	5	2	2	6	7	6	7	3	2	0	6	3	6	1	4	2	5	6	2	5	3	3	2	1	2	4	1	6	6	2	5	9	2	3	1	6	2	5	1	9	2	0	11	3	3	6	2	3	5	3	7	2	2	3	10	2	2	3	3	2	3	0	10	1	3	5	6	1	0	4	7	2	11	15	5	3	5	2	1	1	9	1	8	1	5	2	6	6	4	3	0	0	0	3	11	0	0	3	5	4	1	7	2	6	1	5	5	4	3	1	2	677	5	2	3	5	3	4	6	4	6	5	8	2	1	3	0	2	6	4	5	3	3	4	8	1	1	0	7	6	1	6	4	0	0	2	2	0	0	3	7	3	5	2	5	4	3	3	3	2	4	3	7	0	8	2	8	1	5	0	0	2	4	0	1	3	6	4	1	3	6	0	2	0	3	2	4	8	3	3	2	3	1	5	4	627	1	2	6	7	6	1	2	0	6	7	0	4	3	2	5	3	3	1	3	4	7	8	4	5	4	10	6	15	4	7	3	3	3
1:Del:T:0	2	32	23	38	35	30	23	63	380	42	100	0	36	41	34	32	250	41	28	96	62	34	53	81	822	20	124	11	41	35	25	66	15	19	31	74	56	4	103	38	11	77	0	57	9	20	39	37	33	38	28	40	13	20	14	80	28	28	26	19	19	24	23	22	71	26	87	78	33	16	3	18	31	27	92	18	16	22	221	40	42	24	38	20	6	32	28	76	37	109	29	28	15	20	40	19	23	14	28	20	22	35	152	24	61	57	33	63	28	30	34	46	0	57	725	101	150	2	83	0	109	14	44	81	17	62	108	23	34	161	25	101	78	31	47	28	43	43	13	32	36	15	86	44	16	305	18	128	17	33	45	95	30	68	42	25	33	62	9	71	55	28	22	16	22	31	67	46	65	25	35	41	14	25	12	58	15	11	0	60	331	4	17	40	16	37	93	52	11	57	54	55	73	26	31	11	45	17	69	77	33	7	35	15	28	28	16	10	67	9	57	22	36	82	24	30	13	14	33	37	14	11	20	28	19	15	53	120	2	35	54	30	86	31	36	39	17	60	14	76	34	35	79	29	38	21	53	24	34	33	23	21	17	46	76	152	25	30	38	24	26	30	41	0	27	40	126	42	28	384	91	36	18	11	11	51	15	50	62	45	40	31	76	30	15	22	39	17	8	32	40	28	35	130	23	25	169	28	64	12	12	18	20	30	49	17	9	51	93	78	124	7	31	32	50	49	25	31	25	182	27	30	20	67	13	29	0	55	19	28	66	24	14	29	30	157	23	36	94	38	14	35	20	37	55	38	31	32	26	34	38	38	56	21	108	3	8	24	42	43	1	0	28	91	22	25	17	69	92	21	24	28	76	24	32	16	247	26	110	30	55	29	52	51	41	159	32	32	9	21	50	6	7	20	55	33	25	32	27	37	18	17	6	31	151	28	22	45	52	1	221	32	0	26	45	21	46	51	20	57	74	139	115	20	57	24	22	33	0	47	53	57	11	104	12	0	19	48	16	43	36	36	27	26	26	30	11	15	15	20	16	52	29	33	25	26	23	29	88	63	124	21	28	22	276	82	32	8	19	34	190	1	22	30	7	40	16	16	37	21	55	244	112	49	49	106	157	56	500	47	34	64	27	25
1:Del:T:1	1	31	20	16	30	58	21	31	134	27	48	0	30	18	22	28	193	39	29	70	41	20	35	35	284	23	61	19	50	20	19	59	16	8	26	40	21	0	76	28	10	41	0	28	14	19	26	26	18	21	29	29	21	15	14	33	20	22	10	18	10	24	20	12	45	23	47	38	30	21	7	20	25	18	45	14	17	7	75	26	34	17	20	13	17	32	16	59	22	64	21	21	6	18	23	16	18	11	18	12	13	30	98	18	51	38	30	30	10	24	32	35	1	45	305	73	54	0	49	0	44	13	32	70	20	41	68	19	15	87	25	62	46	20	36	19	24	23	12	24	32	18	60	36	10	121	21	45	25	20	29	58	26	48	33	18	22	36	10	43	42	22	17	19	20	16	30	28	43	29	30	39	17	22	12	29	15	16	0	33	116	2	11	35	23	24	56	34	11	32	37	53	36	36	28	16	29	17	35	52	35	17	36	8	19	26	12	15	44	2	21	21	27	38	32	28	10	14	25	43	10	13	14	13	9	15	37	69	0	27	41	13	75	32	35	30	16	54	14	62	27	21	35	16	16	15	52	14	39	26	20	32	17	29	40	71	24	17	33	16	20	21	37	0	10	34	68	30	31	130	45	30	10	5	10	23	18	40	38	34	20	14	53	34	20	15	33	10	4	36	32	21	27	77	18	14	104	27	38	26	14	13	22	25	32	23	10	35	56	49	55	1	21	21	26	34	25	16	6	80	29	29	19	34	9	25	1	39	23	10	32	8	21	34	33	79	14	24	36	24	14	28	16	43	37	22	14	22	19	26	27	28	40	30	76	2	7	21	41	26	0	0	21	49	22	18	22	27	43	17	17	19	45	15	27	8	170	18	54	22	48	23	43	26	32	51	36	34	9	25	19	7	11	20	30	27	22	19	23	22	11	9	5	21	82	30	21	36	31	0	73	21	0	22	36	21	42	50	17	32	52	32	58	24	28	26	15	33	0	30	28	30	10	54	11	1	20	36	12	32	36	40	16	17	27	25	6	17	8	15	14	37	12	31	31	22	20	20	50	47	95	22	26	14	129	55	20	6	10	25	107	0	12	26	7	26	12	14	24	13	33	97	45	26	40	48	84	41	207	34	30	31	12	22
1:Del:T:2	1	32	32	21	14	27	14	12	58	25	36	0	30	22	26	37	237	31	25	55	20	20	25	16	118	19	44	7	29	17	28	37	10	19	20	16	26	1	43	30	4	44	0	36	3	24	17	24	25	17	29	17	11	23	15	36	19	18	14	1	10	12	20	13	31	9	19	20	19	10	5	21	24	18	37	10	5	0	25	27	12	15	20	11	7	20	15	41	14	34	25	25	11	23	38	16	18	7	26	11	13	30	49	36	27	25	27	33	8	20	20	24	0	17	98	43	23	0	30	0	26	16	32	33	10	27	57	18	21	29	17	31	40	24	30	18	6	18	5	24	20	8	25	40	12	44	8	28	16	22	31	45	15	37	20	16	19	27	2	49	45	24	13	19	15	21	32	22	26	16	23	25	16	30	7	35	11	7	0	27	55	0	7	22	24	12	39	36	6	21	36	36	22	33	20	8	32	17	24	25	26	2	26	2	16	15	15	18	20	7	17	23	22	12	28	22	0	3	34	21	7	16	19	12	20	14	33	36	0	18	26	22	57	18	30	34	12	29	26	39	18	12	34	10	18	8	42	3	20	25	14	35	0	27	30	19	19	18	23	16	13	18	32	0	22	27	41	25	22	53	34	22	14	7	4	17	14	36	32	25	10	18	48	22	11	22	31	12	9	29	31	15	11	42	20	16	38	21	27	23	12	12	21	12	21	19	7	42	35	24	26	0	21	31	22	34	20	17	8	31	20	28	27	24	11	21	0	37	10	15	24	21	18	8	25	34	7	21	29	29	9	33	18	25	35	24	21	10	27	26	26	26	35	21	41	0	0	18	30	44	0	0	27	26	18	18	21	25	32	15	19	15	36	12	21	9	134	11	36	10	32	21	38	20	31	35	30	30	6	10	21	1	12	16	21	35	22	17	16	23	14	12	0	22	37	8	22	26	5	0	38	29	0	7	34	10	24	46	13	28	29	33	30	21	27	19	18	17	0	32	26	38	9	24	11	0	13	23	15	22	21	23	13	22	20	24	3	10	5	23	14	26	23	12	20	15	23	29	28	19	94	15	34	12	49	33	11	8	14	17	43	0	19	13	10	15	18	11	23	14	17	50	54	19	23	37	50	23	75	39	29	22	23	22
1:Del:T:3	0	21	18	12	15	21	16	6	32	28	21	0	23	18	17	25	576	15	24	25	23	11	11	18	63	9	34	9	21	18	23	41	8	20	21	14	24	5	27	27	4	37	0	33	0	18	28	15	27	23	21	19	22	26	12	17	16	9	8	0	17	25	13	9	30	12	13	22	9	7	2	15	17	11	30	7	1	0	21	26	19	13	19	5	3	17	13	25	18	26	22	27	4	16	25	20	12	13	13	14	10	14	32	24	27	21	26	41	5	21	12	22	0	20	62	29	21	0	21	0	21	11	22	29	13	24	56	14	19	13	13	20	15	20	24	30	6	17	6	20	25	12	21	32	12	21	15	28	7	30	22	43	28	31	22	23	29	22	3	24	24	12	15	7	20	18	20	21	33	10	23	37	6	17	2	39	13	11	0	24	38	0	10	12	13	19	32	44	7	18	37	42	11	23	26	2	19	15	30	19	23	10	35	0	8	12	9	15	22	7	16	16	22	11	20	22	1	6	27	20	4	8	17	15	7	22	25	47	0	15	59	20	33	30	23	19	13	26	12	33	14	10	31	16	17	17	42	2	19	25	11	35	4	18	21	11	12	18	19	16	20	28	19	0	19	20	27	22	20	32	13	22	12	5	5	11	20	19	20	23	14	13	41	15	14	18	23	14	10	18	28	11	19	22	14	16	33	23	23	13	10	17	14	14	24	22	2	26	20	24	25	0	20	17	22	16	26	11	7	39	20	30	18	13	16	23	0	35	12	14	23	17	13	13	16	18	5	20	30	37	8	11	17	32	29	18	15	10	23	28	29	14	18	18	24	0	0	11	28	33	0	0	14	21	17	18	19	30	19	7	14	15	18	11	23	16	267	9	34	18	36	24	35	23	30	23	20	31	10	13	9	3	8	14	20	19	18	25	10	15	11	8	2	21	37	7	23	44	5	0	34	35	0	7	22	15	24	34	27	31	27	29	21	16	15	19	14	21	0	34	15	21	8	19	7	0	12	21	14	12	16	20	20	24	23	15	3	8	4	18	11	22	15	14	23	12	13	12	29	30	178	10	24	14	36	20	9	10	15	22	31	0	21	24	13	18	22	11	13	17	17	40	21	16	26	25	30	21	40	47	21	20	19	23
