Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
ZL-201155	16	0	21	13	0
ZL-201204T	113	21	0	0	0
ZL-201948	49	0	38	39	28
ZL-201999	31	13	18	0	0
ZL-202025	19	15	12	0	13
ZL-202046	44	0	25	19	0
ZL-202056	18	11	0	27	0
ZL-202079	12	61	48	0	0
ZL009041	525	395	0	0	0
ZL026642	126	0	0	82	0
ZL033326	65	54	33	0	0
ZL054594	108	0	41	41	0
ZL093073	102	0	0	74	0
ZL094531	92	0	43	0	0
ZL094587	67	0	32	48	34
ZL098594	89	61	0	88	0
ZL098834	112	0	0	53	0
ZL099873	75	0	31	0	23
ZL117411	61	65	56	0	0
ZL119464	83	27	24	0	0
ZL122906	43	0	24	0	0
ZL130896	83	0	0	69	0
ZL135285	102	53	0	0	0
ZL143005	62	836	0	0	0
ZL144459	61	0	25	0	0
ZL145150	125	89	34	0	0
ZL154137T	17	0	10	22	0
ZL160571	37	0	24	25	72
ZL160658	18	11	18	0	16
ZL163085	42	0	12	43	0
ZL163503	234	42	0	0	65
ZL165633	9	0	8	24	0
ZL166217	9	10	10	22	0
ZL169282	69	18	21	0	0
ZL170022	22	43	20	0	0
ZL171919	59	0	27	58	62
ZL173347	0	0	7	0	0
ZL173419	102	39	49	0	42
ZL173520	37	0	11	19	0
ZL176154	17	0	0	18	0
ZL183080	13	21	17	31	15
ZL185536	134	0	34	0	0
ZL187056T	8	0	6	0	9
ZL187784	61	0	28	0	0
ZL193447	27	14	20	39	0
ZL200007	103	0	0	35	0
ZL200095	34	0	22	26	0
ZL200191	85	0	79	0	0
ZL200205	60	0	15	23	0
ZL200206	77	25	0	0	0
ZL200236	12	0	14	15	0
ZL200258	38	0	40	0	0
ZL200312	17	0	8	21	0
ZL200387	47	67	0	33	0
ZL200509	9	0	23	0	11
ZL200531	43	0	0	0	19
ZL200638	49	15	11	0	0
ZL200746T	42	0	22	0	0
ZL200881T	11	0	21	0	29
ZL200942T	170	0	0	66	0
ZL200989T	81	0	28	28	0
ZL200995T	98	0	34	0	48
ZL201029T	66	0	0	54	0
ZL201057T	54	0	14	0	32
ZL201059T	52	68	0	60	0
ZL201074T	74	62	47	0	0
ZL201109T	15	0	0	35	0
ZL201144T	24	14	11	0	0
ZL201217T	3	0	5	0	0
ZL201238T	75	0	23	0	0
ZL201286T	27	0	16	24	0
ZL201292T	8	20	13	0	0
ZL201309T	81	75	0	82	0
ZL201325T	9	0	8	0	0
ZL201360T	38	0	17	0	0
ZL201378T	56	21	19	0	0
ZL201381T	64	248	0	49	0
ZL201403T	46	18	32	0	27
ZL201425T	33	24	25	0	21
ZL201450T	41	22	0	0	0
ZL201482T	71	16	28	0	0
ZL201509T	27	0	30	0	0
ZL201537T	15	0	11	0	15
ZL201557T	59	0	76	0	0
ZL201573T	44	0	23	0	0
ZL201645K	389	0	58	0	0
ZL201703T	56	0	41	0	0
ZL201949T	65	54	36	0	44
ZL202004T	67	0	22	0	0
ZL202165T	118	0	75	0	0
ZL202470	13	0	0	21	13
ZL202543T	25	0	40	0	0
ZL202690T	38	14	0	54	0
ZL202883	74	0	0	32	0
ZL203330	39	0	20	18	0
ZL203405T	30	0	18	0	0
ZL203684T	96	0	18	0	0
ZL203719T	46	0	24	0	0
ZL1056056	0	0	21	15	34
ZL1095842	103	0	38	0	0
ZL1132727	67	76	0	39	0
ZL1134324	34	15	20	26	0
ZL1135196	235	0	0	54	0
ZL1135526	25	17	0	32	0
ZL1135687	48	0	0	56	30
ZL1135777	46	0	18	53	0
ZL1135893	17	0	7	16	0
