MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.00494008	0.01314834	0.06140914	0.02951094	0.10803332	0.06944280	0.00545072
1:Del:C:1	0.00031670	0.00000001	0.03168158	0.16082215	0.16974006	0.00367777	0.00956701
1:Del:C:2	0.00091696	0.00000033	0.01921204	0.05456808	0.11194196	0.00019375	0.00558825
1:Del:C:3	0.00383725	0.00137546	0.01159539	0.03444975	0.04538196	0.00023329	0.00509444
1:Del:C:4	0.00878691	0.00072987	0.00905375	0.00986961	0.02727331	0.00000261	0.00382231
1:Del:C:5	0.02412296	0.00212122	0.00391551	0.00266442	0.01203661	0.00000056	0.00150528
1:Del:T:0	0.00291964	0.00178087	0.04834274	0.24934859	0.04519535	0.01331071	0.00628058
1:Del:T:1	0.00273615	0.00564449	0.07171113	0.09092400	0.03851875	0.00990550	0.00708347
1:Del:T:2	0.00274194	0.01106231	0.06097965	0.02953969	0.04032563	0.01969086	0.00220929
1:Del:T:3	0.00792007	0.01149827	0.05440547	0.01071505	0.03251386	0.02315528	0.00000000
1:Del:T:4	0.02186117	0.01174080	0.03412467	0.00208388	0.03241302	0.01535553	0.00277382
1:Del:T:5	0.58867158	0.02645508	0.00000023	0.00001256	0.02062828	0.00031836	0.00000035
1:Ins:C:0	0.00252885	0.00732998	0.00322842	0.00306068	0.01438429	0.03334127	0.01406786
1:Ins:C:1	0.00063996	0.00221734	0.00980508	0.00028128	0.00286849	0.00444618	0.00222387
1:Ins:C:2	0.00049169	0.00018378	0.00494812	0.00000131	0.00507634	0.00382878	0.00425281
1:Ins:C:3	0.00121809	0.00096685	0.00252220	0.00022669	0.00458815	0.00144625	0.00066182
1:Ins:C:4	0.00336461	0.00196739	0.00070188	0.00001014	0.00319700	0.00157033	0.00038425
1:Ins:C:5	0.01198034	0.02383208	0.00531740	0.00216985	0.00160881	0.00018991	0.00370792
1:Ins:T:0	0.00163614	0.00564605	0.00018393	0.00126787	0.09231452	0.00630806	0.00815046
1:Ins:T:1	0.00164478	0.00261971	0.06592632	0.00141902	0.02533244	0.00409376	0.00599125
1:Ins:T:2	0.01133275	0.00197867	0.03144320	0.00143332	0.01431753	0.00570138	0.00251884
1:Ins:T:3	0.00609309	0.00374062	0.02500329	0.00035769	0.00826328	0.00208696	0.00293615
1:Ins:T:4	0.00431402	0.01112942	0.00978420	0.00014334	0.00497718	0.00301876	0.00112842
1:Ins:T:5	0.20388984	0.75598404	0.04190136	0.05175853	0.03075615	0.03135991	0.05852235
2:Del:R:0	0.00134495	0.00061623	0.01835449	0.03277708	0.00685182	0.01417709	0.00010303
