Type,Subtype,Indel_size,Repeat_MH_size,Biliary-AdenoCA::SP117556
DEL,C,1,0,25
DEL,C,1,1,13
DEL,C,1,2,3
DEL,C,1,3,6
DEL,C,1,4,3
DEL,C,1,5+,5
DEL,T,1,0,9
DEL,T,1,1,7
DEL,T,1,2,11
DEL,T,1,3,10
DEL,T,1,4,15
DEL,T,1,5+,145
INS,C,1,0,6
INS,C,1,1,0
INS,C,1,2,1
INS,C,1,3,1
INS,C,1,4,2
INS,C,1,5+,9
INS,T,1,0,3
INS,T,1,1,7
INS,T,1,2,5
INS,T,1,3,6
INS,T,1,4,13
INS,T,1,5+,358
DEL,repeats,2,0,3
DEL,repeats,2,1,4
DEL,repeats,2,2,1
DEL,repeats,2,3,1
DEL,repeats,2,4,0
DEL,repeats,2,5+,1
DEL,repeats,3,0,2
DEL,repeats,3,1,7
DEL,repeats,3,2,3
DEL,repeats,3,3,0
DEL,repeats,3,4,0
DEL,repeats,3,5+,1
DEL,repeats,4,0,3
DEL,repeats,4,1,5
DEL,repeats,4,2,2
DEL,repeats,4,3,2
DEL,repeats,4,4,1
DEL,repeats,4,5+,0
DEL,repeats,5+,0,7
DEL,repeats,5+,1,3
DEL,repeats,5+,2,0
DEL,repeats,5+,3,0
DEL,repeats,5+,4,0
DEL,repeats,5+,5+,0
INS,repeats,2,0,1
INS,repeats,2,1,4
INS,repeats,2,2,1
INS,repeats,2,3,1
INS,repeats,2,4,0
INS,repeats,2,5+,6
INS,repeats,3,0,0
INS,repeats,3,1,2
INS,repeats,3,2,0
INS,repeats,3,3,0
INS,repeats,3,4,0
INS,repeats,3,5+,1
INS,repeats,4,0,2
INS,repeats,4,1,4
INS,repeats,4,2,0
INS,repeats,4,3,0
INS,repeats,4,4,2
INS,repeats,4,5+,1
INS,repeats,5+,0,2
INS,repeats,5+,1,10
INS,repeats,5+,2,0
INS,repeats,5+,3,0
INS,repeats,5+,4,0
INS,repeats,5+,5+,0
DEL,MH,2,1,7
DEL,MH,3,1,1
DEL,MH,3,2,5
DEL,MH,4,1,2
DEL,MH,4,2,3
DEL,MH,4,3,3
DEL,MH,5+,1,11
DEL,MH,5+,2,6
DEL,MH,5+,3,5
DEL,MH,5+,4,5
DEL,MH,5+,5+,8
