purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.8400	0.9500	0.3354	0.7537	2.1102	0.0000
0.8500	0.9500	0.3356	0.7540	2.1089	0.0000
0.8600	0.9500	0.3377	0.7541	2.1076	0.0000
0.8300	0.9500	0.3377	0.7535	2.1115	0.0000
0.8200	0.9500	0.3418	0.7526	2.1128	0.0000
0.8700	0.9500	0.3427	0.7541	2.1064	0.0000
0.8400	0.9600	0.3465	0.7510	2.0842	0.0000
0.8500	0.9600	0.3473	0.7515	2.0832	0.0000
0.8100	0.9500	0.3482	0.7522	2.1142	0.0000
0.8300	0.9600	0.3487	0.7508	2.0852	0.0000
0.8500	0.9400	0.3496	0.7548	2.1350	0.0000
0.8800	0.9500	0.3504	0.7543	2.1051	0.0000
0.8400	0.9400	0.3511	0.7545	2.1367	0.0000
0.8600	0.9400	0.3513	0.7549	2.1335	0.0000
0.8600	0.9600	0.3523	0.7516	2.0822	0.0000
0.8200	0.9600	0.3530	0.7487	2.0863	0.0000
0.8300	0.9400	0.3542	0.7544	2.1383	0.0000
0.8700	0.9400	0.3561	0.7550	2.1319	0.0000
0.8000	0.9500	0.3567	0.7513	2.1157	0.0000
0.8900	0.9500	0.3583	0.7546	2.1040	0.0000
0.8700	0.9600	0.3588	0.7522	2.0813	0.0000
0.8200	0.9400	0.3588	0.7543	2.1400	0.0000
0.8100	0.9600	0.3592	0.7477	2.0873	0.0000
0.8800	0.9400	0.3601	0.7552	2.1304	0.0000
0.8900	0.9400	0.3649	0.7555	2.1290	0.0000
0.9000	0.9500	0.3650	0.7548	2.1028	0.0000
0.8100	0.9400	0.3653	0.7540	2.1417	0.0000
0.8800	0.9600	0.3659	0.7525	2.0804	0.0000
0.7900	0.9500	0.3669	0.7509	2.1171	0.0000
0.8000	0.9600	0.3673	0.7464	2.0884	0.0000
0.9000	0.9400	0.3714	0.7555	2.1275	0.0000
0.9100	0.9500	0.3726	0.7550	2.1017	0.0000
0.8000	0.9400	0.3732	0.7529	2.1435	0.0000
0.8900	0.9600	0.3752	0.7529	2.0795	0.0000
0.7900	0.9600	0.3763	0.7456	2.0895	0.0000
0.7800	0.9500	0.3774	0.7501	2.1186	0.0000
0.9100	0.9400	0.3775	0.7555	2.1261	0.0000
0.9200	0.9500	0.3791	0.7550	2.1006	0.0000
0.7900	0.9400	0.3822	0.7524	2.1453	0.0000
0.8400	0.9700	0.3829	0.7447	2.0588	0.0000
0.9200	0.9400	0.3839	0.7559	2.1248	0.0000
0.8500	0.9700	0.3840	0.7465	2.0581	0.0000
0.9000	0.9600	0.3843	0.7534	2.0786	0.0000
0.8300	0.9700	0.3843	0.7439	2.0595	0.0000
0.9300	0.9500	0.3853	0.7553	2.0995	0.0000
