Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
ZL-201155	0	3	0	0	0	49	0
ZL-201204T	48	162	222	68	129	0	0
ZL-201948	46	404	0	0	275	147	0
ZL-201999	34	245	179	99	0	0	0
ZL-202025	22	104	201	96	0	0	0
ZL-202046	60	244	255	0	201	0	0
ZL-202056	144	234	109	52	90	76	0
ZL-202079	0	225	178	234	0	0	0
ZL009041	0	152	0	1463	327	0	0
ZL026642	26	255	170	92	160	86	0
ZL033326	35	210	320	357	0	0	0
ZL040761	0	0	0	0	0	0	3
ZL054594	0	381	251	0	308	0	0
ZL093073	0	399	244	0	271	0	0
ZL094531	29	233	234	81	77	0	0
ZL094587	47	326	155	0	346	156	0
ZL098594	57350	0	0	0	0	0	0
ZL098834	0	61	322	112	104	0	0
ZL099873	0	337	253	0	211	0	0
ZL117411	69	381	294	309	154	0	0
ZL119464	54	190	270	207	145	0	0
ZL122906	60	185	222	100	0	84	0
ZL130896	47	343	0	169	128	423	0
ZL135285	36	249	193	280	0	0	0
ZL143005	160	0	0	3058	1157	0	0
ZL144459	0	197	307	0	0	146	0
ZL145150	0	410	318	415	180	0	0
ZL154137T	25	180	108	0	106	0	0
ZL160571	42	228	275	91	252	0	0
ZL160658	0	336	226	134	0	0	0
ZL163085	0	438	209	0	191	0	0
ZL163503	0	351	206	146	408	0	0
ZL165633	0	282	0	76	0	132	0
ZL166217	593	777	0	0	0	183	0
ZL169282	43	364	247	0	207	0	0
ZL170022	0	31	125	233	0	0	0
ZL171919	59	487	0	0	518	166	0
ZL173347	9	57	59	0	0	0	0
ZL173419	41	167	483	363	0	0	0
ZL173520	59	343	233	100	155	0	0
ZL176154	0	127	0	0	0	304	0
ZL183080	101	502	396	281	0	0	0
ZL183247	0	1	4	0	0	0	0
ZL185536	46	175	471	110	0	178	0
ZL187056T	0	0	73	34	0	0	0
ZL187784	0	536	247	0	170	0	0
ZL193447	46	228	154	118	75	78	0
ZL200007	38	181	118	96	84	160	0
ZL200095	26	140	278	76	92	0	0
ZL200191	0	195	180	79	152	0	0
ZL200205	35	128	233	58	86	82	0
ZL200206	36	158	112	111	133	0	0
ZL200236	47	305	162	0	74	0	0
ZL200258	100	185	128	0	138	79	0
ZL200312	51	163	96	0	106	0	0
ZL200387	0	128	159	292	198	132	0
ZL200509	0	545	296	0	0	0	0
ZL200531	30	200	99	81	114	0	0
ZL200638	0	182	0	71	164	75	0
ZL200746T	0	0	106	53	0	39	0
ZL200881T	85	144	194	0	87	0	0
ZL200942T	25	156	155	0	339	0	0
ZL200989T	49	336	0	0	205	130	0
ZL200995T	0	324	193	0	122	0	0
ZL201029T	0	267	220	190	212	0	0
ZL201057T	36	66	151	55	53	0	0
ZL201059T	0	547	232	313	0	0	0
ZL201074T	29	138	234	226	101	0	0
ZL201109T	31	73	220	97	0	0	0
ZL201144T	0	206	139	0	109	0	82
ZL201217T	22	55	98	0	0	0	0
ZL201238T	51	229	123	0	131	70	0
ZL201286T	0	88	196	64	59	50	0
ZL201292T	33	154	152	78	0	0	0
ZL201309T	0	236	185	275	337	0	0
ZL201325T	30	139	127	42	0	0	0
ZL201360T	0	67	102	69	0	0	0
ZL201378T	0	0	36	57	0	35	0
ZL201381T	0	130	0	792	317	0	0
ZL201403T	29	79	271	73	85	0	0
ZL201425T	61	214	148	107	96	0	0
ZL201450T	14	89	149	50	58	0	0
ZL201482T	16	52	177	82	59	52	0
ZL201509T	50	133	163	0	54	0	0
ZL201537T	0	111	142	0	58	0	0
ZL201557T	0	105	201	63	90	92	0
ZL201573T	24	99	139	66	0	81	0
ZL201645K	43	212	355	165	293	0	0
ZL201703T	30	120	180	67	69	79	0
ZL201949T	0	277	187	317	197	188	0
ZL202004T	37	179	356	67	0	0	0
ZL202165T	48	178	184	0	216	87	0
ZL202470	29	227	0	0	85	144	0
ZL202543T	46	202	291	0	82	0	0
ZL202690T	164	174	224	0	200	318	0
ZL202883	26	180	181	0	104	0	0
ZL203330	48	351	176	77	0	0	0
