chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAllelePloidy	minorAllelePloidyDeviation	observedTumorRatio	observedNormalRatio	majorAllelePloidy	majorAllelePloidyDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	svCluster	eventPenalty	minStart	maxStart
chr1	1	755000	UNKNOWN	0	0.0000	0.0000	0.2000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	TELOMERE	0	1.0000	0.0000	false	1.6000	1	1
chr1	755001	813000	DIPLOID	0	0.0000	1.0000	0.2000	0.9661	0.9612	1.0404	0.2528	0.0000	2.0404	0.0000	0.0000	2.0552	true	NONE	7	0.5099	0.5631	false	1.0121	1	755001
chr1	813001	824000	NOISE	0	0.0000	3.0000	0.2000	2.7043	3.0741	3.3967	0.9985	0.0000	6.3967	0.0000	0.0000	5.6066	true	NONE	5	0.5310	0.4134	false	2.0190	813001	816001
chr1	824001	826000	NOISE	0	0.0000	6.2645	0.9652	5.4445	6.4630	7.0000	0.2000	0.0000	13.2645	0.0000	0.0000	11.1834	true	NONE	2	0.5277	0.4715	false	4.0794	824001	824001
chr1	826001	1866000	DIPLOID	93	0.5361	0.8364	0.8083	0.8847	0.9711	1.0000	0.2000	0.5406	1.8364	0.0000	0.0000	1.8474	true	NONE	453	0.5445	0.5803	false	1.0491	813001	835001
chr1	1866001	1867000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2782	0.2462	0.3163	3.0024	0.0000	0.3163	0.0000	0.0000	0.6035	true	NONE	1	1.0000	0.5000	false	1.5051	1866001	1866001
chr1	1867001	2583000	DIPLOID	165	0.5455	0.8541	0.7557	0.9170	0.9901	1.0633	0.3863	0.6229	1.9174	0.0000	0.0000	1.9211	true	NONE	370	0.5545	0.5848	false	1.0627	1866001	1867001
chr1	2583001	2584000	NOISE	0	0.0000	6.2732	0.9707	5.4480	6.4712	7.0000	0.2000	0.0000	13.2732	0.0000	0.0000	11.1889	true	NONE	1	0.5274	0.5950	false	4.0820	2583001	2583001
chr1	2584001	3642000	DIPLOID	88	0.5474	0.8769	0.6739	0.9410	1.0093	1.1005	0.5775	0.6850	1.9774	0.0000	0.0000	1.9739	true	NONE	544	0.5565	0.5773	false	1.0671	2583001	2695001
chr1	3642001	3643000	HOM_DELETION	0	0.0000	0.0000	0.2000	0.0404	0.0615	-0.2797	2.4744	0.0000	-0.2797	0.0000	0.0000	0.0778	true	NONE	1	1.0000	0.5370	false	1.6839	3642001	3642001
chr1	3643001	4678000	DIPLOID	272	0.5393	0.9701	0.2000	0.9381	1.0125	1.0000	0.2000	0.2157	1.9701	0.0000	0.0000	1.9653	true	NONE	815	0.5076	0.4905	false	1.0090	3642001	3643001
chr1	4678001	4680000	HET_DELETION	1	0.5789	0.0000	0.2000	0.4584	0.7005	0.7679	2.2201	1.4010	0.7679	0.0000	0.0000	0.8820	true	NONE	2	1.0000	0.3335	false	1.3696	4678001	4678001
chr1	4680001	4999000	DIPLOID	77	0.5506	0.8763	0.6766	0.9471	1.0110	1.1165	0.6473	0.7290	1.9927	0.0000	0.0000	1.9885	true	NONE	299	0.5603	0.4889	false	1.0721	4678001	4680001
chr1	4999001	5000000	NOISE	0	0.0000	3.0000	0.2000	2.6095	2.7895	3.1591	0.7959	0.0000	6.1591	0.0000	0.0000	5.4774	true	NONE	1	0.5129	0.4880	false	1.9477	4999001	4999001
chr1	5000001	5135000	DIPLOID	24	0.5367	1.0000	0.2000	0.9645	1.0229	1.0364	0.2286	0.2300	2.0364	0.0000	0.0000	2.0277	true	NONE	126	0.5089	0.4290	false	1.0109	4999001	5000001
chr1	5135001	5136000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3618	0.3937	0.5258	2.7110	0.0000	0.5258	0.0000	0.0000	0.7568	true	NONE	1	1.0000	0.2490	false	1.4423	5135001	5135001
chr1	5136001	5306000	DIPLOID	37	0.5402	0.9894	0.2000	0.9458	1.0108	1.0000	0.2000	0.2161	1.9894	0.0000	0.0000	1.9853	true	NONE	162	0.5027	0.4305	false	1.0032	5135001	5136001
chr1	5306001	5307000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3466	0.4330	0.4877	2.7682	0.0000	0.4877	0.0000	0.0000	0.7037	true	NONE	1	1.0000	0.5100	false	1.4537	5306001	5306001
