ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
lncrna.prom::gencode::A1BG-AS1::ENSG00000268895.1	1	0.9997419713356266	1	NA
lncrna.prom::gencode::A2M-AS1::ENSG00000245105.1	0.575772709693427	0.9963137498844055	0.796709252651115	0.77931
lncrna.prom::gencode::A2MP1::ENSG00000256069.3	0.0418381520447281	0.1453663245987903	0.253303884544914	0.12182
lncrna.prom::gencode::ABCA17P::ENSG00000238098.4	1	0.9999999967063568	1	NA
lncrna.prom::gencode::ABCC13::ENSG00000243064.4	0.734639496406445	0.999999924999779	0.99428637886441	0.77512
lncrna.prom::gencode::AC000111.3::ENSG00000232661.1	0.859634276269599	0.48409849051898624	0.229143971552992	0.8811
lncrna.prom::gencode::AC000123.4::ENSG00000224138.1	1	0.9972974833544511	1	NA
lncrna.prom::gencode::AC000124.1::ENSG00000226770.1	0.553904631832322	0.9997200874478058	0.935342398287781	0.8353
lncrna.prom::gencode::AC002116.7::ENSG00000267698.1	1	0.999041695563023	1	NA
lncrna.prom::gencode::AC002368.4::ENSG00000237741.1	1	0.9999999999999998	1	NA
lncrna.prom::gencode::AC002398.11::ENSG00000267439.1	1	0.9993571671134637	1	NA
lncrna.prom::gencode::AC002398.13::ENSG00000267049.1	1	0.9929570732557527	1	NA
lncrna.prom::gencode::AC002401.1::ENSG00000236472.1	1	0.999553114801901	1	NA
lncrna.prom::gencode::AC002454.1::ENSG00000237819.1	0.741426222282441	0.9910170286024537	0.808716486345352	0.2997
lncrna.prom::gencode::AC002456.2::ENSG00000223969.1	1	0.9914564784763266	1	NA
lncrna.prom::gencode::AC002463.3::ENSG00000223646.1	0.854111931317444	0.9999999951735382	0.827681531963645	0.69613
lncrna.prom::gencode::AC003088.1::ENSG00000226965.1	0.651186897647258	0.9984491353702731	0.992528729243997	0.9961
lncrna.prom::gencode::AC003665.1::ENSG00000234494.3	1	0.9993537366223672	1	NA
lncrna.prom::gencode::AC003956.1::ENSG00000268564.1	0.671609535774768	0.09294960448005742	0.819249576982092	0.98766
lncrna.prom::gencode::AC003985.1::ENSG00000233824.1	1	0.9994281944005856	1	NA
lncrna.prom::gencode::AC003986.5::ENSG00000229533.1	1	0.9969989153984959	0.990137475869415	0.15124
lncrna.prom::gencode::AC003986.6::ENSG00000232821.1	0.0681594772063598	0.23472562756648013	0.369544273208998	0.55099
lncrna.prom::gencode::AC004041.2::ENSG00000223442.1	1	0.9924908450668509	1	NA
lncrna.prom::gencode::AC004067.5::ENSG00000273447.1	1	0.9961241528327391	1	NA
lncrna.prom::gencode::AC004158.2::ENSG00000261008.2	1	0.9996772457288858	1	NA
lncrna.prom::gencode::AC004447.2::ENSG00000269131.1	1	0.9987033576221864	0.979816286663396	0.81368
lncrna.prom::gencode::AC004540.4::ENSG00000225792.1	0.704749802638621	0.997940987271604	0.965631701999622	0.687
lncrna.prom::gencode::AC004540.5::ENSG00000214870.4	0.993668207643241	0.9903422058313546	0.999983060767477	0.38214
lncrna.prom::gencode::AC004893.11::ENSG00000242687.2	0.799306584069346	0.01876052279843357	0.672442162065076	0.68252
lncrna.prom::gencode::AC004906.3::ENSG00000237286.1	0.0308653194646457	0.453037003853065	0.0283190530443872	0.90954
lncrna.prom::gencode::AC004947.2::ENSG00000233760.1	0.838066330133875	0.32057506493766535	0.325361345411467	0.4728
lncrna.prom::gencode::AC005009.2::ENSG00000233073.1	1	0.9967229675916534	1	NA
lncrna.prom::gencode::AC005083.1::ENSG00000233834.2	0.820499098431986	0.5848606186179076	0.543221063042241	0.70274
lncrna.prom::gencode::AC005152.2::ENSG00000234899.5	0.789737910306482	0.6529695451849764	0.935769847940259	0.36949
lncrna.prom::gencode::AC005253.4::ENSG00000268983.1	1	0.9990847523464138	1	NA
lncrna.prom::gencode::AC005306.3::ENSG00000267283.1	1	0.9999312294113575	1	NA
lncrna.prom::gencode::AC005307.3::ENSG00000267243.1	0.893102888943229	0.2753067259738414	0.262365114136247	0.13129
lncrna.prom::gencode::AC005355.2::ENSG00000251169.2	0.777769180532881	0.5460459733550742	0.810338067319523	0.05672
lncrna.prom::gencode::AC005356.1::ENSG00000262686.1	0.696101576342602	0.987877805749048	0.996545459336555	0.50868
lncrna.prom::gencode::AC005538.5::ENSG00000237581.1	1	0.9997308151022222	1	NA
lncrna.prom::gencode::AC005540.3::ENSG00000235852.1	1	0.993697064433571	1	NA
lncrna.prom::gencode::AC005550.4::ENSG00000229108.1	1	0.9970810419490059	1	NA
lncrna.prom::gencode::AC005597.1::ENSG00000267223.1	1	0.9999999680627901	1	NA
lncrna.prom::gencode::AC005682.5::ENSG00000228649.4	1	0.9999915779012322	1	NA
lncrna.prom::gencode::AC005682.6::ENSG00000226329.2	1	0.9980826725989281	0.923334911279406	0.15496
lncrna.prom::gencode::AC005785.2::ENSG00000268189.2	1	1.0	1	NA
lncrna.prom::gencode::AC005944.2::ENSG00000267469.1	0.350101503984399	0.9972949105447526	0.674278724240457	0.84429
lncrna.prom::gencode::AC006042.6::ENSG00000227719.1	0.523068237470231	0.9970270904479404	0.979419147925602	0.47839
lncrna.prom::gencode::AC006042.7::ENSG00000233108.1	1	0.9999993562723842	1	NA
lncrna.prom::gencode::AC006116.12::ENSG00000267192.1	1	0.9906581240433362	1	NA
lncrna.prom::gencode::AC006159.3::ENSG00000231210.2	0.905006810247791	0.9876081209109304	0.413939735251262	0.61683
