chrom	start	end	number_DEL	number_DUP	number_h2hINV	number_t2tINV	number_TRA	clusterSize_including_TRA	number_SVs_sample	number_CNV_segments	pval_fragment_joins	chr_breakpoint_enrichment	pval_exp_chr	pval_exp_cluster	max_number_oscillating_CN_segments_2_states	max_number_oscillating_CN_segments_3_states	number_CN_segments_chr	max_number_oscillating_CN_segments_2_states_chr	max_number_oscillating_CN_segments_3_states_chr	inter_number_DEL	inter_number_h2hINV	inter_number_t2tINV	inter_number_DUP	inter_pval_fragment_joins	inter_other_chroms	inter_other_chroms_coords_all
1	152681694	152748996	1	0	0	0	0	1	46	1	0.391625176271089	0.690015139010464	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
2	NA	NA	0	0	0	0	0	0	46	NA	NA	0.0080555585712249	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
3	NA	NA	0	0	0	0	0	0	46	NA	NA	0.664768752314982	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
4	184778537	184778573	1	0	0	0	0	1	46	1	0.391625176271089	0.656357879920565	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
5	2904796	179719455	1	1	2	0	0	4	46	1	0.572406704470879	NA	NA	0.00025348479775511	NA	NA	NA	NA	NA	0	0	0	0	NA		 
6	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
7	33177805	142362014	0	0	6	2	0	8	46	2	0.00738316050535977	0.33264428234743	NA	2.79776202205539e-14	NA	NA	NA	NA	NA	0	0	0	0	NA		 
8	3887930	3892332	1	0	0	0	0	1	46	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
9	NA	NA	0	0	0	0	0	0	46	NA	NA	0.00975656299746057	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
10	NA	NA	0	0	0	0	0	0	46	NA	NA	0.26828780157971	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
11	48949209	48962804	0	1	0	0	0	1	46	1	0.391625176271089	0.273020651475311	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
12	129883826	129883908	1	0	0	0	0	1	46	1	0.391625176271089	1.95624760185524e-08	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
13	NA	NA	0	0	0	0	0	0	46	NA	NA	0.174505731391984	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
14	24098401	97971495	1	0	2	0	0	3	46	1	0.299780588595712	NA	NA	0.000135665173094934	NA	NA	NA	NA	NA	0	0	0	0	NA		 
15	26218384	80309649	0	0	2	2	2	6	46	1	0.0619990757369438	0.000769292995057498	NA	2.51211054957956e-07	NA	NA	NA	NA	NA	0	0	0	0	NA		 
16	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
17	NA	NA	0	0	0	0	0	0	46	NA	NA	0.118514714522282	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
18	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
19	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
20	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
21	NA	NA	0	0	0	0	0	0	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
22	NA	NA	0	0	0	0	0	0	46	NA	NA	0.0278281098129872	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
X	NA	NA	0	0	0	0	0	0	46	NA	NA	0.0228438050835759	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 
