Sample	pi0	lCI	uCI	N	type	segId	rankInSample
ZL211826	0.317991110933055	0.243442808590569	0.397267975815094	476	DoubleGain	1_123035434_188095000_DoubleGain	14
ZL211826	0.211715247061116	0.160813427678196	0.267176353381222	776	DoubleGain	1_188190001_249250621_DoubleGain	7
ZL211826	1	0	1	2	SingleGain	14_60244001_60324000_SingleGain	49.5
ZL211826	0.409090496675203	0.0712488429086836	0.807692146630202	19	SingleGain	17_23763006_27060000_SingleGain	16
ZL211826	0.319691141396823	0.241212048454846	0.391441301845714	226	CNLOH	17_27060001_74069000_CNLOH	15
ZL211826	0.419953366651957	0.195506803197575	0.654544544785151	43	SingleGain	17_74069001_81195210_SingleGain	17
ZL211826	0	0	0	5	SingleGain	3_135820001_136610000_SingleGain	2.5
ZL211826	0.750000180733151	0.35294119273582	1	15	SingleGain	3_136610001_138337000_SingleGain	39
ZL211826	0.76075550758487	0.618017958755349	0.891858274048076	156	SingleGain	3_138636001_155437000_SingleGain	40
ZL211826	0.604461983414867	0.519526299710827	0.677441912254126	432	SingleGain	3_1_48782000_SingleGain	23
ZL211826	0.584714411812709	0.439501682669018	0.707596958877118	128	SingleGain	3_155607001_169843000_SingleGain	20
ZL211826	0	0	0	4	SingleGain	3_169843001_170175000_SingleGain	2.5
ZL211826	0.675672052970091	0.495142364977827	0.831929427978346	86	SingleGain	3_170215001_180686000_SingleGain	31
ZL211826	0.518959675194257	0.37114275006251	0.661427509352777	135	SingleGain	3_180776001_198022430_SingleGain	19
ZL211826	0.658333487150387	0.578094677496624	0.74034236263296	377	SingleGain	3_49643001_92004853_SingleGain	29
ZL211826	0.626248030704147	0.545222918306268	0.703859171493698	386	SingleGain	3_92004854_135820000_SingleGain	25
ZL211826	0.227688273033099	0.125008204290462	0.323273377978882	207	SingleGain	5_1_16660000_SingleGain	9
ZL211826	0.233768018079504	0.082191783428531	0.37037567692053	71	SingleGain	5_126184001_132244000_SingleGain	10
ZL211826	0	0	0	3	SingleGain	5_132244001_132443000_SingleGain	2.5
ZL211826	0.252855149985432	0.195299713548545	0.318952306625514	520	SingleGain	5_132443001_180915260_SingleGain	12
ZL211826	0.750000028190214	0	1	3	SingleGain	5_16660001_17142000_SingleGain	38
ZL211826	0.278807621308183	0.184630030304416	0.376341837520008	244	SingleGain	5_17142001_37227000_SingleGain	13
ZL211826	0.197802317312862	0.0689655781929737	0.343750002941174	85	SingleGain	5_37432001_45954000_SingleGain	6
ZL211826	0.227028518020262	0.134078431629204	0.341970075556281	171	SingleGain	5_47905641_68358000_SingleGain	8
ZL211826	1	1	1	2	SingleGain	5_68358001_68758000_SingleGain	49.5
ZL211826	0.23831017262026	0.18241738216492	0.296116797297229	603	SingleGain	5_68758001_125874000_SingleGain	11
ZL211826	0.604264912250883	0.439463677173251	0.740842108008322	107	DoubleGain	6_1_14927000_DoubleGain	22
ZL211826	1	0	1	2	SingleGain	6_14927001_15256000_SingleGain	48
ZL211826	0.606439354205887	0.516835983562437	0.683166867508816	288	DoubleGain	6_15256001_50131000_DoubleGain	24
ZL211826	0.721624780204504	0.500134284155532	0.895481242752763	60	SingleGain	6_50131001_60330165_SingleGain	33
ZL211826	0.935107115651503	0.805113635170253	1	128	SingleGain	6_60330166_73201000_SingleGain	44
ZL211826	0.736610051330272	0.634927235780788	0.834515256096421	244	SingleGain	7_105247001_129560000_SingleGain	34
ZL211826	0.697672452161367	0.394736845097077	0.937499186193363	33	SingleGain	7_129771001_133052000_SingleGain	32
ZL211826	0.634064421609059	0.519234687855851	0.765827714451957	139	SingleGain	7_133153001_148715000_SingleGain	27
ZL211826	0.999894482463373	1.86517468137025e-14	1	2	SingleGain	7_148715001_148871000_SingleGain	45
ZL211826	0.999990717830904	0.652133621905761	1	18	SingleGain	7_148871001_152114000_SingleGain	46
ZL211826	0.803592422798246	0.607571635728254	0.970730037924033	63	SingleGain	7_152432001_159138663_SingleGain	43
ZL211826	0.435400312074986	0.198346952392056	0.677501199972186	41	SingleGain	7_1_6873000_SingleGain	18
ZL211826	0.749999999997501	0	1	3	SingleGain	7_23415001_23685000_SingleGain	37
ZL211826	0.772925076640968	0.627318242332846	0.90801515278806	121	SingleGain	7_23685001_39942000_SingleGain	41
ZL211826	0	0	0	2	SingleGain	7_39942001_40325000_SingleGain	2.5
ZL211826	0.647058942686452	0.391304403435822	0.894737023963451	40	SingleGain	7_40325001_44519000_SingleGain	28
ZL211826	0.999999985143753	0	1	2	SingleGain	7_44519001_45004000_SingleGain	47
ZL211826	0.74371371464596	0.604317057088313	0.888098350953312	111	SingleGain	7_45004001_55731000_SingleGain	36
ZL211826	5.16253706450689e-14	0	4.64295268898169e-13	4	SingleGain	7_55731001_59554330_SingleGain	5
ZL211826	0.742164025350485	0.654327570440418	0.821750625435658	322	SingleGain	7_59554331_104918000_SingleGain	35
ZL211826	0.668761880283696	0.537016959880087	0.778727414930153	174	SingleGain	7_6873001_23415000_SingleGain	30
ZL211826	0.631578947379492	0.375000000005363	0.818181818204206	13	CNLOH	Y_1_11604552_CNLOH	26
ZL211826	0.800000000062616	0.499999999999997	1	6	CNLOH	Y_11604553_15918000_CNLOH	42
ZL211826	0.603773578222862	0.425531914894873	0.745762710534633	37	CNLOH	Y_16000001_59373566_CNLOH	21
