ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
lncrna.prom::gencode::A1BG-AS1::ENSG00000268895.1	1	0.999741971335627	1	NA	0.999993808836105	0.999999999997136	2.30565168431311	2.60230113716742
lncrna.prom::gencode::A2M-AS1::ENSG00000245105.1	0.575772709693427	0.996313749884405	0.796709252651115	0.77931	0.905935425690179	0.978964042618787	1.9859329384414	4.02833340700747
lncrna.prom::gencode::A2MP1::ENSG00000256069.3	0.0418381520447281	0.14536632459879	0.253303884544914	0.12182	0.071983488195275	0.0284692398893338	1.9859329384414	4.02833340700747
lncrna.prom::gencode::ABCA17P::ENSG00000238098.4	1	0.999999996706357	1	NA	0.999999999997346	1	2.30565168431311	2.60230113716742
lncrna.prom::gencode::ABCC13::ENSG00000243064.4	0.734639496406445	0.999999924999779	0.99428637886441	0.77512	0.967076314341071	0.997219919622614	1.9859329384414	4.02833340700747
lncrna.prom::gencode::AC000111.3::ENSG00000232661.1	0.859634276269599	0.484098490518986	0.229143971552992	0.8811	0.649957390795121	0.762544142285431	1.9859329384414	4.02833340700747
lncrna.prom::gencode::AC000123.4::ENSG00000224138.1	1	0.997297483354451	1	NA	0.999868323779451	0.999999996703637	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC000124.1::ENSG00000226770.1	0.553904631832322	0.999720087447806	0.935342398287781	0.8353	0.9342182856349	0.989392378518717	1.9859329384414	4.02833340700747
lncrna.prom::gencode::AC002116.7::ENSG00000267698.1	1	0.999041695563023	1	NA	0.999965854185648	0.999999999853218	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC002368.4::ENSG00000237741.1	1	1	1	NA	1	1	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC002398.11::ENSG00000267439.1	1	0.999357167113464	1	NA	0.999979692551729	0.999999999955705	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC002398.13::ENSG00000267049.1	1	0.992957073255753	1	NA	0.999541295354971	0.999999941466013	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC002401.1::ENSG00000236472.1	1	0.999553114801901	1	NA	0.999987347789214	0.999999999985121	2.30565168431311	2.60230113716742
lncrna.prom::gencode::AC002454.1::ENSG00000237819.1	0.741426222282441	0.991017028602454	0.808716486345352	0.2997	0.787413025384849	0.902961623961809	1.9859329384414	4.02833340700747
