chromosome	start	end	total_cn	major_cn	minor_cn
1	1	123035433	2	1	1
1	123035434	188095000	4	3	1
1	188095001	188190000	5	4	1
1	188190001	249250621	4	3	1
2	1	73407000	2	1	1
2	73407001	73477000	3	2	1
2	73477001	93826170	2	1	1
2	93826171	243199373	2	1	1
3	1	48782000	3	2	1
3	48782001	49643000	2	1	1
3	49643001	92004853	3	2	1
3	92004854	135820000	3	2	1
3	135820001	136610000	3	2	1
3	136610001	138337000	3	2	1
3	138337001	138636000	3	2	1
3	138636001	155437000	3	2	1
3	155437001	155607000	3	2	1
3	155607001	169843000	3	2	1
3	169843001	170175000	3	2	1
3	170175001	170215000	4	2	2
3	170215001	180686000	3	2	1
3	180686001	180776000	1	1	0
3	180776001	198022430	3	2	1
4	1	39573000	2	1	1
4	39573001	40109000	2	1	1
4	40109001	51160116	2	1	1
4	51160117	191154276	2	1	1
5	1	16660000	3	2	1
5	16660001	17142000	3	2	1
5	17142001	37227000	3	2	1
5	37227001	37432000	2	1	1
5	37432001	45954000	3	2	1
5	45954001	47905640	3	2	1
5	47905641	68358000	3	2	1
5	68358001	68758000	3	2	1
5	68758001	125874000	3	2	1
5	125874001	126184000	3	2	1
5	126184001	132244000	3	2	1
5	132244001	132443000	3	2	1
5	132443001	180915260	3	2	1
6	1	14927000	4	3	1
6	14927001	15256000	3	2	1
6	15256001	50131000	4	3	1
6	50131001	60330165	3	2	1
6	60330166	73201000	3	2	1
6	73201001	126336000	2	1	1
6	126336001	126425000	1	1	0
6	126425001	171115067	2	1	1
7	1	6873000	3	2	1
7	6873001	23415000	3	2	1
7	23415001	23685000	3	2	1
7	23685001	39942000	3	2	1
7	39942001	40325000	3	2	1
7	40325001	44519000	3	2	1
7	44519001	45004000	3	2	1
7	45004001	55731000	3	2	1
7	55731001	59554330	3	2	1
7	59554331	104918000	3	2	1
7	104918001	105247000	3	2	1
7	105247001	129560000	3	2	1
7	129560001	129771000	2	1	1
7	129771001	133052000	3	2	1
7	133052001	133153000	2	1	1
7	133153001	148715000	3	2	1
7	148715001	148871000	3	2	1
7	148871001	152114000	3	2	1
7	152114001	152432000	3	2	1
7	152432001	159138663	3	2	1
8	1	45338886	1	1	0
8	45338887	70765000	11	10	1
8	70765001	71022000	9	8	1
8	71022001	81069000	11	10	1
8	81069001	81419000	9	8	1
8	81419001	95500000	11	10	1
8	95500001	95839000	9	8	1
8	95839001	98600000	11	10	1
8	98600001	98746000	9	8	1
8	98746001	146364022	11	10	1
9	1	48867678	2	1	1
9	48867679	141213431	2	1	1
10	1	40754934	2	1	1
10	40754935	70103000	2	1	1
10	70103001	70559000	2	1	1
10	70559001	135534747	2	1	1
11	1	25885000	2	1	1
11	25885001	26124000	1	1	0
11	26124001	53144204	2	1	1
11	53144205	134887000	2	1	1
11	134887001	135006516	2	1	1
12	1	36356693	2	1	1
12	36356694	133851895	2	1	1
13	1	17499999	2	1	1
13	17500000	115169878	2	1	1
14	1	17499999	2	1	1
14	17500000	37707000	2	1	1
14	37707001	37936000	1	1	0
14	37936001	60244000	2	1	1
14	60244001	60324000	3	2	1
14	60324001	67363000	2	1	1
14	67363001	67420000	1	1	0
14	67420001	79825000	2	1	1
14	79825001	79924000	1	1	0
14	79924001	107349540	2	1	1
15	1	18499999	2	1	1
15	18500000	33917000	2	1	1
15	33917001	34080000	1	1	0
15	34080001	102531392	2	1	1
16	1	36835800	2	1	1
16	36835801	90354753	2	1	1
17	1	23763005	1	1	0
17	23763006	27060000	3	2	1
17	27060001	74069000	2	2	0
17	74069001	81195210	3	2	1
18	1	16960897	2	1	1
18	16960898	78077248	2	1	1
19	1	13064000	2	1	1
19	13064001	13127000	3	2	1
19	13127001	26181781	2	1	1
19	26181782	59128983	2	1	1
20	1	27869568	2	1	1
20	27869569	63025520	2	1	1
21	1	12788128	2	1	1
21	12788129	48129895	2	1	1
22	1	14499999	2	1	1
22	14500000	51304566	2	1	1
X	1	60132011	1	1	0
X	60132012	155270560	1	1	0
Y	1	11604552	2	2	0
Y	11604553	15918000	2	2	0
Y	15918001	16000000	1	1	0
Y	16000001	59373566	2	2	0
