event_v_event	3'UTR.ADH1B	3'UTR.FGA	3'UTR.PPP1R12B	3'UTR.SEC14L2	3'UTR.SERPINA1	WGD	coding.ACVR2A	coding.ALB	coding.ARID1A	coding.ARID2	coding.AXIN1	coding.BRD7	coding.CTNNB1	coding.FGA	coding.HNF1A	coding.JAK1	coding.KEAP1	coding.PRDM11	coding.PTEN	coding.RB1	coding.RPS6KA3	coding.TP53	coding.TSC1	coding.TSC2	gain_17q	gain_19q	gain_1q	gain_20q	gain_22q	gain_5p	gain_6p	gain_7p	gain_7q	gain_8q	lncrna.G035338	lncrna.NEAT1	lncrna.Z95704.4	lncrna.prom.G085970	lncrna.prom.RP11-1151B14.3	lncrna.prom.Z95704.4	loss_13q	loss_16p	loss_16q	loss_17p	loss_19p	loss_4q	loss_6q	loss_8p	loss_9p	loss_9q	promoter.ALB	promoter.KCNJ12	promoter.KHNYN	promoter.TERT	promoter.ZNF595
promoter.ZNF595	0.0,5.94666117056,0.0533388294375	0,0,1	0.0,4.97998495171,1.02001504829	0.0,2.9801968217,3.0198031783	0.0,3.00989009453,0.990109905472	1.92727217318,19.2903594902,0.782368336624	0.0,0.0,2.0	0.0,10.9341333637,2.06586663627	0.0,0.990099009901,2.0099009901	0.0,6.96529867431,0.0347013256865	0.0,3.99656037098,3.00343962902	0.0,1.98461405912,0.0153859408778	0.0,13.8047009963,1.19529900367	0.0,1.99009900971,2.00990099029	0.0,0.0,2.0	0.0,1.98328831855,0.0167116814461	0.0,3.97029592469,1.02970407531	0.0,1.9801980198,0.019801980198	0.0,0.990099009901,1.0099009901	0.0,3.00886850691,1.99113149309	0.0,1.04587516995,0.954124830054	0.0,30.8464366934,2.15356330656	0.0,2.99009899827,1.00990100173	0.0,1.02960531986,3.97039468014	0.95927696286,23.3438619137,0.696861123463	0.0,20.7666221785,1.23337782152	0.0,37.1870469665,2.81295303354	0.0,26.050485035,1.94951496496	0.95927696286,16.4686564342,0.572066602914	0.95927696286,20.4434576092,0.597265427897	0.0,23.1321693079,2.86783069211	0.95927696286,23.2576552026,0.7830678345	0.0,24.7089677565,0.29103224347	0.0,34.7364745233,1.26352547667	0.0,7.92079207921,1.07920792079	0.0,22.7196091584,5.28039084164	0.0,0.0,5.0	0.0,0.990099009901,1.0099009901	0.0,2.9702970297,1.0297029703	0.0,0.0,6.0	0.0,18.3376516655,0.662348334515	0.0,17.4072835282,1.59271647177	0.970297026253,28.7014752067,2.32822776707	0.0,35.6293538685,3.37064613147	0.970297026253,14.7950739716,1.23462900217	0.0,32.4728199697,3.52718003028	0.0,19.5810920665,0.418907933476	0.0,38.6836143345,3.31638566547	1.92957398911,24.787827193,1.28259881789	1.92957398911,21.8105036932,0.259922317651	0.0,1.9801980198,0.019801980198	0.0,1.9801980198,6.0198019802	0.0,0.990099009901,1.0099009901	0.0284047315251,5.95049136955,7.02110389893	na
promoter.TERT	1.49101917599,0.994335518003,1.51464530601	0.0,0.990099009901,2.0099009901	1.03621451692,4.47629839284,5.48748709024	0.990099009901,0.131757940865,2.87814304923	0.137874149654,0.999999999999,2.86212585035	7.40114709675,4.91098019895,1.68787270429	1.32336531228,0.0465513799847,2.63008330774	2.48111818589,2.23522213011,7.283659684	0.990228080411,1.979776665,7.02999525459	1.58524685632,1.99009871917,5.42465442451	1.9801980198,4.4232907347,3.59651124549	0.0,0.0891188028413,1.91088119716	1.75207071074e-16,9.82117613022,11.1788238698	0.333266302375,0.475228396809,4.19150530082	0.0,0.0,2.0	0.00012907050966,1.9801980198,3.01967290969	0.0,1.08711915037,3.91288084963	1.75207071074e-16,1.75207071074e-16,3.0	0.0,0.0,3.0	0.0,1.0099009901,5.9900990099	0.0,0.999999999999,1.0	1.65214153619,16.7169083512,19.6309501126	0.0,1.9801980198,0.019801980198	1.34488147492,2.38041380477,6.27470472031	6.17384146793,13.9484735212,6.87768501082	5.35756414383,11.2247472824,5.41768857381	12.4377247253,27.5178539967,18.044421278	5.75804926579,15.4162907006,9.82566003362	4.77757274434,12.1354808196,4.08694643604	5.55745186205,6.90147938356,6.54106875439	3.84795336512,18.8295976639,8.32244897102	7.70739551572,10.8423806238,8.45022386043	5.11686857826,12.3594016419,9.52372977982	3.92376147804,20.1937227182,14.8825158037	2.67764883169e-06,3.05956285576,2.94043446659	2.8432364355,9.90099009901,16.2557734655	0.0,0.0,4.0	0.333266302375,3.9603960396,2.70633765802	0.0,0.990099009901,2.0099009901	4.95050010068,0.0,2.04949989932	1.30495274847,10.5797932262,9.11525402531	0.867081342186,12.1384007528,14.994517905	2.07772062548,19.6099029466,17.3123764279	1.30508181898,26.1225068929,20.5724112882	3.76708845557,13.8467076349,8.38620390955	0.866952271676,21.059192832,18.0738548963	3.02371353935,11.8379297062,6.13835675441	1.44295596863,22.5258962112,24.0311478202	2.77788408728,13.5500902559,14.6720256568	1.79782450301,9.58969421632,9.61248128067	0.0,1.9801980198,0.019801980198	2.48111818589,0.0,3.51888181411	0.0,2.9702970297,1.0297029703	na	0.0284047315251,5.95049136955,7.02110389893
promoter.KHNYN	0.0,0.0198316326062,1.98016836739	0,0,1	0.0,0.0,2.0	0.0,0.0352017880737,1.96479821193	2.95479183308e-08,0.0,1.99999997045	4.35162539019,0.00178906571381,0.646585544101	0,0,1	0.999999993914,0.0,2.00000000609	0.990099009901,0.0,1.0099009901	0.0194985183579,0.0,1.98050148164	0,0,1	0,0,1	0.0215825996158,0.00400185011006,7.97441555027	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	0.0,0.0970201404661,1.90297985953	0.0,0.00400116284845,1.99599883715	0,0,1	0.0,0.0,2.0	0.0,0.0234766874194,1.97652331258	0.014873443935,0.0353561879191,10.9497703681	0.0,0.0,2.0	0,0,1	1.73281141959,0.0993223540868,4.16786622632	2.28337621271,0.00990099009901,1.70672279719	2.49543765494,0.311618543028,8.19294380203	1.1945437283,0.60502692887,6.20042934283	3.41306638297,0.235038864979,3.35189475205	3.82617584765,0.0609538408685,2.11287031148	1.32443100307,0.0,2.67556899693	2.8360751526,0.14848249069,2.01544235671	3.22464915189,0.843895669223,2.93145517889	2.9385922593,0.492478724163,7.56892901654	0.0,0.0,2.0	0.352705872484,1.3957298161e-08,9.64729411356	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	0.973736792768,0.0040025978269,6.02226060941	0.0,0.00400259784051,6.99599740216	0.0,0.109005296782,8.89099470322	0.0,3.79469158047e-07,8.99999962053	0.0,3.79455546557e-07,6.99999962054	0.0,0.00400259784051,10.9959974022	2.94492225223,1.3611490407e-11,3.05507774775	0.0,0.109005296782,10.8909947032	0.0,0.00400279700863,7.99599720299	0.973736792768,0.00400241755309,5.02226078968	0.0767346643134,0.0238338973542,3.89943143833	0.990099009901,0.0,1.0099009901	na	0.0,2.9702970297,1.0297029703	0.0,0.990099009901,1.0099009901
promoter.KCNJ12	0.0,0.0,3.0	0.0,0.453651524032,1.54634847597	0.0,2.9801980198,0.0198019802041	0.0,0.990099009901,1.0099009901	0.0,0.990099009901,1.0099009901	0.854363030069,7.86983031408,0.275806655848	0.0,0.0,2.0	0.287267562884,3.9603960396,1.75233639751	0.0,2.33505158527,3.66494841473	0.0,1.23823010249,0.761769897509	0.990099009901,0.990099009901,3.0198019802	0.0,0.0,2.0	0.0,4.96039602253,1.03960397747	0.0,0.0,2.0	0.0,0.0,2.0	0.0,1.26023105134,1.73976894866	0.990099009901,0.990099009901,3.0198019802	0.0,3.17007776006e-06,1.99999682992	0,0,1	0.0,2.98906680337,1.01093319663	0.0,3.0136196029,0.986380397102	0.0,12.4035855997,5.59641440033	0.0,1.9801980198,0.019801980198	0.0,1.9801980198,1.0198019802	2.28786952693,6.04740234991,4.66472812316	2.84013114174,6.92021810762,5.23965075065	2.37449644884,14.6424493963,7.98305415488	3.86501778521,4.1818477014,4.95313451339	2.51824613875,5.52994568286,2.95180817839	4.21901541718,4.83135753482,3.949627048	1.71407096559,6.64349067446,2.64243835995	4.15548516058,5.87597237868,4.96854246073	2.45714741237,6.89166424049,4.65118834713	1.42749637911,10.4872683205,6.0852353004	0.0,0.999997663654,1.00000233635	0.990099009901,9.91089108911,9.09900990099	2.9702970297,0.0,1.0297029703	0.0,2.97998883325,1.02001116675	0.0,0.990099009901,1.0099009901	1.9801980198,0.0,2.0198019802	0.449250117366,7.73022107978,5.82052880285	0.0,9.89648359726,1.10351640274	0.449250117366,14.866780627,6.68396925567	0.943526990163,14.9088118186,6.14766119126	0.449250117366,8.65154069051,3.89920919212	0.0,12.8961231422,7.10387685781	0.0,5.92410729702,3.07589270298	0.943526990163,16.824259893,6.2322131168	0.0,11.9108910891,4.08910891089	0.0,6.63026080814,2.36973919186	0,0,1	na	0.990099009901,0.0,1.0099009901	2.48111818589,0.0,3.51888181411	0.0,1.9801980198,6.0198019802
promoter.ALB	0.0,5.52837522705e-08,2.99999994472	0.0,0.0,2.0	0.0,0.0,2.0	0.999588655024,0.0201182547682,2.98029309021	0.0517200878072,0.0,1.94827991219	4.15580955672,0.117224155128,0.726966288149	0.0,0.0,2.0	0.0,0.0,5.0	0.990099009901,0.0,2.0099009901	0.0235008383896,0.0,2.97649916161	0.0,0.153424839905,2.84657516009	0,0,1	0.0700244428095,0.0749540448794,9.85502151231	0.247648608277,0.0,2.75235139172	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	1.15718325712e-06,0.0,1.99999884282	0,0,1	0,0,1	0,0,1	1.03291390156,0.26293925141,8.70414684703	0.0,4.36057576222e-05,1.99995639424	0.0,0.0,2.0	3.90209019462,0.472341984345,4.62556782104	1.45943318638,0.301983812393,5.23858300122	5.44126171171,1.80583093998,8.75290734832	1.69756876845,1.08684009872,7.21559113283	2.62194563112,0.624294587084,3.7537597818	2.05895468763,0.245812403497,5.69523290888	3.93135249024,0.373300588015,7.69534692174	5.34126135631,0.736238461412,6.92250018228	6.34873895686,0.992300422737,4.6589606204	1.48731525955,1.08804752347,14.424637217	0.0983311274674,0.0,1.90166887253	3.00521092821,0.148601133205,7.84618793858	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0,0,1	0.990099009901,0.0,1.0099009901	0.840626499031,4.67769686353e-05,10.159326724	0.0,9.75213749425e-08,4.99999990248	1.00953245366,0.336822213952,12.6536453324	0.0198315773225,0.155084952357,11.8250834703	0.0,0.155084952357,6.84491504764	0.840626499031,4.67769686353e-05,8.159326724	0.99334536696,4.66794472604e-05,6.00660795359	0.840626499031,0.181737261595,10.9776362394	0.0198315773225,0.155085049878,5.8250833728	0.0198315773225,0.155085049878,5.8250833728	na	0,0,1	0.0767346643134,0.0238338973542,3.89943143833	0.0,1.9801980198,0.019801980198	0.0,1.9801980198,0.019801980198
loss_9q	0.194427426261,2.32223217643,6.48334039731	1.02168604526,0.0858867504045,4.89242720434	0.355195261008,1.85413351877,6.79067122022	1.9801980198,0.0352017880737,2.98460019212	1.05475048791,1.9737258642,4.97152364789	28.7585013826,21.7263849305,9.51511368689	0.0,0.345571103278,1.65442889672	1.23159218267,2.75654599439,14.0118618229	3.30726760638,0.0,6.69273239362	0.431515716514,1.01124281616,7.55724146733	1.01690854203,1.93076856705,13.0523228909	0.110690193545,0.624001010385,7.26530879607	3.15629489769,3.23043467098,21.6132704313	1.20211184236,2.90461536849,3.89327278915	0.0,0.907668616597,2.0923313834	1.02790020165,0.0,2.97209979835	1.9801980198,1.94508515016,1.07471683004	1.25470463206e-06,3.21036600082e-13,5.9999987453	0.0932341072814,1.11336717064,3.79339872208	0.0290944256659,2.2279959291,8.74290964523	1.9900990099,0.194338611655,3.81556237844	6.00883853412,18.1806027473,68.8105587186	3.07521179267e-06,0.0229022225295,10.9770947023	1.98063783822,0.999909982436,7.01945217934	12.3906002331,10.7146198068,28.8947799601	10.34299118,13.9796917158,40.6773171042	18.7357620549,22.3536662604,54.9105716847	12.4538051949,11.4568565882,46.0893382169	10.9726062202,9.38576264905,39.6416311307	12.2573376774,7.35388385757,41.388778465	10.0091692616,13.3663439896,42.6244867488	12.8658017332,12.3509215545,31.7832767123	12.7847673337,9.96384912701,22.2513835393	12.2810433264,15.9496307517,57.7693259218	3.21690221457,1.54168773538,10.2414100501	5.99765455158,6.79230959969,41.2100358487	6.9262147662,0.0,0.0737852337952	0.0,0.0,2.0	0.228327279398,1.87108682756,1.90058589305	2.9702970297,0.247524752475,0.782178217822	5.88112018927,8.76035882725,75.3585209835	1.97375873603,10.7507204406,65.2755208234	3.91860805669,18.0879990169,87.9933929265	0.0,16.2066553629,86.7933446371	4.88587106283,8.75258570129,61.3615432359	5.88481134707,19.0469852626,96.0682033903	5.8692086256,5.38551144021,62.7452799342	4.88299510613,11.2563001803,92.8607047135	0.0,9.27810949678,108.721890503	na	0.0198315773225,0.155085049878,5.8250833728	0.0,6.63026080814,2.36973919186	0.973736792768,0.00400241755309,5.02226078968	1.79782450301,9.58969421632,9.61248128067	1.92957398911,21.8105036932,0.259922317651
loss_9p	1.84605755773,2.34897408274,8.80496835952	1.02173200192,0.0858867504045,5.89238124768	0.57363979117,1.03173289503,6.3946273138	0.0,0.0352017880737,4.96479821193	0.0646517067348,0.99998910098,6.93535919229	46.1890020867,17.2359965314,9.57500138196	0.990099009901,0.345571103278,0.664329886821	4.21535709195,3.74980541979,21.0348374883	1.32706958658,1.33760896307,14.3353214504	1.42180981229,1.01124281616,8.56694737155	1.03046565147,2.54698412247,22.4225502261	1.10078920431,0.765168790846,10.1340420048	7.36450351672,2.58731874358,29.0481777397	0.212012832462,1.93639988929,3.85158727824	0.0,0.0,6.0	1.02790020165,0.0,2.97209979835	2.00357562232,0.953456814397,10.0429675633	0.990100264606,3.1700780811e-06,5.00989656532	0.0932341072932,0.12714164326,5.77962424945	0.284654317732,2.12312561502,9.59222006725	1.08101917406,0.325162825059,7.59381800088	11.8849248145,14.1076804166,120.007394769	3.07368963816e-06,0.0384110578346,9.96158586848	1.99029636062,1.21810257312,12.7916010663	22.0419386687,10.8856836138,43.0723777176	17.6889322267,14.1350465971,51.1760211761	36.9521528746,24.36451512,74.6833320054	23.3053708239,11.2523993094,57.4422298666	21.8699426443,8.14352192476,52.9865354309	20.0233302487,6.14145813858,51.8352116127	22.0933051857,13.4651137565,50.4415810578	19.3303633464,10.5357322444,44.1339044091	24.1728239684,13.3122490281,42.5149270035	22.4607489248,13.6518940886,78.8873569866	4.70894702701,2.52541059455,13.7656423784	9.00999179418,3.0525439457,58.9374642601	7.91631377611,0.0,0.0836862238942	0.0,0.0,3.0	0.333640284769,0.99017430554,2.67618540969	7.18316831683,0.0,0.816831683168	9.78749778764,6.81107266923,95.4014295431	6.84647907134,7.81953535607,84.3339855726	7.81835675531,13.716158988,117.465484257	0.999999965893,10.8927649267,137.107235107	9.2932279383,3.87758254155,84.8291895202	4.9058038079,12.7153565592,145.378839633	16.5703104236,4.88551144021,64.5441781362	5.85660136169,4.92877370789,126.21462493	na	0.0,9.27810949678,108.721890503	0.0198315773225,0.155085049878,5.8250833728	0.0,11.9108910891,4.08910891089	0.0,0.00400279700863,7.99599720299	2.77788408728,13.5500902559,14.6720256568	1.92957398911,24.787827193,1.28259881789
loss_8p	1.23660325862,3.622791203,15.1406055384	1.06065639304,1.93538155509,11.0039620519	0.524153714655,0.854346590312,13.621499695	3.29199038142,0.796504181365,5.91150543721	1.98020914412,0.0,11.0197908559	51.5156419982,21.5039427712,11.9804152305	2.9702970297,0.392122483263,6.63758048703	6.07993874572,3.12565150772,35.7944097466	2.30305159541,1.45060434407,26.2463440605	1.37102018761,1.51696342336,19.112016389	5.9772160181,4.86420286582,30.1585811161	2.07183937597,0.32645488045,8.60170574358	6.61699229334,1.67809058238,49.7049171243	3.03973005508,0.863579712552,8.09669023237	1.06310433832,0.0,3.93689566168	0.518805779856,0.318647912291,13.1625463079	5.02096202291,0.591297013262,13.3877409638	1.25470463206e-06,3.17007776006e-06,7.99999557522	2.08333311718,0.12714164326,5.78952523956	1.25609561783,0.0,21.7439043822	3.06121719386,0.194763020869,7.74401978527	13.7988902127,14.7826904906,120.418419297	0.990099011423,0.0229022225295,7.98699876605	2.97082229812,0.826476641827,12.20270106	25.7021853995,10.4981954507,59.7996191499	25.8417172499,15.7520202522,62.4062624979	49.994823188,32.9591207982,113.046056014	27.4358672991,11.4047469311,75.1593857699	29.9509935532,11.6738720368,60.37513441	28.3644098785,10.2797009731,66.3558891484	34.5713196752,17.5555188888,64.8731614361	31.1558925278,15.668647391,59.1754600812	31.3201637665,20.8801123009,56.7997239326	29.9309210216,25.0684531079,114.00062587	1.35015697245,2.16068449552,18.489158532	15.1953585523,5.74783614822,89.0568052995	10.8182966249,0.0,0.181703375079	0.0,0.989914359518,9.01008564048	0.0,0.780797034861,5.21920296514	15.0849115578,0.0,0.915088442204	10.7875092005,7.40421586864,108.808274931	9.79406056623,5.84216543004,113.363774004	10.7786684806,12.3064774142,167.914854105	1.98348825511,8.85889248358,179.157619261	10.3248203765,4.87890810383,85.7962715197	8.85183160946,10.7353059585,158.412862432	17.5404403324,3.90279072181,91.5567689458	na	5.85660136169,4.92877370789,126.21462493	4.88299510613,11.2563001803,92.8607047135	0.840626499031,0.181737261595,10.9776362394	0.943526990163,16.824259893,6.2322131168	0.0,0.109005296782,10.8909947032	1.44295596863,22.5258962112,24.0311478202	0.0,38.6836143345,3.31638566547
loss_6q	1.18452643628,0.972553194339,5.84292036938	0.0315870353544,0.0,3.96841296465	0.0496991446031,0.754760076878,8.19554077852	2.9702970297,0.631171162169,3.39853180813	0.0646514779833,1.94543479333,4.98991372869	18.5005112035,25.5188863119,7.98060248459	0.0,0.345571103278,1.65442889672	1.07609171222,3.90273148498,17.0211768028	2.01549475432,0.982755397597,11.0017498481	0.408014727297,1.7588012862,8.8331839865	0.990099020625,3.87597399039,11.133926989	8.63612939841e-10,0.86747733675,4.13252266239	5.83848422114,2.84907440848,25.3124413704	1.0470735772,0.0427847908429,2.91014163195	0.0,0.0,2.0	1.02790020165,1.4702643162,6.50183548215	0.990099009901,2.89854196456,2.11135902554	0.990099009901,0.993344209777,2.01655678032	0.0932341072814,0.0,2.90676589272	0.281751059062,0.999861564459,8.71838737648	0.990099009901,0.901698025782,2.10820296432	2.52701024018,19.6172928594,52.8556969005	3.07368963816e-06,0.0,5.99999692631	1.98020258392,1.94763405192,7.07216336417	13.9903695875,10.3101610822,34.6994693303	8.99474644431,12.4699660629,37.5352874928	19.6585563266,21.8464408422,59.4950028312	7.41281035444,13.1731625559,40.4140270897	11.9023838346,8.51231761187,37.5852985536	10.7440241008,7.88755224552,42.3684236537	15.906056577,12.7274501455,49.3664932775	9.6323505142,10.3935077682,34.9741417176	10.236671678,12.4470012884,31.3163270336	10.2790829405,26.4458696974,55.2750473621	3.58750140432,1.86839742781,9.54410116787	7.43107612822,8.06320435826,43.5057195135	11.8182966249,0.0,0.181703375079	0.0,0.0,3.0	0.0,1.44959512016,0.550404879841	6.19306930693,0.0,0.806930693069	1.96368071824,10.7285680165,72.3077512652	1.95928255361,13.6260149427,64.4147025037	1.9716154559,17.5600904866,83.4682940575	0.0,20.5227934542,89.4772065458	3.44447089763,10.6735810062,52.8819480961	3.91718327973,21.4581236606,75.6246930597	na	17.5404403324,3.90279072181,91.5567689458	16.5703104236,4.88551144021,64.5441781362	5.8692086256,5.38551144021,62.7452799342	0.99334536696,4.66794472604e-05,6.00660795359	0.0,5.92410729702,3.07589270298	2.94492225223,1.3611490407e-11,3.05507774775	3.02371353935,11.8379297062,6.13835675441	0.0,19.5810920665,0.418907933476
loss_4q	0.194427428302,1.2777709055,11.5278016662	1.02173200192,0.0858867504045,3.89238124768	0.57363979117,0.402336348496,11.0240238603	3.9603960396,0.280718656382,6.75888530401	1.04186577718,0.965821555932,4.99231266689	65.4952040606,15.2159769327,11.2888190067	0.990099011034,0.0,2.00990098897	3.56015503178,5.88178012382,26.5580648444	5.29046831879,2.23445568332,11.4750759979	0.431710802689,1.9614268646,11.6068623327	4.99664614616,4.41397861564,27.5893752382	2.09088821421,0.46762266091,12.4414891249	7.46772397236,6.56731408715,30.9649619405	0.069433033124,1.76540833433,7.16515863255	0.0730053284173,0.0,4.92699467158	1.02790020165,2.76558968495,6.2065101134	3.49368464515,0.953456814397,8.55285854045	1.25470463206e-06,3.17007776006e-06,4.99999557522	2.57344214002,1.11724065316,8.30931720682	0.25594545383,1.0733766321,17.6706779141	2.07111818396,0.35591459509,10.572967221	11.4886710477,14.798175501,145.713153451	0.990102083591,1.00656194713,7.00333596927	1.99029636062,0.21819259068,13.7915110487	28.0878919808,11.476495736,53.4356122831	31.9604937605,15.643914956,60.3955912835	44.2083607309,26.3127603169,118.478878952	28.2703143545,15.2349226633,70.4947629822	34.3838147926,10.7286522159,56.8875329915	29.5962894442,9.58567259508,56.8180379607	28.3276453679,12.7352930848,56.9370615473	30.4471288787,12.1377282938,49.4151428276	28.3280941735,12.6786207636,52.9932850629	31.2919297402,17.8531348029,93.8549354568	3.13321456099,1.06504377076,21.8017416682	12.7273615425,5.14241659142,71.1302218661	15.8712871287,0.0,1.12871287129	0.993307474988,0.0,4.00669252501	0.621088666987,0.0,9.37891133301	10.1534653465,0.0,1.84653465347	11.7621718916,3.92044789034,125.317380218	8.71941694485,3.81452362701,121.466059428	8.77227479056,8.76483557715,169.462889632	3.92181876228,10.830924752,177.247256486	15.2337819647,3.93092836448,90.8352896708	na	3.91718327973,21.4581236606,75.6246930597	8.85183160946,10.7353059585,158.412862432	4.9058038079,12.7153565592,145.378839633	5.88481134707,19.0469852626,96.0682033903	0.840626499031,4.67769686353e-05,8.159326724	0.0,12.8961231422,7.10387685781	0.0,0.00400259784051,10.9959974022	0.866952271676,21.059192832,18.0738548963	0.0,32.4728199697,3.52718003028
