ID	ActiveDriverWGS1	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
smallrna.ncrna::gencode::5S_rRNA::ENSG00000201285.1	0.198713764935907	0.198713764935907	0.999789045769082	0.517141293965725	0.50254	0.439791210291545	0.517081555188449	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::5S_rRNA::ENSG00000212595.1	1	1	0.997051677777758	1	NA	0.999581947732497	0.99999999999684	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::5S_rRNA::ENSG00000261122.2	0.701155763699852	0.701155763699852	0.997921343033998	0.892874254315005	0.40988	0.813846236000974	0.969270399999665	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::5S_rRNA::ENSG00000271924.1	1	1	NA	1	NA	1	1	3.49101167337981	1.71869949497795
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272253.1	1	1	0.999999904337267	1	NA	0.99999999442027	1	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272351.1	1	1	1	1	NA	1	1	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272435.1	1	1	1	1	NA	1	1	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::7SK::ENSG00000232512.2	0.869243119495418	0.869243119495418	0.649802420736407	0.765084991235389	0.34934	0.768580700196737	0.944522540043968	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::7SK::ENSG00000249352.3	0.247785963995609	0.247785963995609	0.0142489855017413	0.189241521225827	0.2183	0.0982670050137227	0.0252219503498013	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::7SK::ENSG00000254144.2	1	1	0.999392652099483	1	NA	0.999924873344548	0.999999999999994	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::7SK::ENSG00000260682.2	0.933832195058477	0.933832195058477	0.1402343933404	0.991506186134167	0.52776	0.666167835181185	0.855530689263041	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::7SK::ENSG00000271765.1	0.454997120454026	0.454997120454026	0.999416447901786	0.80237161947533	0.61139	0.731519346388975	0.917678811366245	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::7SK::ENSG00000271814.1	0.606669749468354	0.606669749468354	0.998056522093443	0.30181346959582	0.82577	0.716734448684696	0.90527266661374	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::7SK::ENSG00000271818.1	1	1	0.999184012540805	1	NA	0.999896465857458	0.999999999999982	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::ACA59::ENSG00000251775.1	1	1	0.998774152653992	1	NA	0.999838906319593	0.999999999999906	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::ACA59::ENSG00000252000.1	1	1	0.0656255550961019	0.685851650873536	0.11901	0.374983207185012	0.401198487192954	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::ACA59::ENSG00000252870.1	0.0235295404719567	0.0235295404719567	0.23609358514636	0.144988560214107	0.74127	0.0751953213895299	0.013435639760792	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::ACA64::ENSG00000238685.1	1	1	0.9909021259391	1	NA	0.998575459555591	0.999999999711394	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::ACA64::ENSG00000238934.1	1	1	0.999330445229167	1	NA	0.999916480438518	0.999999999999992	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::ACA64::ENSG00000239005.1	1	1	0.998307518643052	1	NA	0.999771297449453	0.999999999999657	3.68382249415681	2.17165729692172
smallrna.ncrna::gencode::ACA64::ENSG00000239008.1	0.288515996463905	0.288515996463905	0.99997693215132	0.0999334561842665	0.52173	0.355755336489414	0.366960962600058	3.01202668600446	3.32002370578771
smallrna.ncrna::gencode::ACA64::ENSG00000252016.1	0.412725777540781	0.412725777540781	0.997506448694221	0.640099684810963	0.65286	0.680713230536528	0.870988221323353	3.01202668600446	3.32002370578771
