ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
gc19_pc.5utr::gencode::A1BG::ENSG00000121410.7	0.116852533756901	0.0278298630480588	0.334795380077657	0.65938	0.131496656682434	0.0701181575008246	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::A1CF::ENSG00000148584.10	1	0.994086646145106	1	NA	0.999244952872683	0.999999965383708	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::A2M::ENSG00000175899.10	1	0.99982884959774	1	NA	0.999988101602022	0.999999999999164	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::A2ML1::ENSG00000166535.15	1	0.999098975809308	1	NA	0.999916761181613	0.999999999878002	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::A4GALT::ENSG00000128274.11	0.110679806137501	0.142133457863672	0.208418913643546	0.63725	0.192783845504579	0.136592633092176	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::A4GNT::ENSG00000118017.3	1	0.995480561138779	1	NA	0.999449152457042	0.999999984562507	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AAAS::ENSG00000094914.8	0.255043994429898	0.0691672052470655	0.458676738413807	0.54672	0.250250734765714	0.21083975666636	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AACS::ENSG00000081760.12	0.675038288095335	0.0693462749104996	0.657791091762213	0.95082	0.464013193635342	0.529974026101974	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AADAC::ENSG00000114771.9	0.217593815607216	0.993221866079638	0.630527615657161	0.2892	0.507744681135163	0.595012212372627	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AADACL2::ENSG00000197953.5	1	0.999984605406635	1	NA	0.999999291116881	0.999999999999999	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AADACL3::ENSG00000188984.7	0.207215312293698	0.994110677613302	0.299262982673281	0.42053	0.446918868470832	0.504095382935459	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AADAT::ENSG00000109576.9	0.996870834792049	0.494985474611404	0.815889757132055	0.93974	0.896925455763268	0.982681411550608	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AAGAB::ENSG00000103591.8	0.152360124466029	0.145851035005064	0.454531187233522	0.75496	0.300954468106252	0.282827675146244	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AAK1::ENSG00000115977.14	0.831591307147911	0.191086266479776	0.796366446012666	0.53151	0.593125217098559	0.714274366451399	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AAMDC::ENSG00000087884.10	1	0.992571659444878	1	NA	0.999013220898068	0.999999931301034	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AAMP::ENSG00000127837.5	1	0.992717276737446	1	NA	0.999035887425354	0.999999935269566	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AANAT::ENSG00000129673.5	0.831267465515261	0.0365460577275166	0.794166999193366	0.57058	0.365606052349924	0.379757868725486	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AAR2::ENSG00000131043.7	1	0.994899977841034	1	NA	0.99936526888213	0.999999977806328	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AARD::ENSG00000205002.3	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AARS2::ENSG00000124608.4	1	NA	1	NA	1	1	2.09993634282698	1.90481964544464
gc19_pc.5utr::gencode::AARS::ENSG00000090861.11	1	0.999887770849782	1	NA	0.999992741194817	0.999999999999764	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AARSD1::ENSG00000266967.2	1	0.999998262911088	1	NA	0.999999944921036	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AASDH::ENSG00000157426.9	1	0.990347221260181	1	NA	0.998657855132431	0.999999849005598	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AASDHPPT::ENSG00000149313.6	0.984830432683152	0.993457347269969	0.929512213984879	0.04952	0.528273912778391	0.624767489253798	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AASS::ENSG00000008311.10	0.583111804680813	0.995995227692051	0.759293968724495	0.10616	0.534338087994999	0.633442009042644	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::AATF::ENSG00000108270.6	1	0.991488380402872	1	NA	0.998842214625647	0.999999896565297	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::AATK::ENSG00000181409.7	1	0.995656557837004	1	NA	0.999474222289503	0.999999986298509	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABAT::ENSG00000183044.7	0.952410153895696	0.45682278875271	0.920163793947964	0.22424	0.642406499379743	0.776533531705737	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA10::ENSG00000154263.13	0.74663076700381	0.998401615466472	0.937926670054741	0.8003	0.954326959238674	0.997009872208406	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA12::ENSG00000144452.10	1	0.994691503506051	1	NA	0.999334728616608	0.999999974967989	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCA13::ENSG00000179869.10	1	0.994679308516215	1	NA	0.999332935546337	0.999999974794846	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCA1::ENSG00000165029.11	0.0737320971429802	0.414716229619316	0.172876317131325	0.84183	0.250761000916617	0.211538500019819	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA2::ENSG00000107331.12	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCA3::ENSG00000167972.9	1	0.999323335178087	1	NA	0.999940480520334	0.999999999948336	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCA4::ENSG00000198691.7	0.390278170360439	0.994006086132756	0.732558083154372	0.0072	0.191369005780681	0.13489211871681	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA5::ENSG00000154265.11	0.486465045720207	0.214551840207731	0.0974228056964749	0.80145	0.307707733151292	0.292742790046277	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA6::ENSG00000154262.8	0.370594059894291	0.997621328975917	0.715477913078423	0.25773	0.595383932147194	0.717247422090674	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA7::ENSG00000064687.8	1	0.998816217542891	1	NA	0.999885401677381	0.999999999723274	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCA8::ENSG00000141338.9	0.748292344302919	0.999999590695708	0.90770882644258	0.83683	0.956324054203534	0.997287352293886	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCA9::ENSG00000154258.12	1	0.184355446868281	0.909432730026424	0.26433	0.525774973999859	0.621176956641166	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCB10::ENSG00000135776.4	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCB11::ENSG00000073734.8	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCB1::ENSG00000085563.10	0.83950974038653	0.995338403584281	0.876549570627895	0.45086	0.874459630237109	0.973665600128323	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCB4::ENSG00000005471.11	0.588773941656835	0.999942092043333	0.989494852714497	0.21753	0.703449039294075	0.845068334954384	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCB5::ENSG00000004846.12	0.617168510922265	0.312545074046513	0.975064712238743	0.16424	0.471699295704453	0.541539341646944	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCB6::ENSG00000115657.8	1	0.999873726964953	1	NA	0.999991666470776	0.999999999999664	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCB7::ENSG00000131269.11	1	0.995970003709025	1	NA	0.999518430810561	0.999999989058491	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCB8::ENSG00000197150.8	1	0.122594934878727	0.324397051145922	0.10244	0.24327167537028	0.201344226182223	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCB9::ENSG00000150967.13	0.935106399742492	0.0161597231618024	0.760646811181914	0.3435	0.240660766979288	0.197822072830235	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCC10::ENSG00000124574.10	1	0.992489071111578	1	NA	0.999000330409596	0.999999928979655	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC11::ENSG00000121270.11	1	0.991995340354561	1	NA	0.998922753979595	0.999999914001246	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC12::ENSG00000140798.11	0.403734388952906	0.258967182756953	0.678640976105741	0.6277	0.526548068430163	0.622288731219091	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCC1::ENSG00000103222.14	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC2::ENSG00000023839.6	1	0.999199564776075	1	NA	0.999927538460787	0.999999999914476	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC3::ENSG00000108846.11	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC4::ENSG00000125257.9	1	0.997217174171847	1	NA	0.99968801425815	0.999999996400732	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC5::ENSG00000114770.12	0.973000964183617	0.00476782458078712	0.412794427378656	0.43321	0.138577982355425	0.0769666421807858	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCC6::ENSG00000091262.10	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC8::ENSG00000006071.7	1	1	1	NA	1	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCC9::ENSG00000069431.6	0.657607658980665	0.996781854302595	0.476173906744576	0.12409	0.505118646524953	0.591165750956471	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCD1::ENSG00000101986.8	1	0.997199859677775	1	NA	0.999685737901908	0.999999996333083	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCD2::ENSG00000173208.3	1	0.995235683914061	1	NA	0.999413988179034	0.9999999819114	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCD3::ENSG00000117528.7	1	0.999991139978062	1	NA	0.999999628799137	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCD4::ENSG00000119688.16	1	0.995565803264258	0.560436942108525	0.34779	0.780592362204701	0.915628991531637	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCE1::ENSG00000164163.6	0.639511763814654	0.998071647565261	0.88821630592927	0.89253	0.940885907130514	0.994763487517775	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCF1::ENSG00000204574.8	1	0.999989794516843	1	NA	0.999999561966009	1	2.56188961670422	2.34202128026062
gc19_pc.5utr::gencode::ABCF2::ENSG00000033050.3	0.415274673505243	0.00442972314733986	0.253851813243368	0.00712	0.0169535751759065	0.00142199594538934	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCF3::ENSG00000161204.7	0.455778959342272	0.0992980414959242	0.607320315203469	0.86338	0.434793929216323	0.485634302911815	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCG1::ENSG00000160179.14	0.725167868961661	0.999907501893118	0.980931009730813	0.2567	0.769550432433139	0.906729031620916	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCG2::ENSG00000118777.6	0.515103969613074	0.993788559367659	0.46178985405106	0.26675	0.582391283721539	0.700001103318461	2.23378552570008	3.58136441836454
gc19_pc.5utr::gencode::ABCG4::ENSG00000172350.5	1	0.999265087788799	1	NA	0.999934436332206	0.99999999993381	2.56188961670422	2.34202128026062
