ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
gc19_pc.5utr::gencode::A1BG::ENSG00000121410.7	0.116852533756901	0.027829863048058824	0.334795380077657	0.65938
gc19_pc.5utr::gencode::A1CF::ENSG00000148584.10	1	0.9940866461451064	1	NA
gc19_pc.5utr::gencode::A2M::ENSG00000175899.10	1	0.9998288495977398	1	NA
gc19_pc.5utr::gencode::A2ML1::ENSG00000166535.15	1	0.9990989758093083	1	NA
gc19_pc.5utr::gencode::A4GALT::ENSG00000128274.11	0.110679806137501	0.14213345786367165	0.208418913643546	0.63725
gc19_pc.5utr::gencode::A4GNT::ENSG00000118017.3	1	0.9954805611387789	1	NA
gc19_pc.5utr::gencode::AAAS::ENSG00000094914.8	0.255043994429898	0.0691672052470655	0.458676738413807	0.54672
gc19_pc.5utr::gencode::AACS::ENSG00000081760.12	0.675038288095335	0.06934627491049959	0.657791091762213	0.95082
gc19_pc.5utr::gencode::AADAC::ENSG00000114771.9	0.217593815607216	0.9932218660796381	0.630527615657161	0.2892
gc19_pc.5utr::gencode::AADACL2::ENSG00000197953.5	1	0.9999846054066346	1	NA
gc19_pc.5utr::gencode::AADACL3::ENSG00000188984.7	0.207215312293698	0.994110677613302	0.299262982673281	0.42053
gc19_pc.5utr::gencode::AADAT::ENSG00000109576.9	0.996870834792049	0.4949854746114043	0.815889757132055	0.93974
gc19_pc.5utr::gencode::AAGAB::ENSG00000103591.8	0.152360124466029	0.14585103500506405	0.454531187233522	0.75496
gc19_pc.5utr::gencode::AAK1::ENSG00000115977.14	0.831591307147911	0.19108626647977556	0.796366446012666	0.53151
gc19_pc.5utr::gencode::AAMDC::ENSG00000087884.10	1	0.9925716594448785	1	NA
gc19_pc.5utr::gencode::AAMP::ENSG00000127837.5	1	0.9927172767374461	1	NA
gc19_pc.5utr::gencode::AANAT::ENSG00000129673.5	0.831267465515261	0.036546057727516554	0.794166999193366	0.57058
gc19_pc.5utr::gencode::AAR2::ENSG00000131043.7	1	0.9948999778410341	1	NA
gc19_pc.5utr::gencode::AARD::ENSG00000205002.3	1	0.9999999999999999	1	NA
gc19_pc.5utr::gencode::AARS2::ENSG00000124608.4	1	1.0000000000000002	1	NA
gc19_pc.5utr::gencode::AARS::ENSG00000090861.11	1	0.9998877708497815	1	NA
gc19_pc.5utr::gencode::AARSD1::ENSG00000266967.2	1	0.9999982629110875	1	NA
gc19_pc.5utr::gencode::AASDH::ENSG00000157426.9	1	0.9903472212601808	1	NA
gc19_pc.5utr::gencode::AASDHPPT::ENSG00000149313.6	0.984830432683152	0.9934573472699686	0.929512213984879	0.04952
gc19_pc.5utr::gencode::AASS::ENSG00000008311.10	0.583111804680813	0.995995227692051	0.759293968724495	0.10616
gc19_pc.5utr::gencode::AATF::ENSG00000108270.6	1	0.9914883804028723	1	NA
gc19_pc.5utr::gencode::AATK::ENSG00000181409.7	1	0.9956565578370036	1	NA
gc19_pc.5utr::gencode::ABAT::ENSG00000183044.7	0.952410153895696	0.4568227887527096	0.920163793947964	0.22424
gc19_pc.5utr::gencode::ABCA10::ENSG00000154263.13	0.74663076700381	0.9984016154664719	0.937926670054741	0.8003
gc19_pc.5utr::gencode::ABCA12::ENSG00000144452.10	1	0.9946915035060507	1	NA
gc19_pc.5utr::gencode::ABCA13::ENSG00000179869.10	1	0.9946793085162152	1	NA
gc19_pc.5utr::gencode::ABCA1::ENSG00000165029.11	0.0737320971429802	0.4147162296193163	0.172876317131325	0.84183
gc19_pc.5utr::gencode::ABCA2::ENSG00000107331.12	1	0.9999999999999998	1	NA
gc19_pc.5utr::gencode::ABCA3::ENSG00000167972.9	1	0.9993233351780867	1	NA
gc19_pc.5utr::gencode::ABCA4::ENSG00000198691.7	0.390278170360439	0.9940060861327562	0.732558083154372	0.0072
gc19_pc.5utr::gencode::ABCA5::ENSG00000154265.11	0.486465045720207	0.21455184020773124	0.0974228056964749	0.80145
gc19_pc.5utr::gencode::ABCA6::ENSG00000154262.8	0.370594059894291	0.9976213289759167	0.715477913078423	0.25773
gc19_pc.5utr::gencode::ABCA7::ENSG00000064687.8	1	0.998816217542891	1	NA
gc19_pc.5utr::gencode::ABCA8::ENSG00000141338.9	0.748292344302919	0.9999995906957077	0.90770882644258	0.83683
gc19_pc.5utr::gencode::ABCA9::ENSG00000154258.12	1	0.18435544686828076	0.909432730026424	0.26433
gc19_pc.5utr::gencode::ABCB10::ENSG00000135776.4	1	1.0	1	NA
gc19_pc.5utr::gencode::ABCB11::ENSG00000073734.8	1	1.0	1	NA
gc19_pc.5utr::gencode::ABCB1::ENSG00000085563.10	0.83950974038653	0.9953384035842815	0.876549570627895	0.45086
gc19_pc.5utr::gencode::ABCB4::ENSG00000005471.11	0.588773941656835	0.9999420920433326	0.989494852714497	0.21753
gc19_pc.5utr::gencode::ABCB5::ENSG00000004846.12	0.617168510922265	0.31254507404651266	0.975064712238743	0.16424
gc19_pc.5utr::gencode::ABCB6::ENSG00000115657.8	1	0.9998737269649528	1	NA
gc19_pc.5utr::gencode::ABCB7::ENSG00000131269.11	1	0.9959700037090251	1	NA
gc19_pc.5utr::gencode::ABCB8::ENSG00000197150.8	1	0.12259493487872658	0.324397051145922	0.10244
gc19_pc.5utr::gencode::ABCB9::ENSG00000150967.13	0.935106399742492	0.016159723161802385	0.760646811181914	0.3435
gc19_pc.5utr::gencode::ABCC10::ENSG00000124574.10	1	0.9924890711115778	1	NA
gc19_pc.5utr::gencode::ABCC11::ENSG00000121270.11	1	0.9919953403545608	1	NA
gc19_pc.5utr::gencode::ABCC12::ENSG00000140798.11	0.403734388952906	0.25896718275695346	0.678640976105741	0.6277
gc19_pc.5utr::gencode::ABCC1::ENSG00000103222.14	1	0.9999999999999998	1	NA
gc19_pc.5utr::gencode::ABCC2::ENSG00000023839.6	1	0.9991995647760752	1	NA
gc19_pc.5utr::gencode::ABCC3::ENSG00000108846.11	1	1.0	1	NA
gc19_pc.5utr::gencode::ABCC4::ENSG00000125257.9	1	0.9972171741718469	1	NA
gc19_pc.5utr::gencode::ABCC5::ENSG00000114770.12	0.973000964183617	0.0047678245807871245	0.412794427378656	0.43321
gc19_pc.5utr::gencode::ABCC6::ENSG00000091262.10	1	0.9999999999999999	1	NA
gc19_pc.5utr::gencode::ABCC8::ENSG00000006071.7	1	1.0	1	NA
gc19_pc.5utr::gencode::ABCC9::ENSG00000069431.6	0.657607658980665	0.9967818543025952	0.476173906744576	0.12409
gc19_pc.5utr::gencode::ABCD1::ENSG00000101986.8	1	0.9971998596777749	1	NA
gc19_pc.5utr::gencode::ABCD2::ENSG00000173208.3	1	0.9952356839140615	1	NA
gc19_pc.5utr::gencode::ABCD3::ENSG00000117528.7	1	0.9999911399780619	1	NA
gc19_pc.5utr::gencode::ABCD4::ENSG00000119688.16	1	0.9955658032642578	0.560436942108525	0.34779
gc19_pc.5utr::gencode::ABCE1::ENSG00000164163.6	0.639511763814654	0.9980716475652607	0.88821630592927	0.89253
gc19_pc.5utr::gencode::ABCF1::ENSG00000204574.8	1	0.9999897945168429	1	NA
gc19_pc.5utr::gencode::ABCF2::ENSG00000033050.3	0.415274673505243	0.004429723147339857	0.253851813243368	0.00712
gc19_pc.5utr::gencode::ABCF3::ENSG00000161204.7	0.455778959342272	0.09929804149592421	0.607320315203469	0.86338
gc19_pc.5utr::gencode::ABCG1::ENSG00000160179.14	0.725167868961661	0.9999075018931185	0.980931009730813	0.2567
