ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
gc19_pc.prom::gencode::A1BG::ENSG00000121410.7	0.199042276321048	0.01145600488810592	0.125670023663486	0.3854
gc19_pc.prom::gencode::A1CF::ENSG00000148584.10	0.0207944447721217	0.34368832502671254	0.089700230213186	0.61343
gc19_pc.prom::gencode::A2M::ENSG00000175899.10	0.508563306345543	0.24791971819792552	0.342452774660787	0.17116
gc19_pc.prom::gencode::A2ML1::ENSG00000166535.15	0.307592020078348	0.5574375112055596	0.250700455699826	0.87801
gc19_pc.prom::gencode::A3GALT2::ENSG00000184389.8	0.371134219322901	0.4846568069646313	0.697647351176811	0.54236
gc19_pc.prom::gencode::A4GALT::ENSG00000128274.11	0.806181168237046	0.38169088162012665	0.86476645523491	0.38094
gc19_pc.prom::gencode::A4GNT::ENSG00000118017.3	0.967089518042999	0.9999778058456404	0.918651643897889	0.992
gc19_pc.prom::gencode::AAAS::ENSG00000094914.8	1	0.9921529020586312	1	NA
gc19_pc.prom::gencode::AACS::ENSG00000081760.12	0.884332810221618	0.03455064506967152	0.869681865139179	0.0818
gc19_pc.prom::gencode::AADAC::ENSG00000114771.9	1	0.9993541750903241	1	NA
gc19_pc.prom::gencode::AADACL2::ENSG00000197953.5	0.517319062394722	1.0	0.720105148576748	0.27772
gc19_pc.prom::gencode::AADACL3::ENSG00000188984.7	0.596185580745643	0.6463317169463304	0.393946869460048	0.9866
gc19_pc.prom::gencode::AADACL4::ENSG00000204518.2	1	0.9999999352293597	1	NA
gc19_pc.prom::gencode::AADAT::ENSG00000109576.9	0.847392750170492	0.2908981457547063	0.33494505548998	0.64533
gc19_pc.prom::gencode::AAED1::ENSG00000158122.7	0.52356948752844	0.9999240022667041	0.721666751245679	0.99151
gc19_pc.prom::gencode::AAGAB::ENSG00000103591.8	0.875819953266451	0.5001433922612989	0.938052738458003	0.54789
gc19_pc.prom::gencode::AAK1::ENSG00000115977.14	0.972742044056288	0.9999929310994715	0.850052494722086	0.40611
gc19_pc.prom::gencode::AAMDC::ENSG00000087884.10	0.421022629061187	0.9999759100897142	0.716187234210886	0.59329
gc19_pc.prom::gencode::AAMP::ENSG00000127837.5	0.680803977342838	0.38006592909991965	0.644199080352814	0.57451
