Chromosome	Start	End	A1.Seg.CN	A2.Seg.CN
1	871132	1226591	1	1
1	1228919	1447692	0	2
1	1447756	2082505	1	1
1	2101059	2234632	0	1
1	2235991	6210970	1	1
1	6211183	6685349	0	2
1	6692837	10596341	1	1
1	10725716	11082507	0	20
1	11589911	12888389	1	1
1	12907169	13001445	1	3
1	13182899	16046109	1	1
1	16133872	16353772	0	5
1	16357147	24018338	1	1
1	24019110	24119435	0	3
1	24134721	26160722	1	1
1	26227130	26607384	0	2
1	26688181	32696628	1	1
1	32741744	32801703	0	0
1	32829281	45242255	1	1
1	45243296	45243764	0	3
1	45250007	45797401	1	1
1	45812834	46269743	0	2
1	46512136	47399967	1	1
1	47401424	47882412	0	2
1	47883019	67633812	1	1
1	67878812	68591173	0	2
1	68591195	86897973	1	1
1	86898315	89236029	0	2
1	89271574	92200634	1	1
1	93301799	93303174	0	4
1	93342773	116671061	1	1
1	116676035	117142736	1	2
1	117142855	117452776	1	1
1	117487270	120612269	1	1
1	143767254	144854799	1	1
1	144855782	145075854	1	1
1	145075903	149698345	1	1
1	149698346	149784934	0	2
1	149880650	155108287	1	1
1	155112317	155917641	1	1
1	155981489	156252376	1	1
1	156278881	156279041	0	20
1	156347834	173839240	1	1
1	174188214	174979231	0	0
1	175046488	182517642	1	1
1	182522552	183816683	0	2
1	183852914	223284599	1	1
1	223900026	224621727	0	2
1	225328636	228560700	1	1
1	228612925	229568397	0	2
1	229568632	244754961	1	1
1	245019297	246116735	0	2
1	246490438	248616408	1	1
1	248636579	249150205	1	1
2	675831	10186320	1	1
2	10580751	10582262	0	4
2	10582307	11054046	1	1
2	11427966	11770350	1	1
2	11771950	31598485	1	1
2	31611029	32690307	1	1
2	32865521	61749716	1	1
2	62099237	62100422	0	0
2	62450631	70164278	1	1
2	70314823	70316019	0	11
2	70392379	70524427	1	3
2	70677994	73339708	1	1
2	73478422	73478530	0	0
2	73491683	80874623	1	1
2	84676929	85273149	0	2
2	85276866	88999476	1	1
2	91634562	91636069	1	4
2	95772312	97911684	1	1
2	97911728	98177418	1	2
2	98351986	106754846	1	1
2	106810632	107073501	0	2
2	107075639	130832292	1	1
2	130832358	130832620	0	1
2	130833159	141128977	1	1
2	141458273	142567737	0	1
