"","to","sim"
"ID1","hdp.2",0.969729880870891
"ID2","hdp.1",0.970944758341597
"ID3","potential hdp.2",0.50048688062349
"ID4","potential hdp.2",0.152045668715993
"ID5","hdp.3",0.539810060621544
"ID6","hdp.3",0.716985001327606
"ID7","potential hdp.2",0.132586716643884
"ID8","hdp.3",0.825435906958585
"ID9","potential hdp.2",0.474398904372632
"ID10","hdp.3",0.18806991697458
"ID11","potential hdp.2",0.166771991423408
"ID12","hdp.3",0.135099908288491
"ID13","hdp.3",0.308614321574922
"ID14","hdp.2",0.473059400935702
"ID15","hdp.3",0.397922016357248
"ID16","potential hdp.2",0.200292254279575
"ID17","hdp.3",0.176137195502536
"ID18","hdp.3",0.468378774113967
