"","to","sim"
"SBS1","hdp.12",0.85186404114944
"SBS2","hdp.8",0.653698892778506
"SBS3","hdp.18",0.845217465842414
"SBS4","hdp.4",0.867830659361814
"SBS5","hdp.14",0.933634490143645
"SBS6","hdp.12",0.840733268311534
"SBS7a","hdp.6",0.72948437208061
"SBS7b","hdp.6",0.715616519489384
"SBS7c","hdp.16",0.380016974769678
"SBS7d","hdp.3",0.592028630873016
"SBS8","hdp.4",0.897337785543949
"SBS9","hdp.5",0.632486366640496
"SBS10a","hdp.4",0.424531291446596
"SBS10b","hdp.12",0.337999628744105
"SBS10c","hdp.4",0.643781399645442
"SBS10d","hdp.4",0.527211401999719
"SBS11","hdp.15",0.738577689944233
"SBS12","hdp.3",0.854319369489897
"SBS13","hdp.20",0.635775613977536
"SBS14","hdp.4",0.580085508156836
"SBS15","hdp.10",0.744136746376372
"SBS16","hdp.11",0.981813699047141
"SBS17a","hdp.3",0.406633822971674
"SBS17b","hdp.5",0.93078147899155
"SBS18","hdp.9",0.877230429133032
"SBS19","hdp.15",0.852032218544247
"SBS20","hdp.10",0.528740329506097
"SBS21","hdp.3",0.622439691124242
"SBS22","hdp.1",0.992184504273754
"SBS23","hdp.15",0.984820878192145
"SBS24","hdp.2",0.980168903055532
"SBS25","hdp.7",0.77484464704906
"SBS26","hdp.13",0.812992537802952
"SBS27","hdp.1",0.545337022764642
"SBS28","hdp.5",0.48458839317404
"SBS29","hdp.9",0.95305027972353
"SBS30","hdp.6",0.977171402187439
"SBS31","hdp.15",0.816536731060807
"SBS32","hdp.19",0.63474052960482
"SBS33","hdp.13",0.522010164122829
"SBS34","hdp.1",0.354755429487142
"SBS35","hdp.4",0.649142040265738
"SBS36","hdp.9",0.726003328129758
"SBS37","hdp.3",0.777523331650879
"SBS38","hdp.4",0.506968024625164
"SBS39","hdp.20",0.894738037169883
"SBS40","hdp.14",0.907641850135794
"SBS41","hdp.16",0.610919928838482
"SBS42","hdp.15",0.754317371112859
"SBS43","hdp.20",0.200867693507073
"SBS44","hdp.10",0.810718213793959
"SBS45","hdp.4",0.617020685112604
"SBS46","hdp.3",0.839285898123085
"SBS47","hdp.16",0.530012831191324
"SBS48","hdp.9",0.105289260301863
"SBS49","hdp.18",0.235769968582947
"SBS50","hdp.4",0.530971030390038
"SBS51","hdp.4",0.463524362459172
"SBS52","hdp.9",0.458733210512801
"SBS53","hdp.18",0.37948246737026
"SBS54","hdp.13",0.737869572993827
"SBS55","hdp.20",0.196420846641049
"SBS56","hdp.4",0.531205370113067
"SBS57","hdp.16",0.596936466103751
"SBS58","hdp.19",0.608017893970748
"SBS59","hdp.2",0.562918490488177
"SBS60","hdp.20",0.0966740152120395
"SBS84","hdp.15",0.721968447790278
"SBS85","hdp.16",0.802842976536226
"SBS86","hdp.20",0.740925130029586
"SBS87","hdp.12",0.694605814022629
"SBS88","hdp.11",0.732595558641891
"SBS89","hdp.18",0.746642830089525
"SBS90","hdp.1",0.478204371344371
"SBS91","hdp.9",0.36719572084572
"SBS92","hdp.14",0.861876349539023
"SBS93","hdp.16",0.605759495481508
"SBS94","hdp.18",0.805348982963047
