chromosome	start	end	gene	minCopyNumber	maxCopyNumber	unused	somaticRegions	germlineHomDeletionRegions	germlineHetToHomDeletionRegions	transcriptId	transcriptVersion	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAllelePloidy
chr1	11869	14409	DDX11L1	1.9537	1.9537	0	1	0	0	ENST00000456328	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	14363	29370	WASH7P	1.9537	1.9537	0	1	0	0	ENST00000438504	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	29554	31097	MIR1302-10	1.9537	1.9537	0	1	0	0	ENST00000473358	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	34554	36081	FAM138A	1.9537	1.9537	0	1	0	0	ENST00000417324	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	69091	70008	OR4F5	1.9537	1.9537	0	1	0	0	ENST00000335137	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	131025	134836	CICP27	1.9537	1.9537	0	1	0	0	ENST00000442987	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	134901	139379	AL627309.1	1.9537	1.9537	0	1	0	0	ENST00000423372	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	141474	149707	RP11-34P13.13	1.9537	1.9537	0	1	0	0	ENST00000484859	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	324756	328453	RP4-669L17.10	1.9537	1.9537	0	1	0	0	ENST00000425496	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	367640	368634	OR4F29	1.9537	1.9537	0	1	0	0	ENST00000426406	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	562757	564390	RP5-857K21.5	1.9537	1.9537	0	1	0	0	ENST00000452176	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	566454	567996	hsa-mir-6723	1.9537	1.9537	0	1	0	0	ENST00000414273	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	569756	570302	RP5-857K21.11	1.9537	1.9537	0	1	0	0	ENST00000416718	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	621059	622053	OR4F16	1.9537	1.9537	0	1	0	0	ENST00000332831	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	677193	685396	RP11-206L10.3	1.9537	1.9537	0	1	0	0	ENST00000416385	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	700237	714006	RP11-206L10.2	1.9537	1.9537	0	1	0	0	ENST00000428504	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	721180	723052	RP11-206L10.9	1.9537	1.9537	0	1	0	0	ENST00000591702	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	738532	739137	AL669831.1	1.9537	1.9537	0	1	0	0	ENST00000599533	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	752751	755214	FAM87B	1.9537	1.9537	0	1	0	0	ENST00000326734	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	761586	762902	LINC00115	1.9537	1.9537	0	1	0	0	ENST00000473798	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	762988	794826	LINC01128	1.9537	1.9537	0	1	0	0	ENST00000445118	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	803620	805581	FAM41C	1.9537	1.9537	0	1	0	0	ENST00000432963	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	818043	819983	AL645608.2	1.9537	1.9537	0	1	0	0	ENST00000594233	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	846815	850328	RP11-54O7.1	1.9537	1.9537	0	1	0	0	ENST00000448179	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	861118	879955	SAMD11	1.9537	1.9537	0	1	0	0	ENST00000342066	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	861264	866445	AL645608.1	1.9537	1.9537	0	1	0	0	ENST00000598827	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	879584	894670	NOC2L	1.9537	1.9537	0	1	0	0	ENST00000327044	6	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	895967	901095	KLHL17	1.9537	1.9537	0	1	0	0	ENST00000338591	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	901877	910488	PLEKHN1	1.9537	1.9537	0	1	0	0	ENST00000379410	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	910579	917497	C1orf170	1.9537	1.9537	0	1	0	0	ENST00000433179	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	934342	935552	HES4	1.9537	1.9537	0	1	0	0	ENST00000428771	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	948803	949920	ISG15	1.9537	1.9537	0	1	0	0	ENST00000379389	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	955503	991496	AGRN	1.9537	1.9537	0	1	0	0	ENST00000379370	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	998459	1004735	RP11-465B22.3	1.9537	1.9537	0	1	0	0	ENST00000412397	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1006346	1009687	RNF223	1.9537	1.9537	0	1	0	0	ENST00000453464	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1017203	1051478	C1orf159	1.9537	1.9537	0	1	0	0	ENST00000421241	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1072397	1079436	RP11-465B22.5	1.9537	1.9537	0	1	0	0	ENST00000416774	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1102484	1102578	MIR200B	1.9537	1.9537	0	1	0	0	ENST00000384997	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1103243	1103332	MIR200A	1.9537	1.9537	0	1	0	0	ENST00000384875	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1104385	1104467	MIR429	1.9537	1.9537	0	1	0	0	ENST00000362106	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1108436	1114935	TTLL10-AS1	1.9537	1.9537	0	1	0	0	ENST00000379317	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1109283	1133315	TTLL10	1.9537	1.9537	0	1	0	0	ENST00000379290	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1138888	1141951	TNFRSF18	1.9537	1.9537	0	1	0	0	ENST00000328596	6	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1146706	1149512	TNFRSF4	1.9537	1.9537	0	1	0	0	ENST00000379236	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1152288	1167381	SDF4	1.9537	1.9537	0	1	0	0	ENST00000360001	6	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1167629	1170421	B3GALT6	1.9537	1.9537	0	1	0	0	ENST00000379198	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1177833	1182102	FAM132A	1.9537	1.9537	0	1	0	0	ENST00000330388	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1190558	1209213	UBE2J2	1.9537	1.9537	0	1	0	0	ENST00000400930	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1215816	1227399	SCNN1D	1.9537	1.9537	0	1	0	0	ENST00000379116	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1227756	1243398	ACAP3	1.9537	1.9537	0	1	0	0	ENST00000354700	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1243947	1247057	PUSL1	1.9537	1.9537	0	1	0	0	ENST00000379031	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1246986	1259989	CPSF3L	1.9537	1.9537	0	1	0	0	ENST00000540437	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1260147	1264277	GLTPD1	1.9537	1.9537	0	1	0	0	ENST00000343938	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1266694	1270686	TAS1R3	1.9537	1.9537	0	1	0	0	ENST00000339381	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1270656	1284492	DVL1	1.9537	1.9537	0	1	0	0	ENST00000378891	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1288071	1293915	MXRA8	1.9537	1.9537	0	1	0	0	ENST00000309212	6	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1309110	1310537	AURKAIP1	1.9537	1.9537	0	1	0	0	ENST00000338370	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1321875	1334692	CCNL2	1.9537	1.9537	0	1	0	0	ENST00000400809	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1334902	1336467	RP4-758J18.2	1.9537	1.9537	0	1	0	0	ENST00000448629	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1337288	1342693	MRPL20	1.9537	1.9537	0	1	0	0	ENST00000344843	7	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1353804	1356650	ANKRD65	1.9537	1.9537	0	1	0	0	ENST00000537107	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1361508	1363167	TMEM88B	1.9537	1.9537	0	1	0	0	ENST00000378821	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1371051	1378262	VWA1	1.9537	1.9537	0	1	0	0	ENST00000476993	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1385069	1405538	ATAD3C	1.9537	1.9537	0	1	0	0	ENST00000378785	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1407149	1431582	ATAD3B	1.9537	1.9537	0	1	0	0	ENST00000308647	7	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1447555	1470065	ATAD3A	1.9537	1.9537	0	1	0	0	ENST00000378755	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1470554	1475737	TMEM240	1.9537	1.9537	0	1	0	0	ENST00000378733	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1477053	1510249	SSU72	1.9537	1.9537	0	1	0	0	ENST00000291386	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1510355	1511373	AL645728.1	1.9537	1.9537	0	1	0	0	ENST00000366221	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1533392	1535476	C1orf233	1.9537	1.9537	0	1	0	0	ENST00000422725	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1550823	1565985	MIB2	1.9537	1.9537	0	1	0	0	ENST00000505820	2	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1567474	1570030	MMP23B	1.9537	1.9537	0	1	0	0	ENST00000356026	5	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1571100	1588935	CDK11B	1.9537	1.9537	0	1	0	0	ENST00000407249	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1592939	1624083	SLC35E2B	1.9537	1.9537	0	1	0	0	ENST00000378662	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1634320	1655763	CDK11A	1.9537	1.9537	0	1	0	0	ENST00000404249	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1663681	1677431	SLC35E2	1.9537	1.9537	0	1	0	0	ENST00000246421	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1682678	1709909	NADK	1.9537	1.9537	0	1	0	0	ENST00000344463	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1716729	1822495	GNB1	1.9537	1.9537	0	1	0	0	ENST00000378609	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1846266	1848733	CALML6	1.9537	1.9537	0	1	0	0	ENST00000307786	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1849030	1850712	TMEM52	1.9537	1.9537	0	1	0	0	ENST00000310991	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1853726	1887154	C1orf222	1.9537	1.9537	0	1	0	0	ENST00000493964	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1950780	1962192	GABRD	1.9537	1.9537	0	1	0	0	ENST00000378585	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	1981909	2116834	PRKCZ	1.9537	1.9537	0	1	0	0	ENST00000378567	3	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2120987	2126213	C1orf86	1.9537	1.9537	0	1	0	0	ENST00000378546	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2121237	2123179	AL590822.2	1.9537	1.9537	0	1	0	0	ENST00000597060	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2143360	2145620	AL590822.1	1.9537	1.9537	0	1	0	0	ENST00000545087	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2160134	2241558	SKI	1.9537	1.9537	0	1	0	0	ENST00000378536	4	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2252692	2323146	MORN1	1.9537	1.9537	0	1	0	0	ENST00000378531	3	p36.32-p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2258581	2259042	AL589739.1	1.9537	1.9537	0	1	0	0	ENST00000600779	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2281853	2284259	RP4-740C4.6	1.9537	1.9537	0	1	0	0	ENST00000602865	1	p36.33	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2323272	2336883	RER1	1.9537	1.9537	0	1	0	0	ENST00000605895	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2336236	2343969	PEX10	1.9537	1.9537	0	1	0	0	ENST00000288774	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2398898	2436965	PLCH2	1.9537	1.9537	0	1	0	0	ENST00000449969	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
