45703
WASH7P	WASH7P	MissingGeneType
DKC1	DKC1	MissingGeneType
CD99P1	CD99P1	MissingGeneType
FAM216B	FAM216B	MissingGeneType
ZNF283	ZNF283	MissingGeneType
LOC729737	LOC729737	MissingGeneType
LOC100133331	LOC100133331	MissingGeneType
CUEDC1	CUEDC1	MissingGeneType
LINC01655	LINC01655	MissingGeneType
LINC01010	LINC01010	MissingGeneType
LINC01128	LINC01128	MissingGeneType
PPP2R2B-IT1	PPP2R2B-IT1	MissingGeneType
MYCBP2-AS1	MYCBP2-AS1	MissingGeneType
MIA2	MIA2	MissingGeneType
LOC100130417	LOC100130417	MissingGeneType
SAMD11	SAMD11	MissingGeneType
SNORD55	SNORD55	MissingGeneType
SNORD42A	SNORD42A	MissingGeneType
DENND3	DENND3	MissingGeneType
PERM1	PERM1	MissingGeneType
AGRN	AGRN	MissingGeneType
ELP1	ELP1	MissingGeneType
PPP2R2C	PPP2R2C	MissingGeneType
AGBL1-AS1	AGBL1-AS1	MissingGeneType
CDH18	CDH18	MissingGeneType
MIR429	MIR429	MissingGeneType
SH2D3C	SH2D3C	MissingGeneType
DISC1	DISC1	MissingGeneType
CCDC130	CCDC130	MissingGeneType
GIMAP6	GIMAP6	MissingGeneType
EEF1B2	EEF1B2	MissingGeneType
HAMP	HAMP	MissingGeneType
COCH	COCH	MissingGeneType
C1orf87	C1orf87	MissingGeneType
CATSPER2P1	CATSPER2P1	MissingGeneType
VASH1-AS1	VASH1-AS1	MissingGeneType
UBE2W	UBE2W	MissingGeneType
SH3YL1	SH3YL1	MissingGeneType
PEX1	PEX1	MissingGeneType
FAM107B	FAM107B	MissingGeneType
FBXO31	FBXO31	MissingGeneType
INCENP	INCENP	MissingGeneType
TAS1R3	TAS1R3	MissingGeneType
ZNF346	ZNF346	MissingGeneType
UBE2F	UBE2F	MissingGeneType
ZNF670	ZNF670	MissingGeneType
TIGD7	TIGD7	MissingGeneType
ZXDC	ZXDC	MissingGeneType
ARMC1	ARMC1	MissingGeneType
BIVM	BIVM	MissingGeneType
C1orf27	C1orf27	MissingGeneType
LIPG	LIPG	MissingGeneType
DOPEY2	DOPEY2	MissingGeneType
NKAP	NKAP	MissingGeneType
AURKB	AURKB	MissingGeneType
SBNO2	SBNO2	MissingGeneType
PADI4	PADI4	MissingGeneType
B3GNTL1	B3GNTL1	MissingGeneType
